"run_id","candidate_model_id","window_id","grid_id","boundary_gate","qomega_gate","integration_order_gate","interaction_gate","restricted_dynamics_gate","sample_survival_gate","rank_gate","df_gate","sample_rule_gate","overall_gate_status","notes"
"D12F_RUN_001","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_LL11","pre_1974_full","LL11","PASS_D12E_QUEUED_BOUNDARY","PASS_QOMEGA_PARKED","PASS_CONTROLLED_PRELIMINARY_D12E_QUEUE","PASS_INTERACTION_LEVEL_ONLY_NO_DYNAMIC_CORRECTIONS","PASS_RESTRICTED_BASE_DIFFERENCE_DYNAMICS","PASS_SAMPLE_SURVIVAL","PASS_FULL_RANK","PASS_DF","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","PASS_CONTROLLED_PRELIMINARY","Controlled preliminary D12F robustness run"
"D12F_RUN_002","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_LL22","pre_1974_full","LL22","PASS_D12E_QUEUED_BOUNDARY","PASS_QOMEGA_PARKED","PASS_CONTROLLED_PRELIMINARY_D12E_QUEUE","PASS_INTERACTION_LEVEL_ONLY_NO_DYNAMIC_CORRECTIONS","PASS_RESTRICTED_BASE_DIFFERENCE_DYNAMICS","PASS_SAMPLE_SURVIVAL","PASS_FULL_RANK","WARN_LOW_DF","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","PASS_CONTROLLED_PRELIMINARY","Controlled preliminary D12F robustness run"
"D12F_RUN_003","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_LL00","pre_1974_full","LL00","PASS_D12E_QUEUED_BOUNDARY","PASS_QOMEGA_PARKED","PASS_CONTROLLED_PRELIMINARY_D12E_QUEUE","PASS_INTERACTION_LEVEL_ONLY_NO_DYNAMIC_CORRECTIONS","PASS_RESTRICTED_BASE_DIFFERENCE_DYNAMICS","PASS_SAMPLE_SURVIVAL","PASS_FULL_RANK","PASS_DF","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","PASS_CONTROLLED_PRELIMINARY","Controlled preliminary D12F robustness run"
"D12F_RUN_004","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL11","post_1973_full","LL11","PASS_D12E_QUEUED_BOUNDARY","PASS_QOMEGA_PARKED","PASS_CONTROLLED_PRELIMINARY_D12E_QUEUE","PASS_INTERACTION_LEVEL_ONLY_NO_DYNAMIC_CORRECTIONS","PASS_RESTRICTED_BASE_DIFFERENCE_DYNAMICS","PASS_SAMPLE_SURVIVAL","PASS_FULL_RANK","PASS_DF","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","PASS_CONTROLLED_PRELIMINARY","Controlled preliminary D12F robustness run"
"D12F_RUN_005","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL22","post_1973_full","LL22","PASS_D12E_QUEUED_BOUNDARY","PASS_QOMEGA_PARKED","PASS_CONTROLLED_PRELIMINARY_D12E_QUEUE","PASS_INTERACTION_LEVEL_ONLY_NO_DYNAMIC_CORRECTIONS","PASS_RESTRICTED_BASE_DIFFERENCE_DYNAMICS","PASS_SAMPLE_SURVIVAL","PASS_FULL_RANK","PASS_DF","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","PASS_CONTROLLED_PRELIMINARY","Controlled preliminary D12F robustness run"
"D12F_RUN_006","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL00","post_1973_full","LL00","PASS_D12E_QUEUED_BOUNDARY","PASS_QOMEGA_PARKED","PASS_CONTROLLED_PRELIMINARY_D12E_QUEUE","PASS_INTERACTION_LEVEL_ONLY_NO_DYNAMIC_CORRECTIONS","PASS_RESTRICTED_BASE_DIFFERENCE_DYNAMICS","PASS_SAMPLE_SURVIVAL","PASS_FULL_RANK","PASS_DF","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","PASS_CONTROLLED_PRELIMINARY","Controlled preliminary D12F robustness run"
"D12F_RUN_007","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL33","post_1973_full","LL33","PASS_D12E_QUEUED_BOUNDARY","PASS_QOMEGA_PARKED","PASS_CONTROLLED_PRELIMINARY_D12E_QUEUE","PASS_INTERACTION_LEVEL_ONLY_NO_DYNAMIC_CORRECTIONS","PASS_RESTRICTED_BASE_DIFFERENCE_DYNAMICS","PASS_SAMPLE_SURVIVAL","PASS_FULL_RANK","WARN_LOW_DF","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","PASS_CONTROLLED_PRELIMINARY","Controlled preliminary D12F robustness run"
"D12F_RUN_008","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_LL11","fordist_core","LL11","PASS_D12E_QUEUED_BOUNDARY","PASS_QOMEGA_PARKED","PASS_CONTROLLED_PRELIMINARY_D12E_QUEUE","PASS_INTERACTION_LEVEL_ONLY_NO_DYNAMIC_CORRECTIONS","PASS_RESTRICTED_BASE_DIFFERENCE_DYNAMICS","PASS_SAMPLE_SURVIVAL","PASS_FULL_RANK","WARN_LOW_DF","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","PASS_CONTROLLED_PRELIMINARY","Controlled preliminary D12F robustness run"
"D12F_RUN_009","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_LL00","fordist_core","LL00","PASS_D12E_QUEUED_BOUNDARY","PASS_QOMEGA_PARKED","PASS_CONTROLLED_PRELIMINARY_D12E_QUEUE","PASS_INTERACTION_LEVEL_ONLY_NO_DYNAMIC_CORRECTIONS","PASS_RESTRICTED_BASE_DIFFERENCE_DYNAMICS","PASS_SAMPLE_SURVIVAL","PASS_FULL_RANK","WARN_LOW_DF","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","PASS_CONTROLLED_PRELIMINARY","Controlled preliminary D12F robustness run"
"D12F_RUN_010","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL11","bridge_1940_1978","LL11","PASS_D12E_QUEUED_BOUNDARY","PASS_QOMEGA_PARKED","PASS_CONTROLLED_PRELIMINARY_D12E_QUEUE","PASS_INTERACTION_LEVEL_ONLY_NO_DYNAMIC_CORRECTIONS","PASS_RESTRICTED_BASE_DIFFERENCE_DYNAMICS","PASS_SAMPLE_SURVIVAL","PASS_FULL_RANK","PASS_DF","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","PASS_CONTROLLED_PRELIMINARY","Controlled preliminary D12F robustness run"
