"run_id","queue_id","candidate_model_id","window_id","grid_id","estimator","n_lag","n_lead","status","nominal_start_year","nominal_end_year","effective_start_year","effective_end_year","n_effective","rank","df_residual","contract_status","sample_rule_status","preliminary_status","notes"
"D12F_RUN_001","D12F_QUEUE_001","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_LL11","pre_1974_full","LL11","RESTRICTED_DOLS",1,1,"PASS_CONTROLLED_PRELIMINARY",1929,1973,1933,1972,40,16,24,"PASS_CONTRACT_FIRST","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","CONTROLLED_PRELIMINARY","manual RDOLS controlled preliminary robustness run"
"D12F_RUN_002","D12F_QUEUE_002","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_LL22","pre_1974_full","LL22","RESTRICTED_DOLS",2,2,"PASS_CONTROLLED_PRELIMINARY",1929,1973,1934,1971,38,22,16,"PASS_CONTRACT_FIRST","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","CONTROLLED_PRELIMINARY","manual RDOLS controlled preliminary robustness run"
"D12F_RUN_003","D12F_QUEUE_003","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_LL00","pre_1974_full","LL00","RESTRICTED_DOLS",0,0,"PASS_CONTROLLED_PRELIMINARY",1929,1973,1932,1973,42,10,32,"PASS_CONTRACT_FIRST","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","CONTROLLED_PRELIMINARY","manual RDOLS controlled preliminary robustness run"
"D12F_RUN_004","D12F_QUEUE_004","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL11","post_1973_full","LL11","RESTRICTED_DOLS",1,1,"PASS_CONTROLLED_PRELIMINARY",1974,2024,1976,2023,48,16,32,"PASS_CONTRACT_FIRST","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","CONTROLLED_PRELIMINARY","manual RDOLS controlled preliminary robustness run"
"D12F_RUN_005","D12F_QUEUE_005","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL22","post_1973_full","LL22","RESTRICTED_DOLS",2,2,"PASS_CONTROLLED_PRELIMINARY",1974,2024,1977,2022,46,22,24,"PASS_CONTRACT_FIRST","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","CONTROLLED_PRELIMINARY","manual RDOLS controlled preliminary robustness run"
"D12F_RUN_006","D12F_QUEUE_006","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL00","post_1973_full","LL00","RESTRICTED_DOLS",0,0,"PASS_CONTROLLED_PRELIMINARY",1974,2024,1975,2024,50,10,40,"PASS_CONTRACT_FIRST","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","CONTROLLED_PRELIMINARY","manual RDOLS controlled preliminary robustness run"
"D12F_RUN_007","D12F_QUEUE_007","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL33","post_1973_full","LL33","RESTRICTED_DOLS",3,3,"PASS_CONTROLLED_PRELIMINARY",1974,2024,1978,2021,44,28,16,"PASS_CONTRACT_FIRST","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","CONTROLLED_PRELIMINARY","manual RDOLS controlled preliminary robustness run"
"D12F_RUN_008","D12F_QUEUE_008","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_LL11","fordist_core","LL11","RESTRICTED_DOLS",1,1,"PASS_CONTROLLED_PRELIMINARY",1945,1973,1947,1972,26,16,10,"PASS_CONTRACT_FIRST","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","CONTROLLED_PRELIMINARY","manual RDOLS controlled preliminary robustness run"
"D12F_RUN_009","D12F_QUEUE_009","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_LL00","fordist_core","LL00","RESTRICTED_DOLS",0,0,"PASS_CONTROLLED_PRELIMINARY",1945,1973,1946,1973,28,10,18,"PASS_CONTRACT_FIRST","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","CONTROLLED_PRELIMINARY","manual RDOLS controlled preliminary robustness run"
"D12F_RUN_010","D12F_QUEUE_010","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL11","bridge_1940_1978","LL11","RESTRICTED_DOLS",1,1,"PASS_CONTROLLED_PRELIMINARY",1940,1978,1942,1977,36,16,20,"PASS_CONTRACT_FIRST","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","CONTROLLED_PRELIMINARY","manual RDOLS controlled preliminary robustness run"
