"warning_id","candidate_model_id","window_id","grid_id","term","warning_type","severity","source_ledger","recommended_D12G_review_action","notes"
"D12F_WARN_001","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_LL11","pre_1974_full","LL11","(Intercept)","large coefficient magnitude","WARN","D12F_RDOLS_COEFFICIENT_LEDGER.csv","Review magnitude stability across windows and grids","Large preliminary coefficient magnitude. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_002","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_LL11","pre_1974_full","LL11","k_me_log","p-value threshold crossing","INFO","D12F_RDOLS_COEFFICIENT_LEDGER.csv","Review preliminary significance pattern","Preliminary p-value below 0.10. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_003","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_LL11","pre_1974_full","LL11","omega_nfc","large coefficient magnitude","WARN","D12F_RDOLS_COEFFICIENT_LEDGER.csv","Review magnitude stability across windows and grids","Large preliminary coefficient magnitude. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_004","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_LL11","pre_1974_full","LL11","trend","p-value threshold crossing","INFO","D12F_RDOLS_COEFFICIENT_LEDGER.csv","Review preliminary significance pattern","Preliminary p-value below 0.10. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_005","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_LL11","pre_1974_full","LL11","","condition number warning","WARN","D12F_RDOLS_DIAGNOSTIC_LEDGER.csv","Review collinearity diagnostics","High design condition number. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_006","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_LL22","pre_1974_full","LL22","trend","p-value threshold crossing","INFO","D12F_RDOLS_COEFFICIENT_LEDGER.csv","Review preliminary significance pattern","Preliminary p-value below 0.10. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_007","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_LL22","pre_1974_full","LL22","","low degrees of freedom","WARN","D12F_RDOLS_DIAGNOSTIC_LEDGER.csv","Review low-df robustness candidate","Residual df below preferred threshold. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_008","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_LL22","pre_1974_full","LL22","","condition number warning","WARN","D12F_RDOLS_DIAGNOSTIC_LEDGER.csv","Review collinearity diagnostics","High design condition number. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_009","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_LL00","pre_1974_full","LL00","(Intercept)","large coefficient magnitude","WARN","D12F_RDOLS_COEFFICIENT_LEDGER.csv","Review magnitude stability across windows and grids","Large preliminary coefficient magnitude. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_010","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_LL00","pre_1974_full","LL00","omega_nfc","large coefficient magnitude","WARN","D12F_RDOLS_COEFFICIENT_LEDGER.csv","Review magnitude stability across windows and grids","Large preliminary coefficient magnitude. DESIGN_STAGE_PRELIMINARY_ONLY"
