"run_id","candidate_model_id","window_id","grid_id","diagnostic_name","diagnostic_value","diagnostic_status","review_flag","notes"
"D12F_RUN_006","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL00","post_1973_full","LL00","lead/lag sample loss","1","CONTROLLED_PRELIMINARY","PASS","Mechanical trimming only"
"D12F_RUN_006","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL00","post_1973_full","LL00","residual summary statistics","min=-0.0522945030941211; q1=-0.0212978727009615; median=-0.00460533386033036; mean=3.98850874203105e-19; q3=0.02396132638626; max=0.0669814363357509; sd=0.0272035449980269","CONTROLLED_PRELIMINARY","PASS","D12F diagnostic only"
"D12F_RUN_006","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL00","post_1973_full","LL00","condition number warning","WARN_HIGH_CONDITION_NUMBER_713375.39","CONTROLLED_PRELIMINARY","WARN","Requires D12G review if WARN"
"D12F_RUN_007","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL33","post_1973_full","LL33","effective sample size","44","CONTROLLED_PRELIMINARY","PASS","D12F diagnostic only"
"D12F_RUN_007","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL33","post_1973_full","LL33","design rank","28","CONTROLLED_PRELIMINARY","PASS","D12F diagnostic only"
"D12F_RUN_007","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL33","post_1973_full","LL33","df residual","16","CONTROLLED_PRELIMINARY","WARN","D12F diagnostic only"
"D12F_RUN_007","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL33","post_1973_full","LL33","missingness count","0","CONTROLLED_PRELIMINARY","PASS","Effective sample uses complete cases"
"D12F_RUN_007","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL33","post_1973_full","LL33","lead/lag sample loss","7","CONTROLLED_PRELIMINARY","WARN","Mechanical trimming only"
"D12F_RUN_007","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL33","post_1973_full","LL33","residual summary statistics","min=-0.0210735509137407; q1=-0.00999235319408786; median=-0.00161092371965473; mean=-4.45077312284532e-20; q3=0.00675279457227926; max=0.0314009652161651; sd=0.0125831330974928","CONTROLLED_PRELIMINARY","PASS","D12F diagnostic only"
"D12F_RUN_007","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL33","post_1973_full","LL33","condition number warning","WARN_HIGH_CONDITION_NUMBER_1894628.51","CONTROLLED_PRELIMINARY","WARN","Requires D12G review if WARN"
"D12F_RUN_008","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_LL11","fordist_core","LL11","effective sample size","26","CONTROLLED_PRELIMINARY","PASS","D12F diagnostic only"
"D12F_RUN_008","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_LL11","fordist_core","LL11","design rank","16","CONTROLLED_PRELIMINARY","PASS","D12F diagnostic only"
"D12F_RUN_008","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_LL11","fordist_core","LL11","df residual","10","CONTROLLED_PRELIMINARY","WARN","D12F diagnostic only"
"D12F_RUN_008","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_LL11","fordist_core","LL11","missingness count","0","CONTROLLED_PRELIMINARY","PASS","Effective sample uses complete cases"
