year,r,mu,PyPK,B_real,B,pi,dlnr,phi_mu,phi_PyPK,phi_Br,phi_pi,regime,tendency_label
1940,0.14959173321929048,0.7092666868069173,1.374368796257288,0.3905930729929164,0.5368189315557095,0.392889306550765,0.18685635739855044,0.027128653741191666,-0.035885339508707814,0.1341330474546918,0.06147999571137486,Pre-Fordist,broad_expansion
1941,0.18753829350808493,0.7738237817414216,1.3320262719890807,0.4487000562681715,0.5976802631921833,0.405488902219556,0.22607325181687288,0.08711257468974376,-0.031293272812849326,0.13868835437238825,0.03156559556758998,Pre-Fordist,broad_expansion
1942,0.2244417255528644,0.8809279162333216,1.3462227912594618,0.47840526001678285,0.644040064493002,0.395594587840491,0.17963304251122048,0.12963162669542433,0.010601442881376488,0.06410355920975075,-0.02470358627533087,Pre-Fordist,profit_squeeze
1943,0.25650176795214963,1.007704934646171,1.3862861365658323,0.4856210596469244,0.6732097426129405,0.378099919743178,0.1335194580757626,0.13445488001889896,0.029325588678415337,0.01497040951149009,-0.045231420133042155,Pre-Fordist,profit_squeeze
1944,0.25363643784180884,1.00300509547837,1.4044658255045999,0.4839567349504401,0.6797006952606807,0.372040990275464,-0.011233662604774208,-0.00467481402741366,0.013028707923728233,-0.0034330949830362334,-0.016154461518052332,Pre-Fordist,reinforcing_crisis
1945,0.20014477287821913,0.854461507204451,1.337885430728533,0.48423109921379304,0.6478457327437965,0.361559807819748,-0.23686092550760396,-0.16028441380257047,-0.048566704341116373,5.667583520793107e-4,-0.028576565715996427,Fordist,reinforcing_crisis
1946,0.15083943975512476,0.7597127382927515,1.2878207625879459,0.4580526627585903,0.589889729459207,0.336584930188249,-0.2828250108589092,-0.11753106848523817,-0.03813887226444285,-0.055578108781797586,-0.07157696132743063,Fordist,reinforcing_crisis
1947,0.1673654061682786,0.7806311689675995,1.2493047156580597,0.482716269718037,0.6030597120836114,0.355516279222001,0.10396352476881088,0.027162397550345052,-0.03036428942840555,0.05244488605697295,0.054720530589898564,Fordist,broad_expansion
1948,0.19046626231993935,0.8000000000000003,1.2518717480354236,0.5065851052184768,0.6341795811985635,0.375418627401975,0.1292955952142778,0.024508944218702977,0.0020526606706544326,0.04826328792157353,0.054470702403346505,Fordist,broad_expansion
1949,0.17820744656187695,0.7445183692626993,1.252842553751991,0.5067000479135622,0.6348153820142833,0.377053510503261,-0.0665267763713624,-0.07187420256053556,7.751828338173061e-4,2.26871370261561e-4,0.004345371985094659,Fordist,demand_drag
1950,0.19062263612802421,0.7304727151966259,1.1614737324569744,0.5753240905473425,0.6682238188204361,0.390524711686232,0.06734744481643196,-0.019045645474395856,-0.07572535481050383,0.12701431070701985,0.03510413439431159,Fordist,demand_drag
1951,0.20017778320368385,0.756288105308658,1.1852795855250222,0.5847928722218386,0.6931430532050881,0.381861373653901,0.04891014106967351,0.034730515627665715,0.020289026127482568,0.016324202209241356,-0.022433602894715965,Fordist,profit_squeeze
1952,0.1847314669152984,0.741120052469365,1.1758259636928472,0.5785207400778684,0.6802397067183588,0.36642942065708,-0.08030264731432224,-0.020259768958748925,-0.008007835442495864,-0.01078332249278291,-0.04125172042029468,Fordist,reinforcing_crisis
1953,0.18105982905982906,0.7541143840459854,1.1712054584250355,0.5759562531699599,0.6745631075266888,0.355928116035229,-0.02007571646128703,0.017381433179070316,-0.003937323713172014,-0.0044426890114737105,-0.0290771369157119,Fordist,profit_squeeze
1954,0.17519132885381516,0.7154040602394761,1.1787895519786353,0.5803494760098129,0.6841098988166432,0.357960685956649,-0.0329488395050197,-0.052696557190656024,0.006454583818684606,0.007598758473828071,0.005694375393124007,Fordist,demand_drag
1955,0.19358721656309716,0.7277961022539334,1.1245680572612808,0.6271584550799045,0.7052823654241945,0.377141153512576,0.09984945807913981,0.01717342735530042,-0.047089095745264695,0.07756876120271855,0.05219636526638527,Fordist,broad_expansion
1956,0.17801081186594153,0.7067323954377549,1.0900336423528987,0.6340102519928353,0.6910925042688295,0.364464471637588,-0.08388385324576642,-0.029368842561148134,-0.031190452519275505,0.01086589651175901,-0.03419045467710169,Fordist,reinforcing_crisis
1957,0.1701738542570581,0.6870523234868979,1.0882112305488578,0.6304223141884181,0.6860326422884372,0.361042428838219,-0.045023702689591216,-0.028241635481546457,-0.0016732849937341615,-0.00567518985248433,-0.00943359236182606,Fordist,reinforcing_crisis
1958,0.15987009458892099,0.6486160677353212,1.1129939923558674,0.6163579702354819,0.6860027180127478,0.359297083980053,-0.06245900993963449,-0.057569485086635175,0.022518399260255256,-0.022562019529178134,-0.004845904584076521,Fordist,reinforcing_crisis
1959,0.18117027124362645,0.6909156950870354,1.1092048354287665,0.6367142287568145,0.7062465013233564,0.371283429349727,0.12507573752607493,0.063176845592674,-0.0034102804412027427,0.0324930191754052,0.032816153199198395,Fordist,broad_expansion
1960,0.1748393493358537,0.696532722546301,1.1321559480409276,0.6135724775556278,0.6946597300188125,0.361347899350052,-0.03556976565932768,0.008096961409021386,0.020480339445525297,-0.037022539437705504,-0.027124527076168636,Fordist,profit_squeeze
1961,0.17661962044164492,0.6922567675834174,1.1444542382951837,0.6113355429695074,0.6996455531719402,0.364664644329134,0.010130834522310339,-0.00615783530175501,0.010804142016869661,-0.0036524164025207306,0.009136944209716225,Fordist,demand_drag
1962,0.1914852263545238,0.7248352413687374,1.1555672200053342,0.6161222256918133,0.7119706475261878,0.371051236079897,0.08081227564378946,0.045987437527995945,0.009663447399137354,0.007799383586365671,0.017362007130290458,Fordist,broad_expansion
1963,0.2029079187236083,0.7392249664928647,1.166486487436569,0.6224012761833092,0.7260226784311062,0.378069970310423,0.05794161511541107,0.01965791903028069,0.00940490556464521,0.010139661103062358,0.01873912941742295,Fordist,broad_expansion
1964,0.21015673479192104,0.748048477407035,1.164822685217423,0.6331152268626407,0.7374669786061792,0.380952642220107,0.035101334697863695,0.011865490467619755,-0.0014273546564650685,0.017067415251411255,0.00759578363529767,Fordist,broad_expansion
1965,0.22319137155726482,0.758592787036606,1.164078261002611,0.6520249194341279,0.7590080343452471,0.38763440726055,0.06017596337813247,0.01399733571094286,-6.39292316295198e-4,0.02943034265073574,0.017387577332749093,Fordist,broad_expansion
1966,0.22365154205142118,0.7612058687068598,1.1634297590054248,0.6645836305177452,0.7731963730922105,0.379996818760225,0.00205965292418675,0.003438724248523539,-5.572500789625678e-4,0.019077943851700252,-0.019899765097074473,Fordist,profit_squeeze
1967,0.20990579083700914,0.7377328409406015,1.1571379975262324,0.6616849562064472,0.765660805217961,0.371611279148343,-0.06343040978878278,-0.03132209028597316,-0.0054226185628958035,-0.004371179345988574,-0.022314521593925107,Fordist,reinforcing_crisis
1968,0.20765212594171834,0.7399532141237846,1.1497721595752746,0.6560978835030923,0.7543630804081174,0.372007499843427,-0.010794606872191359,0.0030052051268083524,-0.0063859123076488444,-0.00847955522285243,0.0010656555315012861,Fordist,broad_expansion
