"year","N_TOT_GPIM_2017","unit","support_status","baseline_window_eligible","warmup_observation"
1901,1723395.05606458,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1902,3778914.84114149,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1903,5994305.58148986,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1904,7881817.90798927,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1905,9755657.67740744,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1906,11926133.4220558,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1907,14269292.3669855,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1908,15837827.5085367,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1909,17707823.1225297,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1910,19988476.1092587,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1911,21900276.0099154,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1912,23981167.0604513,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1913,26105850.3462653,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1914,27322170.496188,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1915,28132266.9267127,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1916,29859598.2116957,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1917,32380561.4954236,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1918,35275872.6959059,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1919,38275235.1610566,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1920,42761267.8767802,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1921,44834491.034578,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1922,47030400.5535218,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1923,50850184.1419913,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1924,53626146.1561214,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1925,56228933.9554429,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1926,59001694.7555975,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1927,61273128.9581687,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1928,63427854.5998083,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1929,66205907.2672629,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1930,67719227.4940232,"millions_2017_dollars","partial_vintage_warmup","no","yes"
1931,66056405.818371,"millions_2017_dollars","fully_supported","no","no"
1932,63076041.9124517,"millions_2017_dollars","fully_supported","no","no"
1933,59913049.3784326,"millions_2017_dollars","fully_supported","no","no"
1934,57071783.2761689,"millions_2017_dollars","fully_supported","no","no"
1935,54560846.0191526,"millions_2017_dollars","fully_supported","no","no"
1936,52484492.1822868,"millions_2017_dollars","fully_supported","no","no"
1937,50933696.3265699,"millions_2017_dollars","fully_supported","no","no"
1938,48763288.3332261,"millions_2017_dollars","fully_supported","no","no"
1939,46866708.0875133,"millions_2017_dollars","fully_supported","no","no"
1940,45203712.1283514,"millions_2017_dollars","fully_supported","no","no"
1941,43668744.225072,"millions_2017_dollars","fully_supported","no","no"
1942,41696767.0567802,"millions_2017_dollars","fully_supported","no","no"
1943,39563158.3383363,"millions_2017_dollars","fully_supported","no","no"
1944,37800989.2081804,"millions_2017_dollars","fully_supported","no","no"
1945,36552307.861476,"millions_2017_dollars","fully_supported","no","no"
1946,35877760.966193,"millions_2017_dollars","fully_supported","no","no"
