"year","DELTA_G_TOT","DLOG_G_TOT","DLOG_N_TOT","G_TOT_GPIM_2017","GROWTH_ARITH_G_TOT","GROWTH_ARITH_N_TOT","I_TOT_REAL_2017","L1_DLOG_G_TOT","L1_DLOG_N_TOT","L1_LOG_G_TOT","L1_LOG_N_TOT","LOG_G_TOT_GPIM_2017","LOG_I_TOT_REAL_2017","LOG_N_TOT_GPIM_2017","N_TOT_GPIM_2017"
1901,NA,NA,NA,1723395.05606458,NA,NA,1723395.05606458,NA,NA,NA,NA,14.3598067730733,14.3598067730733,14.3598067730733,1723395.05606458
1902,2131425.99289776,0.805028370326129,0.785140674244252,3854821.04896234,1.23675995552925,1.19271537761675,2139967.95620989,NA,NA,14.3598067730733,14.3598067730733,15.1648351433995,14.5763014131522,15.1449474473176,3778914.84114149
1903,2373703.65264106,0.47981491380019,0.461373059471198,6228524.7016034,0.615775316802326,0.586250506687568,2402038.07234246,0.805028370326129,0.785140674244252,15.1648351433995,15.1449474473176,15.6446500571997,14.6918281317639,15.6063205067888,5994305.58148986
1904,2130488.32117106,0.29420086141492,0.273748627421766,8359013.02277446,0.342053443349532,0.314884234852484,2188551.6109976,0.47981491380019,0.461373059471198,15.6446500571997,15.6063205067888,15.9388509186146,14.5987505181532,15.8800691342106,7881817.90798927
1905,2179629.85265454,0.231708414725741,0.213288815075162,10538642.875429,0.260752058492558,0.237742078197313,2274409.25448655,0.29420086141492,0.273748627421766,15.9388509186146,15.8800691342106,16.1705593333403,14.63723090829,16.0933579492857,9755657.67740744
1906,2540991.8432889,0.216007643559525,0.200884686811094,13079634.7187179,0.24111186547684,0.22248379519044,2678556.34207163,0.231708414725741,0.213288815075162,16.1705593333403,16.0933579492857,16.3865669768998,14.8007885290163,16.2942426360968,11926133.4220558
1907,2792367.789432,0.193500289630492,0.179377763267883,15872002.5081499,0.213489738015078,0.196472642222528,2980598.59514539,0.216007643559525,0.200884686811094,16.3865669768998,16.2942426360968,16.5800672665303,14.9076347091639,16.4736203993647,14269292.3669855
1908,2100070.4244271,0.124262340756086,0.10429138334079,17972072.932577,0.13231288385626,0.109923821112551,2347780.15065063,0.193500289630492,0.179377763267883,16.5800672665303,16.4736203993647,16.7043296072864,14.6689808229444,16.5779117827055,15837827.5085367
1909,2423868.3613443,0.126516875553289,0.111605301515986,20395941.2939213,0.134868602550053,0.118071472427961,2734056.54454337,0.124262340756086,0.10429138334079,16.7043296072864,16.5779117827055,16.8308464828397,14.8212969780358,16.6895170842215,17707823.1225297
1910,2868204.9044139,0.13157746077226,0.121149386695866,23264146.1983352,0.140626258091296,0.128793526507915,3243363.95234242,0.126516875553289,0.111605301515986,16.8308464828397,16.6895170842215,16.962423943612,14.9921216060484,16.8106664709173,19988476.1092587
1911,2548900.9291776,0.103966681072176,0.0913433269824608,25813047.1275128,0.109563484834015,0.0956451052199598,2994475.82459916,0.13157746077226,0.121149386695866,16.962423943612,16.8106664709173,17.0663906246841,14.9122797573861,16.9020097978998,21900276.0099154
1912,2747349.7505204,0.101140966944637,0.0907695765551289,28560396.8780332,0.106432601193841,0.0950166586756153,3266847.16237679,0.103966681072176,0.0913433269824608,17.0663906246841,16.9020097978998,17.1675315916288,14.9993359072351,16.9927793744549,23981167.0604513
1913,2843255.5191314,0.094903170866278,0.0848906239177758,31403652.3971646,0.0995523812667411,0.088597993602986,3441046.19511703,0.101140966944637,0.0907695765551289,17.1675315916288,16.9927793744549,17.2624347624951,15.0512861096,17.0776699983727,26105850.3462653
1914,1993942.8930849,0.0615596955620177,0.0455390382902365,33397595.2902495,0.0634939805047941,0.0465918609732897,2675870.54394409,0.094903170866278,0.0848906239177758,17.2624347624951,17.0776699983727,17.3239944580571,14.7997853223576,17.1232090366629,27322170.496188
1915,1592545.7484084,0.0465824371062737,0.0292187280681091,34990141.0386579,0.04768444358248,0.0296497831545896,2359002.55015272,0.0615596955620177,0.0455390382902365,17.3239944580571,17.1232090366629,17.3705768951634,14.6737494394205,17.152427764731,28132266.9267127
1916,2370973.11606389,0.0655640978454208,0.05958912951683,37361114.1547218,0.0677611763109039,0.0614003588648888,3380886.43813359,0.0465824371062737,0.0292187280681091,17.3705768951634,17.152427764731,17.4361409930088,15.0336484928779,17.2120168942479,29859598.2116957
1917,3216280.0623904,0.0825806838146121,0.0810519526254083,40577394.2171122,0.0860862994896505,0.0844272339451796,4316500.67834921,0.0655640978454208,0.05958912951683,17.4361409930088,17.2120168942479,17.5187216768234,15.2779556038103,17.2930688468733,32380561.4954236
1918,3705549.3114959,0.087388462124423,0.0856409483085621,44282943.5286081,0.0913205340803576,0.0894151017390943,4912367.23865268,0.0825806838146121,0.0810519526254083,17.5187216768234,17.2930688468733,17.6061101389478,15.4072665095838,17.3787097951818,35275872.6959059
1919,4009004.9211021,0.0866652670154444,0.0816038482931063,48291948.4497102,0.0905315817254145,0.0850258898201207,5284550.18322951,0.087388462124423,0.0856409483085621,17.6061101389478,17.3787097951818,17.6927754059633,15.4802980616925,17.460313643475,38275235.1610566
1920,5612271.7059866,0.109943922875058,0.110829651207059,53904220.1556968,0.116215474549159,0.117204576192596,7046818.84623792,0.0866652670154444,0.0816038482931063,17.6927754059633,17.460313643475,17.8027193288383,15.7680868454707,17.571143294682,42761267.8767802
1921,3330099.8815084,0.0599449482337349,0.0473449956552514,57234320.0372052,0.0617780921770085,0.0484836690009275,4966273.90504324,0.109943922875058,0.110829651207059,17.8027193288383,17.571143294682,17.862664277072,15.4181803995991,17.6184882903373,44834491.034578
1922,3460859.55632801,0.0587105621886543,0.0478164805266879,60695179.5935332,0.0604682567046883,0.0489781297450266,5272913.96206661,0.0599449482337349,0.0473449956552514,17.862664277072,17.6184882903373,17.9213748392607,15.4780937016844,17.6663047708639,47030400.5535218
1923,5240285.4676101,0.0828121802657797,0.0780895308664356,65935465.0611433,0.0863377537178987,0.0812194568515846,7039557.31120363,0.0587105621886543,0.0478164805266879,17.9213748392607,17.6663047708639,18.0041870195265,15.7670558442258,17.7443943017304,50850184.1419913
1924,4285958.6778316,0.0629769843780466,0.0531530067943855,70221423.7389749,0.0650023272582842,0.0545909923625577,6287084.44142807,0.0828121802657797,0.0780895308664356,18.0041870195265,17.7443943017304,18.0671640039045,15.6540079983913,17.7975473085248,53626146.1561214
