"year","G_TOT_GPIM_2017","unit","support_status","baseline_window_eligible","warmup_observation"
1989,30133881.0350752,"millions_2017_dollars","fully_supported","yes","no"
1990,29894187.0329963,"millions_2017_dollars","fully_supported","yes","no"
1991,29510485.3749062,"millions_2017_dollars","fully_supported","yes","no"
1992,29062853.3650008,"millions_2017_dollars","fully_supported","yes","no"
1993,28629670.8363636,"millions_2017_dollars","fully_supported","yes","no"
1994,28238286.308205,"millions_2017_dollars","fully_supported","yes","no"
1995,27971743.3549037,"millions_2017_dollars","fully_supported","yes","no"
1996,27709719.8066602,"millions_2017_dollars","fully_supported","yes","no"
1997,27499093.687652,"millions_2017_dollars","fully_supported","yes","no"
1998,27370149.5890351,"millions_2017_dollars","fully_supported","yes","no"
1999,27249645.8985711,"millions_2017_dollars","fully_supported","yes","no"
2000,27213393.3730928,"millions_2017_dollars","fully_supported","yes","no"
2001,27103723.8515713,"millions_2017_dollars","fully_supported","yes","no"
2002,26768303.6279071,"millions_2017_dollars","fully_supported","yes","no"
2003,26393071.5101989,"millions_2017_dollars","fully_supported","yes","no"
2004,26001048.3218391,"millions_2017_dollars","fully_supported","yes","no"
2005,25721714.0676171,"millions_2017_dollars","fully_supported","yes","no"
2006,25561385.7534797,"millions_2017_dollars","fully_supported","yes","no"
2007,25468261.3389006,"millions_2017_dollars","fully_supported","yes","no"
2008,25313159.6636956,"millions_2017_dollars","fully_supported","yes","no"
2009,24796841.8217936,"millions_2017_dollars","fully_supported","yes","no"
2010,24236707.7221194,"millions_2017_dollars","fully_supported","yes","no"
2011,23740208.4347794,"millions_2017_dollars","fully_supported","yes","no"
2012,23322950.0031979,"millions_2017_dollars","fully_supported","yes","no"
2013,22891290.1034007,"millions_2017_dollars","fully_supported","yes","no"
2014,22614591.3826692,"millions_2017_dollars","fully_supported","yes","no"
2015,22263145.5464752,"millions_2017_dollars","fully_supported","yes","no"
2016,21862821.0522158,"millions_2017_dollars","fully_supported","yes","no"
2017,21597572.8334372,"millions_2017_dollars","fully_supported","yes","no"
2018,21396808.2298813,"millions_2017_dollars","fully_supported","yes","no"
2019,21152932.5245726,"millions_2017_dollars","fully_supported","yes","no"
2020,20731781.5349533,"millions_2017_dollars","fully_supported","yes","no"
2021,20233341.3618141,"millions_2017_dollars","fully_supported","yes","no"
2022,19808110.3079466,"millions_2017_dollars","fully_supported","yes","no"
2023,19524365.171703,"millions_2017_dollars","fully_supported","yes","no"
2024,19322142.6372907,"millions_2017_dollars","fully_supported","yes","no"
