"year","LOG_N_TOT_GPIM_2017","unit","support_status","baseline_window_eligible","warmup_observation"
1901,14.3598067730733,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1902,15.1449474473176,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1903,15.6063205067888,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1904,15.8800691342106,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1905,16.0933579492857,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1906,16.2942426360968,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1907,16.4736203993647,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1908,16.5779117827055,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1909,16.6895170842215,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1910,16.8106664709173,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1911,16.9020097978998,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1912,16.9927793744549,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1913,17.0776699983727,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1914,17.1232090366629,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1915,17.152427764731,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1916,17.2120168942479,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1917,17.2930688468733,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1918,17.3787097951818,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1919,17.460313643475,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1920,17.571143294682,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1921,17.6184882903373,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1922,17.6663047708639,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1923,17.7443943017304,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1924,17.7975473085248,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1925,17.8449420214446,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1926,17.8930767261286,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1927,17.9308519517538,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1928,17.965413669923,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1929,18.0082802505706,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1930,18.0308807078107,"natural_log_of_millions_2017_dollars","partial_vintage_warmup","no","yes"
1931,18.006019568611,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1932,17.9598515709828,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1933,17.9084048920876,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1934,17.8598203891978,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1935,17.8148270775954,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1936,17.7760282969225,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1937,17.7460352728338,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1938,17.702488299459,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1939,17.6628181324742,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1940,17.6266897681637,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1941,17.5921431690389,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1942,17.5459341551491,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1943,17.4934088981937,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1944,17.447845829776,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1945,17.4142548847515,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1946,17.3956281898129,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1947,17.3790932840753,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1948,17.364163115648,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1949,17.3421543576169,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1950,17.315515865878,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1951,17.2872260239913,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1952,17.266896049415,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1953,17.2479760932256,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1954,17.2185217249317,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1955,17.1865047832865,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1956,17.1618276974457,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1957,17.132221965924,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1958,17.0910216240719,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1959,17.0490909864149,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1960,17.0054026329341,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1961,16.9647424245158,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1962,16.9478691938545,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1963,16.9376499143873,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1964,16.9348396196073,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1965,16.9418082366008,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1966,16.9538737831423,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1967,16.959488257044,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1968,16.960871188683,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1969,16.9666746820998,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1970,16.9673643381898,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1971,16.9623646478825,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1972,16.9606628160932,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1973,16.9669608221014,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1974,16.9680127493597,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1975,16.9595963260945,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1976,16.9490998854124,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1977,16.9397868137966,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1978,16.9381590315831,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1979,16.9384487146575,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1980,16.9361190005252,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1981,16.93566771323,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1982,16.9298074312339,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1983,16.9167230249851,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1984,16.9112763389308,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1985,16.9087319692016,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1986,16.8971619852146,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1987,16.8795073110683,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1988,16.8614452591316,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1989,16.8465744134358,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1990,16.8365248674654,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1991,16.8202182168142,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1992,16.8016822050477,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1993,16.7849465472069,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1994,16.7702317720185,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1995,16.7610940120802,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1996,16.7531742364365,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1997,16.7469683776469,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1998,16.7436312444108,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
1999,16.7410348374542,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
2000,16.7420743380707,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
2001,16.7368568390772,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
2002,16.7173581491674,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
2003,16.6964612285609,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
2004,16.6752556835656,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
2005,16.6596966202734,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
2006,16.6496202033382,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
2007,16.6434429269086,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
2008,16.6343598816665,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
2009,16.6058722713851,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
2010,16.577522575508,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
2011,16.5543619765973,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
2012,16.5377903995163,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
2013,16.520030654349,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
2014,16.5109206743194,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
2015,16.4983246129749,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
2016,16.480035895248,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
2017,16.4657389723022,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
2018,16.4549283250011,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
2019,16.4406272639398,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
2020,16.4148272637998,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
2021,16.385988911083,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
2022,16.3613870301798,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
2023,16.3450699069604,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
2024,16.3306007392777,"natural_log_of_millions_2017_dollars","fully_supported","no","no"
