regime,H0,trace_stat,cv_10,cv_05,cv_01,decision_5pct
pre_1973,r <= 0,54.438658638081975,49.65,53.12,60.16,REJECT at 5%
pre_1973,r <= 1,27.91189803879455,32.0,34.91,41.07,fail to reject
pre_1973,r <= 2,11.07562524108744,17.85,19.96,24.6,fail to reject
pre_1973,r <= 3,4.055930453609089,7.52,9.24,12.97,fail to reject
post_1973,r <= 0,70.74904612332287,49.65,53.12,60.16,REJECT at 1%
post_1973,r <= 1,32.75462712458383,32.0,34.91,41.07,fail to reject
post_1973,r <= 2,13.049010417723222,17.85,19.96,24.6,fail to reject
post_1973,r <= 3,4.168905180545169,7.52,9.24,12.97,fail to reject
