year,analysis_window_flag,price_base_year_used,price_base_rule,pY,pC,pG,pK,pX,pM,pTI,wp,pCPI,X_FOB,M_CIF,GDP_real,C_real,G_real,FBKF_ME,FBKF_NR,I_total,I_ME,I_NR,Kg_ME,Kg_NR,Kg_total,Kn_ME,Kn_NR,Kn_total,omega,pi,exploitation_rate
1981,TRUE,NA,NA,6.744784565466146,6.176062322230204,4.502368028662658,8.48859962324466,6.244253238190203,7.080086556150887,82.04697835132455,66.31959372732148,7.295232304891283,2412807.0427853614,3776090.4264007155,20020531.77748469,NA,NA,963184.9234732095,2355052,3360329.400245666,6185887.745902358,11075116.775187075,47819999.313663885,135987050.08383626,183807049.39750016,27664410.39796387,81829152.66655028,109493563.06451415,0.5415162292349118,0.45848377076508817,0.8466667220904217
1982,TRUE,NA,NA,7.618251199792747,7.815995068584855,5.2680265074902755,11.07256057556528,6.857804951525669,8.300610826377724,78.09490761505589,60.251393334187355,8.807765466233226,2790701.9218785004,2407704.2511389735,17300150.599222537,NA,NA,369350.46739886457,1596046,1990327.901488888,3359610.215646198,6431274.105019997,48545154.36357273,138575203.23638678,187120357.5999595,28083920.79509393,83393181.46590629,111477102.26100022,0.6064176749716583,0.3935823250283417,0.6490284522903067
1983,TRUE,NA,NA,9.880710165700455,10.431269261438779,6.247412534241017,13.746992307123662,10.69936107755229,12.724718499905421,84.88864418602286,55.656979905520444,10.841647602383077,2940771.542946519,2066446.9820286795,16815394.135125805,NA,NA,293666.5699350881,1346925,1661402.7911176605,2304463.170561379,5395875.306679547,48139601.9706162,140011759.98666763,188151361.95728382,27849304.149388123,84290250.25259805,112139554.40198617,0.5702478847140596,0.4297521152859404,0.7536233396138448
1984,TRUE,NA,NA,11.374280551217796,11.743387714009971,7.8798416113330205,13.775972853134515,12.847212749912861,16.421014572714004,80.8742654784641,54.27131398303916,13.33951619218677,2935933.1758786356,2376495.7271630587,17805071.42309382,NA,NA,482836.49663152394,1586158,2095240.0917473321,2657434.245268474,7177398.405206975,48006804.449618645,143104478.31677794,191111282.76639658,27772479.28168766,86194995.974277,113967475.25596467,0.5647610479727213,0.4352389520272787,0.7706603590839383
1985,TRUE,NA,NA,15.222606802945545,16.43321311835382,10.435941800345606,19.403787508662152,18.645005358637302,25.668365537161808,75.07570511147074,53.70689087168782,16.863287183817697,3319736.4381800094,2115726.339861316,18155525.125029195,NA,NA,456385.26941002853,1865311,2351147.43535949,3065012.151065329,7769417.793062803,48201749.7312776,146659617.4011498,194861367.1324274,27885257.331758,88372082.9663679,116257340.2981259,0.4814043627812959,0.5185956372187042,1.0772557901688657
1986,TRUE,NA,NA,18.212421633550672,19.592286508564108,11.570761323639593,24.64525646782385,22.472954871671515,30.552894742749707,83.45181923482575,55.812964864002325,19.7900744882745,3567643.6463766685,2441012.277356758,19171549.534458723,NA,NA,430451.83272014285,1947381,2407996.101826103,2960760.938228204,7669077.109943413,48214861.36791235,149982466.25028807,198197327.61820042,27892842.561830327,90412979.52449308,118305822.08632341,0.47753279064535087,0.5224672093546492,1.0940970328939563
1987,TRUE,NA,NA,22.863713447359864,23.89016103249641,13.862536360781142,30.945592023374818,29.246594696628573,36.130122050199176,87.03567643541477,54.98506197160006,24.035392508379125,3937981.540482778,2841760.7202961277,20412276.161992937,NA,NA,618617.7969831679,2275501,2930831.2533412366,4049003.592013516,9503408.8366003,49242101.02377428,155006696.3996152,204248797.4233895,28487112.319770444,93462769.3212386,121949881.64100905,0.4465858348198765,0.5534141651801234,1.239211193080798
1988,TRUE,NA,NA,27.990022849734814,27.427152888959366,16.880111959849913,37.53334431114844,39.23286069164641,42.21815113528691,105.49380692104306,59.636027658966604,27.083778646060683,4071069.4817492086,3229339.901199308,21911017.128352895,NA,NA,766876.8591373282,2536838,3345623.120716643,4900005.99895293,10760289.664556816,51050178.32953443,161154583.34763157,212204761.67716599,29533105.48864741,97174890.80805472,126707996.29670212,0.41563369995406857,0.5843663000459314,1.4059646754113282
1989,TRUE,NA,NA,31.71277145023797,31.28195289007463,19.993754283550327,42.315766052508394,43.821753303402126,47.66123307264188,104.06464947004939,58.57005436070973,32.882807305788546,4473861.08819378,4168721.1859748466,24228285.317068763,NA,NA,1152396.6129360646,3142369,4349245.54489235,6736541.484644689,14027579.59602914,54626061.50463526,170434089.50574106,225060151.01037633,31601794.34500415,102747556.10655376,134349350.4515579,0.41624399079120317,0.5837560092087968,1.4024370852758357
1990,TRUE,NA,NA,38.784733095728505,39.879595572007574,24.49856883336893,51.75591788125686,49.202264826369046,57.01137812247238,93.28872422906794,59.04393599161829,41.869238798274615,4936463.883515433,4258525.587478859,25142426.777105596,NA,NA,1071255.4363246767,3331604,4458710.559324629,6791417.502812101,14395198.64506513,58184723.06778522,179938715.87730467,238123438.94508988,33660520.30408859,108459139.3243588,142119659.6284474,0.4656652389700015,0.5343347610299984,1.147465424329044
1991,TRUE,NA,NA,47.38727309446691,49.41772388473784,31.17014631572093,59.37719066148729,55.143566343082654,64.055160186942,92.42936034159445,63.55158891985078,49.68120826469144,5446127.985566456,4620407.817017572,27136660.99337492,NA,NA,1127652.487463195,3267388,4450792.425585477,6472295.693308066,13834724.048215363,61342467.73649028,188727695.26746365,250070163.00395393,35487311.30577893,113745435.60241996,149232746.9081989,0.4341830271623798,0.5658169728376202,1.303176166363617
1992,TRUE,NA,NA,53.46006442261283,56.49188964712377,37.676136596979006,68.65823842728159,56.45789324066133,67.61330427586262,89.514595344282,68.04331328495607,55.987877111130665,6378702.479542794,5809923.947927688,30438171.756635077,NA,NA,1502416.8231748631,3948551,5520114.403655992,8902720.604200482,17392589.78318274,66836340.21219092,200904417.63164815,267740757.84383908,38665578.663018994,121029259.83909962,159694838.50211862,0.41500364282560354,0.5849963571743965,1.4096174028530848
1993,TRUE,NA,NA,59.64352429595805,63.42098658028837,45.06031879456181,77.79012704533899,58.2220058202535,71.92743371480198,82.12597090251286,70.87894931328512,62.83781234673473,6581934.055749121,6542940.092929677,32559287.77696921,NA,NA,1744746.4097156953,4684998,6511306.960389595,10827642.552358463,20515642.452187352,74144420.11314893,216015757.43659937,290160177.5497483,42893385.53259051,130050938.77156174,172944324.30415225,0.4061028796031479,0.5938971203968522,1.4624302122093316
