year,y_t,K_ME_repaired,K_NRC_repaired,K_cap_repaired,k_ME,k_NRC,k_Kcap,g_K_ME,g_K_NRC,g_Kcap,ME_share,NRC_share,omega_NFC,omega_CORP,Q_omega,Q_MEshare,Q_q_if_retained,q_proxy_if_retained,ME_share_repaired,ME_NRC_ratio_repaired,log_ME_NRC_ratio_repaired,omega_NFC_centered,k_Kcap_centered,k_NRC_centered,tau_centered,inter_kKcap_omega,inter_kNRC_omega,inter_tau_omega,inter_kKcap_omega_orth,inter_kNRC_omega_orth,inter_tau_omega_orth
1931,12.67415255060452,15.40538214889,78075.2476109589,78090.6529931078,2.734716938549776,11.265428353596253,11.26562564867974,,,,0.0001972756220933,0.9998027243779066,0.663881911320595,0.670321830576547,,,,,0.0001972756220933338,0.00019731454744342878,-8.530711415046477,0.04168423598076032,-2.798502750281564,-2.701780369690285,-3.8800465986297974,-0.11665344903554349,-0.1126216504983557,-0.1617367780336309,-0.09744621045110113,-0.08442956894537612,-0.011046268507390988
1932,12.510626584202145,17.827921412213,116633.491116931,116651.319038343,2.880765846964486,11.666791742504111,11.666944585043964,0.14604890841471,0.4013633889078587,0.4013189363642233,0.0001528308600295,0.9998471691399704,0.677734147194899,0.68242345931589,0.2664283825226288,7.91704428290872e-05,,-4.44447620637702e-05,0.0001528308600295636,0.00015285422087159856,-8.786025895539625,0.05553647185506427,-2.397183813917339,-2.300416980782426,-4.135361079122945,-0.13313113141303592,-0.12775704290813514,-0.22966336418123967,-0.12294668065282631,-0.10720730939733737,-0.13734516550172415
1933,12.484983866269708,20.3854719997967,126177.140667191,126197.526139191,3.014822490273296,11.745442076923004,11.745603626196568,0.1340566433088099,0.0786503344188922,0.0786590411526031,0.0001615362251817,0.9998384637748184,0.664517937219731,0.669816937044203,0.3197383006973568,9.119197173754038e-05,-3.4959823681917548e-06,8.705365152159424e-06,0.00016153622518172303,0.0001615623233495685,-8.730619586649707,0.04232026187989624,-2.318524772764736,-2.221766646363534,-4.079954770233027,-0.09812057555843054,-0.09402574631012357,-0.1726647543343936,-0.08356651707203766,-0.07147679812583868,-0.07752394317289948
1934,12.615582894346948,23.3843313809032,144140.820530433,144164.204861813,3.152066198975348,11.87854602105577,11.878708240437131,0.1372437087020523,0.1331039441327668,0.1331046142405636,0.0001622062245154,0.9998377937754848,0.622061999745903,0.628208955223881,0.4081887043869242,0.0001126931886762,-2.337258097790329e-06,6.699993337025846e-07,0.00016220622451542562,0.00016223253964317468,-8.726479822080423,-0.00013567559393168338,-2.185420158524172,-2.088662702230767,-4.075815005663743,0.0002965081779980407,0.0002833805526481141,0.0005529886216490957,0.029985788186106057,0.0306253564223183,0.1108628601311096
1935,12.699893504330326,27.2489183307013,164451.479820732,164478.728739063,3.305013826035223,12.010370850182566,12.010536532249365,0.1529476270598748,0.1318248291267956,0.1318282918122335,0.000165668342281,0.9998343316577188,0.616558357905585,0.620669233047083,0.4901940752147286,0.0001340765581754,-2.248933230112983e-06,3.462117765662593e-06,0.0001656683422810882,0.00016569579282840906,-8.705357024147343,-0.005639317434249724,-2.0535918667119386,-1.9568378731039715,-4.054692207730663,0.011580856416782071,0.011035229933795377,0.022865696457572034,0.04217989585198728,0.04107384165920985,0.12431444778911221
1936,12.8333150387024,32.1645930081474,190875.631437173,190907.796030181,3.470866251530848,12.159377350634246,12.159545847173227,0.1658524254956246,0.14900650045168,0.1490093149238625,0.0001684823442362,0.9998315176557636,0.61320426040215,0.614970508379365,0.5820670137368215,0.0001587626843632,-1.7330454336658665e-06,2.814001955196466e-06,0.00016848234423628468,0.00016851073532000036,-8.6885110991034,-0.008993414937684685,-1.9045825517880761,-1.8078313726522914,-4.037846282686719,0.017128701171304498,0.016258577671626126,0.03631402707478932,0.04765152085655694,0.04532500474651151,0.1255876917931715
1937,12.913354459832034,38.5634855982832,226871.067160055,226909.630645653,3.6523058598033886,12.332137149019289,12.332307114316963,0.1814396082725409,0.1727597983850426,0.1727612671437359,0.0001699508543932,0.9998300491456068,0.629079145811021,0.63195349510747,0.6880049587818343,0.0001878699076448,-1.2468948901411743e-06,1.4685101569549225e-06,0.0001699508543932396,0.00016997974259572328,-8.6798312892159,0.006881470471186257,-1.7318212846443402,-1.6350715742672488,-4.029166472799219,-0.011917477031651877,-0.0112516967565961,-0.027726590106061516,0.010902336056456548,0.01234942925253972,0.03383001359110856
1938,12.837894802799829,44.2363726303617,245889.131872974,245933.368245604,3.78954736086788,12.412636029882998,12.412815917434862,0.1372415010644911,0.0804988808637094,0.0805088031178993,0.0001798713730711,0.9998201286269288,0.633989364345709,0.634093023255814,0.7386513678775101,0.0002015524475209,-1.1286668950382552e-06,9.920518677959537e-06,0.00017987137307119914,0.00017990373260260301,-8.623088669015118,0.01179168900587424,-1.6513124815264408,-1.5545726934035393,-3.972423852598438,-0.01947176323367824,-0.01833103773763882,-0.046841586669357595,0.000716819170498921,0.0032693437053473717,0.005262232072298069
1939,12.94844560964936,51.3096743735124,266013.433314059,266064.742988433,3.937879318675938,12.491302087669368,12.49149495284151,0.1483319578080584,0.0786660577863695,0.0786790354066475,0.0001928465748494,0.9998071534251504,0.630537992484756,0.630053039748114,0.788533039522304,0.0002157045536514,-3.481300547227683e-07,1.297520177822819e-05,0.00019284657484942733,0.00019288377182416768,-8.553422768993428,0.008340317144921228,-1.5726334461197933,-1.4759066356171697,-3.9027579525767484,-0.013116261693349465,-0.012309529417340887,-0.032550239064353524,0.007679494229367114,0.009146496944020876,0.016323778736930326
1940,13.069224169840544,60.688337892049,295300.266520473,295360.954858365,4.105751552622333,12.595747970273,12.595953463154228,0.1678722339463951,0.1044458826036311,0.1044585103127175,0.0002054717690127,0.9997945282309872,0.607110693449235,0.607263654006099,0.8543980989128331,0.0002358490195791,1.0072401940378727e-06,1.2625194163342084e-05,0.0002054717690127694,0.0002055139963371537,-8.489996417650666,-0.01508698189059976,-1.4681749358070757,-1.3714607530135368,-3.8393316012339858,0.022150328668753817,0.02069120354438354,0.05792392633982452,0.051012934013662053,0.04609203150614999,0.11413412542677179
