"design_id","lhs","regressors","test_type","lag","eg_statistic","p_value","n_obs","package","package_version","model_order_status","eg_classification","notes"
"D0_y_kKcap","y_t","k_Kcap","type1",3,-0.151167007763122,0.1,94,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"D0_y_kKcap","y_t","k_Kcap","type2",3,1.82548470136077,0.1,94,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"D0_y_kKcap","y_t","k_Kcap","type3",3,-3.80333253255386,0.0653732228290113,94,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"D1_y_kNRC","y_t","k_NRC","type1",3,1.30792931091569,0.1,94,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"D1_y_kNRC","y_t","k_NRC","type2",3,2.71782931366186,0.1,94,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"D1_y_kNRC","y_t","k_NRC","type3",3,-3.54999483018256,0.1,94,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"D2_y_kKcap_omega","y_t","k_Kcap + omega_NFC_centered","type1",3,-3.1210987437399,0.0950036646250749,94,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"D2_y_kKcap_omega","y_t","k_Kcap + omega_NFC_centered","type2",3,1.00609902546074,0.1,94,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"D2_y_kKcap_omega","y_t","k_Kcap + omega_NFC_centered","type3",3,-3.45974611856172,0.1,94,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"D3_y_kNRC_omega","y_t","k_NRC + omega_NFC_centered","type1",3,-3.06722832695642,0.1,94,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"D3_y_kNRC_omega","y_t","k_NRC + omega_NFC_centered","type2",3,1.19817508159061,0.1,94,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"D3_y_kNRC_omega","y_t","k_NRC + omega_NFC_centered","type3",3,-3.74084287362584,0.1,94,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"D4_y_kKcap_omega_inter","y_t","k_Kcap_centered + omega_NFC_centered + inter_kKcap_omega","type1",3,-2.35333796374002,0.1,94,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"D4_y_kKcap_omega_inter","y_t","k_Kcap_centered + omega_NFC_centered + inter_kKcap_omega","type2",3,0.664985930707568,0.1,94,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"D4_y_kKcap_omega_inter","y_t","k_Kcap_centered + omega_NFC_centered + inter_kKcap_omega","type3",3,-1.50427120069141,0.1,94,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"D5_y_kKcap_omega_inter_orth","y_t","k_Kcap_centered + omega_NFC_centered + inter_kKcap_omega_orth","type1",3,-2.35333796374002,0.1,94,"aTSA","3.1.2.1","CPR_MIXED_ORDER","EG_PASS_WEAK","aTSA coint.test completed."
"D5_y_kKcap_omega_inter_orth","y_t","k_Kcap_centered + omega_NFC_centered + inter_kKcap_omega_orth","type2",3,0.664985930707569,0.1,94,"aTSA","3.1.2.1","CPR_MIXED_ORDER","EG_PASS_WEAK","aTSA coint.test completed."
"D5_y_kKcap_omega_inter_orth","y_t","k_Kcap_centered + omega_NFC_centered + inter_kKcap_omega_orth","type3",3,-1.50427120069141,0.1,94,"aTSA","3.1.2.1","CPR_MIXED_ORDER","EG_PASS_WEAK","aTSA coint.test completed."
"D6_y_kNRC_omega_inter","y_t","k_NRC_centered + omega_NFC_centered + inter_kNRC_omega","type1",3,-2.10432537861559,0.1,94,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"D6_y_kNRC_omega_inter","y_t","k_NRC_centered + omega_NFC_centered + inter_kNRC_omega","type2",3,1.03582470728315,0.1,94,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"D6_y_kNRC_omega_inter","y_t","k_NRC_centered + omega_NFC_centered + inter_kNRC_omega","type3",3,-1.96799811411074,0.1,94,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"D7_y_kNRC_omega_inter_orth","y_t","k_NRC_centered + omega_NFC_centered + inter_kNRC_omega_orth","type1",3,-2.10432537861559,0.1,94,"aTSA","3.1.2.1","CPR_MIXED_ORDER","EG_PASS_WEAK","aTSA coint.test completed."
"D7_y_kNRC_omega_inter_orth","y_t","k_NRC_centered + omega_NFC_centered + inter_kNRC_omega_orth","type2",3,1.03582470728315,0.1,94,"aTSA","3.1.2.1","CPR_MIXED_ORDER","EG_PASS_WEAK","aTSA coint.test completed."
"D7_y_kNRC_omega_inter_orth","y_t","k_NRC_centered + omega_NFC_centered + inter_kNRC_omega_orth","type3",3,-1.96799811411074,0.1,94,"aTSA","3.1.2.1","CPR_MIXED_ORDER","EG_PASS_WEAK","aTSA coint.test completed."
"D8_y_kNRC_tau_omega_inter","y_t","k_NRC_centered + tau_centered + omega_NFC_centered + inter_tau_omega","type1",3,-3.21330758470254,0.1,94,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"D8_y_kNRC_tau_omega_inter","y_t","k_NRC_centered + tau_centered + omega_NFC_centered + inter_tau_omega","type2",3,0.494969511669308,0.1,94,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"D8_y_kNRC_tau_omega_inter","y_t","k_NRC_centered + tau_centered + omega_NFC_centered + inter_tau_omega","type3",3,-0.573750654474712,0.1,94,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"D9_y_kNRC_tau_omega_inter_orth","y_t","k_NRC_centered + tau_centered + omega_NFC_centered + inter_tau_omega_orth","type1",3,-3.21330758470254,0.1,94,"aTSA","3.1.2.1","CPR_MIXED_ORDER","EG_PASS_WEAK","aTSA coint.test completed."
"D9_y_kNRC_tau_omega_inter_orth","y_t","k_NRC_centered + tau_centered + omega_NFC_centered + inter_tau_omega_orth","type2",3,0.494969511669307,0.1,94,"aTSA","3.1.2.1","CPR_MIXED_ORDER","EG_PASS_WEAK","aTSA coint.test completed."
"D9_y_kNRC_tau_omega_inter_orth","y_t","k_NRC_centered + tau_centered + omega_NFC_centered + inter_tau_omega_orth","type3",3,-0.573750654474712,0.1,94,"aTSA","3.1.2.1","CPR_MIXED_ORDER","EG_PASS_WEAK","aTSA coint.test completed."
