variable_name,n_obs,sample_start,sample_end,adf_level_p,adf_diff_p,kpss_level_p,kpss_diff_p,pp_level_p_if_available,pp_diff_p_if_available,adf_second_diff_p,kpss_second_diff_p,classification,notes
omega_NFC_centered,94,1931,2024,0.8952103601207173,7.336446638690104e-09,0.01,0.1,,,3.917417425276621e-09,0.1,I1,
k_Kcap_centered,94,1931,2024,0.007623936496235547,0.8565302864150774,0.01,0.01,,,9.008762953201308e-08,0.07661397556213176,I2_RISK,
k_NRC_centered,94,1931,2024,0.1349666263539337,0.967643637069984,0.01,0.01,,,5.151271366262339e-08,0.0892519787588401,I2_RISK,
tau_centered,94,1931,2024,0.8840228633343391,7.62659744141915e-13,0.01,0.09364822324939026,,,0.0,0.08305923137793314,I1,
inter_kKcap_omega,94,1931,2024,0.6684623050910758,0.04834063388749543,0.1,0.1,,,2.0790319383307146e-06,0.1,I1,
inter_kKcap_omega_orth,94,1931,2024,0.9747605068435737,7.324443639367318e-07,0.1,0.1,,,1.3463943289587468e-11,0.1,I1,
inter_kNRC_omega,94,1931,2024,0.32278487068339734,0.049687712729851306,0.1,0.1,,,2.504423490913754e-06,0.1,I1,
inter_kNRC_omega_orth,94,1931,2024,0.7549648680851434,7.47174132667385e-05,0.1,0.1,,,8.098463740080273e-10,0.1,I1,
inter_tau_omega,94,1931,2024,0.9436781264689885,3.260554232611044e-08,0.0431039034072169,0.1,,,5.435444287064777e-06,0.1,I1,
inter_tau_omega_orth,94,1931,2024,0.08640408055713106,5.7927516988934814e-06,0.1,0.1,,,4.408772408170066e-08,0.1,I1,
omega_NFC,94,1931,2024,0.8952103601207178,7.336446638690104e-09,0.01,0.1,,,3.917417425276621e-09,0.1,BOUNDED_PERSISTENT,
k_Kcap,94,1931,2024,0.007623936496247275,0.8565302864150774,0.01,0.01,,,9.008762953201308e-08,0.07661397556213176,I2_RISK,
k_NRC,94,1931,2024,0.13496662635391027,0.967643637069984,0.01,0.01,,,5.151271366262339e-08,0.0892519787588401,I2_RISK,
k_ME,94,1931,2024,0.04122488131726985,0.9286433861258342,0.01,0.01,,,0.00016066132850780848,0.1,I2_RISK,
y_t,94,1931,2024,0.04140146040469531,1.815346244578647e-13,0.01,0.1,,,2.1522118221927223e-07,0.1,I1,
