design_id,lhs,regressors,model_order_status,run_eg,skip_classification,skip_reason
D0_y_kKcap,y_t,k_Kcap,PURE_I1_CORE,TRUE,NONE,
D1_y_kNRC,y_t,k_NRC,PURE_I1_CORE,TRUE,NONE,
D2_y_kKcap_omega,y_t,k_Kcap + omega_NFC_centered,PURE_I1_CORE,TRUE,NONE,
D3_y_kNRC_omega,y_t,k_NRC + omega_NFC_centered,PURE_I1_CORE,TRUE,NONE,
D4_y_kKcap_omega_inter,y_t,k_Kcap_centered + omega_NFC_centered + inter_kKcap_omega,PURE_I1_CORE,TRUE,NONE,
D5_y_kKcap_omega_inter_orth,y_t,k_Kcap_centered + omega_NFC_centered + inter_kKcap_omega_orth,CPR_MIXED_ORDER,TRUE,NONE,
D6_y_kNRC_omega_inter,y_t,k_NRC_centered + omega_NFC_centered + inter_kNRC_omega,PURE_I1_CORE,TRUE,NONE,
D7_y_kNRC_omega_inter_orth,y_t,k_NRC_centered + omega_NFC_centered + inter_kNRC_omega_orth,CPR_MIXED_ORDER,TRUE,NONE,
D8_y_kNRC_tau_omega_inter,y_t,k_NRC_centered + tau_centered + omega_NFC_centered + inter_tau_omega,PURE_I1_CORE,TRUE,NONE,
D9_y_kNRC_tau_omega_inter_orth,y_t,k_NRC_centered + tau_centered + omega_NFC_centered + inter_tau_omega_orth,CPR_MIXED_ORDER,TRUE,NONE,
