"run_id","timestamp","message"
1,"2026-02-28 20:33:38","Stage S1 run: SR=none LR=trend (P=1..7)"
2,"2026-02-28 20:39:04","Stage S1 run: SR=none LR=trend (P=1..7)"
3,"2026-02-28 21:08:58","Stage S1 run: SR=none LR=trend (P=1..7)"
4,"2026-03-01 01:06:27","Stage S1 run: SR=none LR=trend (P=1..7)"
