"run_id","det_tag","include","LRinclude","p","r","q_tag","qY","qK","cell_id","status","logLik","T_eff","T_eff_common","k_gamma","k_pi","k_det","k_sigma","k_total","AIC","BIC","HQ","AICc","theta_hat","alpha_y","alpha_k","Pi_11","Pi_12","Pi_21","Pi_22","SR_norm_total","share_Y","share_K","stability_margin","unit_root_count","unstable_count","unit_root_mismatch","fail_code","fail_msg","dBIC","dAIC","dHQ"
2,"SR_const__LR_both","const","both",1,1,"K_only",0,1,"p01_K_only_const_both","computed",287.99805233699,63,57,2,5,2,3,12,-551.99610467398,-527.479489459965,-542.4681125647,-544.905195583071,0.862934401694622,0.0964601985709192,0.0940785377141531,0.0964601985709192,-0.0832388237411406,0.0940785377141531,-0.0811836066546677,0.442885969361872,0,1,0.0498118053839179,1,0,0,NA,NA,0,0,0
2,"SR_const__LR_both","const","both",1,1,"sym",1,1,"p01_sym_const_both","computed",288.173133897556,63,57,4,5,2,3,14,-548.346267795112,-519.743550045428,-537.230277000952,-538.346267795112,0.862934401694622,0.0958441699789628,0.0981492745815344,0.0958441699789628,-0.082707231476714,0.0981492745815344,-0.0846963855377776,0.454404402448898,0.101167569710285,0.994869399890717,0.0576560021762645,1,0,0,NA,NA,7.73593941453714,3.64983687886797,5.23783556374792
2,"SR_const__LR_both","const","both",1,1,"Y_short",1,1,"p01_Y_short_const_both","computed",288.173133897556,63,57,4,5,2,3,14,-548.346267795112,-519.743550045428,-537.230277000952,-538.346267795112,0.862934401694622,0.0958441699789628,0.0981492745815344,0.0958441699789628,-0.082707231476714,0.0981492745815344,-0.0846963855377776,0.454404402448898,0.101167569710285,0.994869399890717,0.0576560021762645,1,0,0,NA,NA,7.73593941453714,3.64983687886797,5.23783556374792
2,"SR_const__LR_both","const","both",1,1,"K_short",1,1,"p01_K_short_const_both","computed",288.173133897556,63,57,4,5,2,3,14,-548.346267795112,-519.743550045428,-537.230277000952,-538.346267795112,0.862934401694622,0.0958441699789628,0.0981492745815344,0.0958441699789628,-0.082707231476714,0.0981492745815344,-0.0846963855377776,0.454404402448898,0.101167569710285,0.994869399890717,0.0576560021762645,1,0,0,NA,NA,7.73593941453714,3.64983687886797,5.23783556374792
2,"SR_const__LR_both","const","both",2,1,"K_only",0,2,"p02_K_only_const_both","computed",287.461250516498,62,57,4,5,2,3,14,-546.922501032997,-518.319783283313,-535.806510238837,-536.922501032997,2.45421897218802,0.0268472068884984,0.0144357668786134,0.0268472068884984,-0.0658889244960096,0.0144357668786134,-0.0354285329515763,0.681684928100882,0,1,0.038652814788429,1,0,0,NA,NA,9.15970617665221,5.07360364098304,6.66160232586299
2,"SR_const__LR_both","const","both",1,1,"Y_only",1,0,"p01_Y_only_const_both","computed",282.60011033965,63,57,2,5,2,3,12,-541.200220679299,-516.683605465285,-531.67222857002,-534.10931158839,0.862934401694622,0.0668474782633321,0.110266226485796,0.0668474782633321,-0.0576849886599628,0.110266226485796,-0.0951525201796444,0.0802588998714782,1,0,0.0328852848729604,1,0,0,NA,NA,10.7958839946803,10.7958839946803,10.7958839946803
2,"SR_const__LR_both","const","both",2,1,"K_short",2,1,"p02_K_short_const_both","computed",289.082400649203,62,57,6,5,2,3,16,-546.164801298405,-513.475981013052,-533.460811819366,-532.564801298405,2.45421897218802,0.025746297231313,0.0125684920054062,0.025746297231313,-0.0631870511286802,0.0125684920054062,-0.0308458315314613,0.662474905355895,0.430120222404064,0.669349749719561,0.0320902045072414,1,0,0,NA,NA,14.0035084469129,5.83130337557463,9.00730074533442
2,"SR_const__LR_both","const","both",2,1,"Y_short",1,2,"p02_Y_short_const_both","computed",287.740115790349,62,57,6,5,2,3,16,-543.480231580698,-510.791411295345,-530.776242101659,-529.880231580698,2.45421897218802,0.0270001915270549,0.0136270243025947,0.0270001915270549,-0.0662643822984082,0.0136270243025947,-0.033443701577895,0.680390436952552,0.0907703780321757,0.99214378313358,0.0382818523946885,1,0,0,NA,NA,16.6880781646197,8.51587309328147,11.6918704630413
2,"SR_const__LR_both","const","both",3,1,"K_only",0,3,"p03_K_only_const_both","computed",287.247558430178,61,57,6,5,2,3,16,-542.495116860356,-509.806296575004,-529.791127381317,-528.895116860356,0.890144636210618,0.0604463943396473,0.0309464231713985,0.0604463943396473,-0.0538060336997089,0.0309464231713985,-0.0275467925959243,0.735969568684444,0,1,0.00412394943034533,1,0,0,NA,NA,17.6731928849615,9.50098781362328,12.6769851833831
2,"SR_const__LR_both","const","both",2,1,"Y_only",2,0,"p02_Y_only_const_both","computed",282.780512230247,62,57,4,5,2,3,14,-537.561024460494,-508.95830671081,-526.445033666334,-527.561024460494,2.45421897218802,0.0220404242485157,0.0141613153065026,0.0220404242485157,-0.0540920273457799,0.0141613153065026,-0.0347549686963551,0.355321395909789,1,0,0.0293975663605882,1,0,0,NA,NA,18.5211827491553,14.4350802134861,16.0230788983661
