"initialization_window","first_investment_year_used","year","I_ME_REAL_2017","I_NRC_REAL_2017","K_ME_gross_surviving_2017","K_NRC_gross_surviving_2017","K_core_ME_NRC_gross_surviving_2017","core_index_1947_100","core_index_first_valid_100"
"full_available_history",1901,1928,1612305.71958189,4611059.53858343,25226424.8083618,62313872.3245394,87540297.1329012,127.954056272827,5079.52583621783
"full_available_history",1901,1929,1768765.68542665,5130429.88112256,25533750.6275001,66152417.4112601,91686168.0387602,134.01390546871,5320.0900000333
"full_available_history",1901,1930,1467294.24202991,4277555.23233369,25477750.6735687,69049543.5925571,94527294.2661258,138.166662965325,5484.94635246206
"full_available_history",1901,1931,989748.757718043,1662325.92711273,24892499.3361589,69242413.1782558,94134912.5144147,137.593134677402,5462.17840089284
"full_available_history",1901,1932,623868.773501061,922678.830451554,23904638.0764576,68616683.9402773,92521322.0167349,135.234615731231,5368.54981051238
"full_available_history",1901,1933,543835.045414787,747212.600603993,22817975.460959,67749146.3565613,90567121.8175203,132.378241576148,5255.15734183042
"full_available_history",1901,1934,637240.124604497,809696.399517645,21822896.8863757,66888182.3014813,88711079.1878571,129.665340308288,5147.46046622828
"full_available_history",1901,1935,703933.555703038,879553.172721427,20906039.0303339,66049443.912552,86955482.9428858,127.09925739472,5045.591992207
"full_available_history",1901,1936,816556.811384773,982448.283009582,20123438.8259278,65272776.3823844,85396215.2083122,124.820139799869,4955.11548021477
"full_available_history",1901,1937,924639.763365943,1323246.96596268,19477696.3960829,64801797.9958177,84279494.3919005,123.18787485602,4890.31775362957
"full_available_history",1901,1938,622350.239389685,1006325.88457423,18562834.2150571,63982771.9584702,82545606.1735272,120.653521673192,4789.70888787521
"full_available_history",1901,1939,627081.679604102,1016577.04564775,17691702.2212726,63147658.9739737,80839361.1952463,118.159573478856,4690.70402115723
"full_available_history",1901,1940,731978.08858634,1086464.60711352,16970000.1029942,62360919.4092668,79330919.512261,115.954746235742,4603.17669086363
"full_available_history",1901,1941,752127.196012379,1141634.11191763,16315692.8172006,61611895.0247698,77927587.8419704,113.903553980394,4521.7483691708
"full_available_history",1901,1942,545029.688575011,764916.326350151,15502513.435581,60472224.909743,75974738.345324,111.04915409177,4408.43427500682
"full_available_history",1901,1943,437108.518460738,600686.162688696,14631684.7290732,59159074.4064886,73790759.1355617,107.856921396006,4281.70887898825
"full_available_history",1901,1944,535584.445393993,763146.421975162,13912339.0108366,58004262.5155503,71916601.5263869,105.117542206734,4172.96088168028
"full_available_history",1901,1945,641872.549112937,949145.970939907,13353054.7557829,57035248.8917428,70388303.6475256,102.883691977775,4084.2813955994
"full_available_history",1901,1946,720316.3182533,1270709.81994302,12924365.1982642,56390257.7390844,69314622.9373487,101.314336989176,4021.98107122521
"full_available_history",1901,1947,909126.491811446,1203631.90027052,12733505.1290025,55681908.7178593,68415413.8468618,100,3969.80446277304
"full_available_history",1901,1948,849952.046387454,1360057.65190762,12527259.862526,55135135.2486322,67662395.1111582,98.8993434470935,3926.11054981596
"full_available_history",1901,1949,721556.966154317,1246789.34030331,12231352.8939517,54481309.8493024,66712662.7432541,97.5111586587505,3871.00232813678
"full_available_history",1901,1950,685879.765574563,1180941.31733319,11935292.6676306,53769215.8672002,65704508.5348308,96.0375810660168,3812.50417909801
"full_available_history",1901,1951,749015.128180555,1336012.6099132,11735414.4919014,53221445.5922215,64956860.0841229,94.9447740380839,3769.12187693364
"full_available_history",1901,1952,743131.441855881,1305486.77925096,11559528.7413295,52653339.8075069,64212868.5488364,93.8573121732008,3725.95176729056
"full_available_history",1901,1953,741157.559795181,1353534.32594272,11408224.7329104,52144302.6879527,63552527.4208631,92.8921186724332,3687.63547262269
"full_available_history",1901,1954,684449.366939465,1243307.13986863,11223717.5177801,51536737.2875664,62760454.8053465,91.7343786676886,3641.67545824703
"full_available_history",1901,1955,684266.419209607,1169046.68938925,11060200.56877,50867584.350774,61927784.9195441,90.5172993006527,3593.35978721894
"full_available_history",1901,1956,713994.058255907,1302710.15330791,10945571.3729057,50345977.6309536,61291549.0038593,89.587339398475,3556.44219752029
"full_available_history",1901,1957,727860.077101959,1238558.80392322,10861724.1262067,49774635.9176625,60636360.0438692,88.6296766100036,3518.42485740524
"full_available_history",1901,1958,583375.549862804,1026892.5522191,10648002.5453379,49006587.1339139,59654589.6792517,87.1946631979456,3461.45763093197
"full_available_history",1901,1959,607522.836207516,955232.856966438,10472276.6707986,48183157.749539,58655434.4203376,85.7342390000439,3403.48164594825
"full_available_history",1901,1960,629191.93043186,975484.045018201,10331615.2826692,47397721.8958502,57729337.1785193,84.3806007045989,3349.74485248587
"full_available_history",1901,1961,587212.198688363,903442.678004972,10161434.6494099,46559043.8936061,56720478.543016,82.9059934797394,3291.20582906503
"full_available_history",1901,1962,617635.367229759,891753.588110886,10033569.2849584,45728521.9774889,55762091.2624473,81.5051581610876,3235.59540606909
"full_available_history",1901,1963,629408.971871451,864206.819239678,9928696.53306681,44891233.0300825,54819929.5631493,80.1280391080523,3180.92647244399
"full_available_history",1901,1964,671692.288041208,936420.196672638,9876419.85593956,44147753.2654266,54024173.1213662,78.9649146057811,3134.75270404522
"full_available_history",1901,1965,770523.220436779,1069138.98671071,9932045.27504085,43558975.5511269,53491020.8261678,78.1856277971216,3103.81654153726
"full_available_history",1901,1966,842107.997753453,1149035.34963595,10066170.0456049,43071810.763565,53137980.8091699,77.6696037067198,3083.3313941675
"full_available_history",1901,1967,786408.18769879,1101430.86190111,10148682.8000941,42558142.2132223,52706825.0133164,77.0394009912637,3058.31357864481
"full_available_history",1901,1968,796975.867116019,1073177.01869809,10243821.9467598,42036943.3101317,52280765.2568915,76.4166469473014,3033.59146081549
"full_available_history",1901,1969,821332.224519679,1095248.0511199,10363851.5703401,41558344.6217721,51922196.1921122,75.8925412748839,3012.78549044222
"full_available_history",1901,1970,753978.432204574,1061775.70569671,10415465.8584761,41066484.7573617,51481950.6158378,75.2490524007833,2987.24024040072
"full_available_history",1901,1971,719629.354492161,984802.960492267,10430879.9109002,40517601.2020545,50948481.1129547,74.4693019426816,2956.28567191651
"full_available_history",1901,1972,777121.83200943,1012977.05622027,10501878.5397815,40016841.8737304,50518720.4135118,73.84113838234,2931.34880686455
"full_available_history",1901,1973,865755.110073952,1030141.75491432,10659104.9807505,39553037.7970691,50212142.7778195,73.3930264460758,2913.55963922052
"full_available_history",1901,1974,791899.469592467,971611.711990977,10738621.6272329,39050142.1553922,49788763.7826252,72.7741907606819,2888.99307256452
"full_available_history",1901,1975,686368.248458814,899319.740917144,10708018.8074723,38494213.9539895,49202232.7614619,71.916882461011,2854.95960942446
"full_available_history",1901,1976,696920.907214641,866962.204519434,10684176.3210785,37925256.3435306,48609432.6646091,71.0504109109307,2820.56238316071
"full_available_history",1901,1977,774555.915097964,872009.574390906,10735119.1558015,37380775.1407876,48115894.2965891,70.3290261523371,2791.9248188203
"full_available_history",1901,1978,830803.114517424,972283.527379101,10839424.4393051,36955949.8796905,47795374.3189955,69.8605352676499,2773.3266467723
"full_available_history",1901,1979,843208.296671081,1039765.98971352,10952474.0075938,36617468.7414807,47569942.7490744,69.5310312023443,2760.24597968278
"full_available_history",1901,1980,753710.628878874,1058126.92988288,10971547.1906427,36315374.8842483,47286922.074891,69.1173515090271,2743.82370475589
"full_available_history",1901,1981,746553.271421577,1093473.17348218,10979223.6029994,36065810.5905655,47045034.1935649,68.7637939293454,2729.78816017921
"full_available_history",1901,1982,668207.772573798,1069725.80569749,10904986.9290957,35808794.0179501,46713780.9470458,68.2796146663791,2710.56719019016
"full_available_history",1901,1983,653087.843590388,902545.851621605,10813331.883055,35400139.8855792,46213471.7686342,67.5483332923725,2681.53674956941
"full_available_history",1901,1984,728536.316722283,988258.819381866,10796326.3815071,35092663.9859177,45888990.3674248,67.0740521575164,2662.70871591181
"full_available_history",1901,1985,716084.373531875,1028590.06369231,10766620.3053892,34840617.8786268,45607238.184016,66.6622265650564,2646.36004516349
"full_available_history",1901,1986,667783.475049415,855288.876086094,10688662.5336801,34429676.3892046,45118338.9228848,65.9476225984334,2617.99166500533
"full_available_history",1901,1987,623836.230081967,785915.776801676,10567639.9999579,33963733.2478787,44531373.2478366,65.0896789830341,2583.93298107314
"full_available_history",1901,1988,626550.360792775,750175.17951311,10451491.1027358,33476700.7728472,43928191.875583,64.2080335491503,2548.93338129298
"full_available_history",1901,1989,629302.760825473,749235.337855631,10341388.2359651,33003620.5751036,43345008.8110687,63.3556188201834,2515.09418334112
"full_available_history",1901,1990,604986.535206934,836243.962112101,10211092.184257,32632542.6978673,42843634.8821243,62.6227811440616,2486.00196056955
"full_available_history",1901,1991,568466.855079603,736524.602202586,10049262.6346971,32176410.9257291,42225673.5604262,61.7195324652167,2450.14475420683
"full_available_history",1901,1992,583048.390469939,651835.649455369,9908097.34256666,31650215.1994185,41558312.5419851,60.7440782789205,2411.42113038694
"full_available_history",1901,1993,617606.161347977,638511.888689039,9808393.6264361,31125644.7980403,40934038.4244764,59.8316024457608,2375.19762404044
"full_available_history",1901,1994,659252.769878015,618636.393986536,9757434.42506786,30596418.0745633,40353852.4996311,58.9835685127295,2341.53233512113
"full_available_history",1901,1995,707334.878621849,676175.332211857,9761234.58129093,30140146.0161427,39901380.5974337,58.3222089202694,2315.27765250467
"full_available_history",1901,1996,733193.688060889,696330.666077329,9796579.60851144,29719342.4072863,39515922.0157977,57.7587999456505,2292.91141788659
"full_available_history",1901,1997,778862.286520404,692501.965460027,9882009.08586305,29309759.3409788,39191768.4268418,57.2849979604991,2274.10240553534
"full_available_history",1901,1998,805717.902304993,713324.225394806,9997118.76905092,28935804.1653493,38932922.9344002,56.9066541372476,2259.08289555528
"full_available_history",1901,1999,855289.291528526,685086.942237853,10162856.3617756,28548103.4134209,38710959.7751965,56.5822197054095,2246.2034830014
"full_available_history",1901,2000,904245.971526633,718370.171369101,10376582.8938677,28207950.2665258,38584533.1603936,56.3974271159999,2238.86757854014
"full_available_history",1901,2001,814166.792277658,698218.508920697,10496951.7316483,27861573.1557791,38358524.8874274,56.0670801075435,2225.7534482558
"full_available_history",1901,2002,709120.579986128,528129.98015902,10507779.7268039,27358734.0595269,37866513.7863308,55.3479276922736,2197.20450358027
"full_available_history",1901,2003,714853.742657335,497032.040490094,10520202.7702346,26838760.0587064,37358962.8289411,54.6060613074179,2167.75385872646
"full_available_history",1901,2004,732017.466090264,470664.090527347,10546211.2724117,26306821.8211341,36853033.0935458,53.8665645961539,2138.39728528064
"full_available_history",1901,2005,795201.783223789,484165.08641228,10632023.6211977,25803123.6922065,36435147.3134043,53.2557581175482,2114.14946243404
"full_available_history",1901,2006,833111.22603878,520463.894899728,10751919.4055983,25350626.5644572,36102545.9700555,52.7696083968241,2094.85026912498
"full_available_history",1901,2007,837378.086267004,578383.105782125,10871383.6808127,24970875.9063327,35842259.5871453,52.3891584831646,2079.74715147391
"full_available_history",1901,2008,772365.465714313,600054.710517087,10920374.7928736,24627282.7372296,35547657.5301033,51.9585507582716,2062.65286679406
"full_available_history",1901,2009,589899.624802582,480147.853963077,10781516.4925732,24177838.3060693,34959354.7986425,51.0986528224387,2028.51660016208
"full_available_history",1901,2010,671220.175896981,396559.90391071,10720664.72487,23658907.9019827,34379572.6268527,50.2512090386627,1994.87473901424
"full_available_history",1901,2011,734467.200027038,403764.151915936,10721367.0343749,23161671.6963719,33883038.7307468,49.5254458397185,1966.06335915339
"full_available_history",1901,2012,780879.807389388,456067.896407867,10767106.2010627,22731468.8290067,33498575.0300694,48.9634910417281,1943.754852504
"full_available_history",1901,2013,772289.295524182,435648.832669549,10802589.8212958,22295474.7302806,33098064.5515764,48.3780813277863,1920.51523155444
"full_available_history",1901,2014,824978.164306554,472820.424836534,10888888.2575509,21911177.496975,32800065.7545259,47.9425087275569,1903.22385103191
"full_available_history",1901,2015,825253.753697722,438837.709509998,10973057.6855207,21507192.3335625,32480250.0190832,47.4750472046922,1884.66654263548
"full_available_history",1901,2016,784095.656265363,395759.456556774,11013063.8677366,21074272.682426,32087336.5501626,46.9007417275668,1861.86773817461
"full_available_history",1901,2017,802342,386432,11068277.7181548,20646189.5907832,31714467.308938,46.3557340746726,1840.23200004756
"full_available_history",1901,2018,821543.30347076,399993.954298247,11139642.1046686,20245843.9503118,31385486.0549804,45.8748756899028,1821.14286242935
"full_available_history",1901,2019,778964.465600922,387441.95852595,11165108.1286153,19847009.4009735,31012117.5295888,45.3291382538517,1799.47815333797
"full_available_history",1901,2020,672730.883680669,336732.565455598,11081164.2912746,19411408.2111809,30492572.5024555,44.5697406299534,1769.33155257426
"full_available_history",1901,2021,678588.098183124,296152.440236021,11001207.7606606,18949213.5891463,29950421.3498069,43.7773005610208,1737.87323135297
"full_available_history",1901,2022,682740.675751875,312656.646821552,10924931.082211,18517668.4188097,29442599.5010207,43.0350382253388,1708.40686802558
"full_available_history",1901,2023,693847.638197878,370030.141836663,10860288.1884353,18157660.4226698,29017948.6111052,42.4143434636787,1683.766499677
"full_available_history",1901,2024,699141.486471138,360036.225770161,10802178.2134766,17801539.4569229,28603717.6703995,41.8088791137402,1659.73074889264
"cold_start_1925",1925,1925,2246139.39977877,4042915.83900382,2246139.39977877,4042915.83900382,6289055.23878259,14.3054228645381,100
"cold_start_1925",1925,1926,1889365.79527979,4723106.43989263,4114764.24063844,8751344.8762459,12866109.1168843,29.2659429040009,204.579362533551
"cold_start_1925",1925,1927,1590939.18186412,4662469.29330177,5642307.37223131,13367015.1040795,19009322.4763108,43.2396259958171,302.260383389326
"cold_start_1925",1925,1928,1612305.71958189,4611059.53858343,7137051.63213105,17886452.5582456,25023504.1903767,56.9198067761244,397.889718571157
"cold_start_1925",1925,1929,1768765.68542665,5130429.88112256,8725741.2788317,22870645.4218443,31596386.700676,71.8708383983176,502.402753689158
"cold_start_1925",1925,1930,1467294.24202991,4277555.23233369,9942138.48350492,26937221.7727101,36879360.256215,83.8877738241841,586.40541155994
"cold_start_1925",1925,1931,989748.757718043,1662325.92711273,10606063.4099181,28317870.2613399,38923933.671258,88.5384703388875,618.915436315881
"cold_start_1925",1925,1932,623868.773501061,922678.830451554,10832158.5854401,28893291.859846,39725450.4452862,90.361643446795,631.660065574111
"cold_start_1925",1925,1933,543835.045414787,747212.600603993,10914358.6424072,29235752.2700034,40150110.9124106,91.3275989560747,638.4124385618
"cold_start_1925",1925,1934,637240.124604497,809696.399517645,11035171.4177319,29589485.1385853,40624656.5563172,92.4070259680598,645.958017760727
"cold_start_1925",1925,1935,703933.555703038,879553.172721427,11175214.1273037,29966332.2048716,41141546.3321753,93.5827712171091,654.176895735763
"cold_start_1925",1925,1936,816556.811384773,982448.283009582,11386211.7526891,30402637.5297542,41788849.2824433,95.055161277852,664.469426580082
"cold_start_1925",1925,1937,924639.763365943,1323246.96596268,11667998.430313,31138805.3942627,42806803.8245757,97.3706553591062,680.655554758048
"cold_start_1925",1925,1938,622350.239389685,1006325.88457423,11613207.3163426,31518154.1793989,43131361.4957415,98.108911671648,685.816229276604
"cold_start_1925",1925,1939,627081.679604102,1016577.04564775,11534502.5862678,31869953.7883549,43404456.3746227,98.7301079525208,690.158612488586
"cold_start_1925",1925,1940,731978.08858634,1086464.60711352,11538428.8267022,32256214.5496714,43794643.3763736,99.61764826571,696.362835331865
"cold_start_1925",1925,1941,752127.196012379,1141634.11191763,11544657.6527257,32664056.9833188,44208714.6360446,100.559516994914,702.946833149494
"cold_start_1925",1925,1942,545029.688575011,764916.326350151,11329328.9453495,32663116.6710894,43992445.6164389,100.067579865966,699.508017438797
"cold_start_1925",1925,1943,437108.518460738,600686.162688696,10996620.838353,32468762.7452712,43465383.5836242,98.8686962548382,691.127394073232
"cold_start_1925",1925,1944,535584.445393993,763146.421975162,10759030.0656729,32411215.305364,43170245.3710369,98.1973590230536,686.434507759128
"cold_start_1925",1925,1945,641872.549112937,949145.970939907,10628782.6548801,32516522.7503938,43145305.405274,98.1406292372717,686.037946354974
"cold_start_1925",1925,1946,720316.3182533,1270709.81994302,10580231.0468782,32921676.2546288,43501907.301507,98.9517750654163,691.708144543629
"cold_start_1925",1925,1947,909126.491811446,1203631.90027052,10724504.2093028,33238231.4493028,43962735.6586056,100,699.035610110426
"cold_start_1925",1925,1948,849952.046387454,1360057.65190762,10812274.5994687,33690217.6655913,44502492.2650599,101.227759370222,707.618085314744
"cold_start_1925",1925,1949,721556.966154317,1246789.34030331,10773077.9958043,34008254.3602775,44781332.3560818,101.862024019235,712.051821073691
"cold_start_1925",1925,1950,685879.765574563,1180941.31733319,10700105.8151466,34240514.0820018,44940619.8971484,102.224348016321,714.584594837298
"cold_start_1925",1925,1951,749015.128180555,1336012.6099132,10693204.9168472,34609111.9672885,45302316.8841358,103.04708341158,720.335808227138
"cold_start_1925",1925,1952,743131.441855881,1305486.77925096,10683494.8455991,34929036.8310043,45612531.6766034,103.752714641803,725.268421802459
"cold_start_1925",1925,1953,741157.559795181,1353534.32594272,10674650.6186088,35279457.7728562,45954108.391465,104.529683385319,730.699709999059
"cold_start_1925",1925,1954,684449.366939465,1243307.13986863,10611736.9826637,35502651.5541191,46114388.5367828,104.894265213352,733.248266805006
"cold_start_1925",1925,1955,684266.419209607,1169046.68938925,10551555.8173962,35635533.4937376,46187089.3111338,105.059634299834,734.404255607628
"cold_start_1925",1925,1956,713994.058255907,1302710.15330791,10524372.4395719,35887305.0812352,46411677.5208071,105.570494705377,737.975351760327
"cold_start_1925",1925,1957,727860.077101959,1238558.80392322,10514213.8301155,36060838.5216214,46575052.3517369,105.942115871536,740.573116046484
"cold_start_1925",1925,1958,583375.549862804,1026892.5522191,10362330.7219569,36009393.5865373,46371724.3084942,105.479614982552,737.340070135409
"cold_start_1925",1925,1959,607522.836207516,955232.856966438,10238286.4592169,35874600.029424,46112886.488641,104.890848573966,733.224383279027
"cold_start_1925",1925,1960,629191.93043186,975484.045018201,10140643.4035587,35750199.9603419,45890843.3639006,104.385777355322,729.693755604283
"cold_start_1925",1925,1961,587212.198688363,903442.678004972,10006126.8833021,35545383.9013821,45551510.7846842,103.613913243289,724.298150599514
"cold_start_1925",1925,1962,617635.367229759,891753.588110886,9907711.75294199,35322028.3132729,45229740.0662149,102.881996283053,719.181790411024
"cold_start_1925",1925,1963,629408.971871451,864206.819239678,9827062.88541586,35065734.4119791,44892797.297395,102.115568162118,713.824184919787
"cold_start_1925",1925,1964,671692.288041208,936420.196672638,9794634.07993872,34877643.2195992,44672277.2995379,101.613961529697,710.317775936492
"cold_start_1925",1925,1965,770523.220436779,1069138.98671071,9866459.53119887,34819247.5412168,44685707.0724157,101.644509612469,710.531317913273
"cold_start_1925",1925,1966,842107.997753453,1149035.34963595,10013756.7205136,34838088.2634296,44851844.9839433,102.022415830175,713.173016947861
"cold_start_1925",1925,1967,786408.18769879,1101430.86190111,10106939.8131302,34806704.0113136,44913643.8244438,102.16298679232,714.155658030728
"cold_start_1925",1925,1968,796975.867116019,1073177.01869809,10210690.2555807,34744744.3322299,44955434.5878106,102.258046307477,714.820157892474
"cold_start_1925",1925,1969,821332.224519679,1095248.0511199,10337643.7762065,34703032.5559211,45040676.3321275,102.451941757885,716.17555613721
"cold_start_1925",1925,1970,753978.432204574,1061775.70569671,10394804.8071514,34626412.7608178,45021217.5679692,102.407679807697,715.866149343669
"cold_start_1925",1925,1971,719629.354492161,984802.960492267,10414646.2095308,34471836.9649628,44886483.1744936,102.101205719001,713.723786327921
"cold_start_1925",1925,1972,777121.83200943,1012977.05622027,10489165.9570853,34345173.308182,44834339.2652673,101.98259638215,712.894664826416
"cold_start_1925",1925,1973,865755.110073952,1030141.75491432,10649182.7604678,34235975.6132744,44885158.3737422,102.09819225605,713.702721148795
"cold_start_1925",1925,1974,791899.469592467,971611.711990977,10730902.8175856,34068919.5790346,44799822.3966202,101.904082458642,712.345824542199
"cold_start_1925",1925,1975,686368.248458814,899319.740917144,10702033.7878224,33830783.8304953,44532817.6183177,101.296739047677,708.100277823894
"cold_start_1925",1925,1976,696920.907214641,866962.204519434,10679550.7874502,33562285.8661113,44241836.6535615,100.634858115117,703.473494408767
"cold_start_1925",1925,1977,774555.915097964,872009.574390906,10731555.9066408,33301638.4297681,44033194.3364089,100.160269093239,700.155948144171
"cold_start_1925",1925,1978,830803.114517424,972283.527379101,10836688.3797122,33144718.6309218,43981407.010634,100.042470860261,699.33249654757
"cold_start_1925",1925,1979,843208.296671081,1039765.98971352,10950379.8627985,33058901.1516423,44009281.0144408,100.10587456658,699.775711032869
"cold_start_1925",1925,1980,753710.628878874,1058126.92988288,10969949.4867321,32994903.0506415,43964852.5373736,100.004815166154,699.069269836532
"cold_start_1925",1925,1981,746553.271421577,1093473.17348218,10978008.5342913,32969526.5726716,43947535.1069628,99.9654240087314,698.79391161891
"cold_start_1925",1925,1982,668207.772573798,1069725.80569749,10904065.7868446,32923434.7376392,43827500.5244838,99.6923868997326,696.885284998192
"cold_start_1925",1925,1983,653087.843590388,902545.851621605,10812635.7693972,32713071.0324749,43525706.8018721,99.0059106873438,692.086571818657
"cold_start_1925",1925,1984,728536.316722283,988258.819381866,10795801.9758977,32591863.0841059,43387665.0600036,98.691913526338,689.891619848491
"cold_start_1925",1925,1985,716084.373531875,1028590.06369231,10766226.4885832,32514656.6607003,43280883.1492835,98.4490216563931,688.193719183514
"cold_start_1925",1925,1986,667783.475049415,855288.876086094,10688367.706978,32267702.6136022,42956070.3205802,97.7101849488105,683.028987496943
"cold_start_1925",1925,1987,623836.230081967,785915.776801676,10567419.9654299,31955452.085656,42522872.0510858,96.7248088956495,676.140857991847
"cold_start_1925",1925,1988,626550.360792775,750175.17951311,10451327.3939432,31612355.8804383,42063683.2743815,95.6803134387012,668.839462801793
"cold_start_1925",1925,1989,629302.760825473,749235.337855631,10341266.8087832,31273974.9603351,41615241.7691183,94.6602643026657,661.708956100281
"cold_start_1925",1925,1990,604986.535206934,836243.962112101,10211002.3942379,31028859.477494,41239861.8717319,93.8064050244319,655.740175685195
"cold_start_1925",1925,1991,568466.855079603,736524.602202586,10049196.4414253,30690434.064096,40739630.5055214,92.6685518887783,647.786177076218
"cold_start_1925",1925,1992,583048.390469939,651835.649455369,9908048.69304492,30274150.3095412,40182199.0025862,91.4005882496091,638.922659715173
"cold_start_1925",1925,1993,617606.161347977,638511.888689039,9808357.9790686,29852140.0784419,39660498.0575105,90.2138992566243,630.627281072949
"cold_start_1925",1925,1994,659252.769878015,618636.393986536,9757408.38358905,29418545.4476286,39175953.8312176,89.1117289320666,622.922718020221
"cold_start_1925",1925,1995,707334.878621849,676175.332211857,9761215.61431214,29051382.5265551,38812598.1408672,88.2852205610407,617.145130186206
"cold_start_1925",1925,1996,733193.688060889,696330.666077329,9796565.83546619,28713551.9323025,38510117.7677687,87.5971824565708,612.335498824833
"cold_start_1925",1925,1997,778862.286520404,692501.965460027,9881999.11423723,28381174.6578763,38263173.7721136,87.0354703793863,608.408931379022
"cold_start_1925",1925,1998,805717.902304993,713324.225394806,9997111.57106552,28079009.4153471,38076120.9864126,86.609990065437,605.434672470507
"cold_start_1925",1925,1999,855289.291528526,685086.942237853,10162851.1812995,27758016.9957235,37920868.1770231,86.2568436857504,602.966053520682
"cold_start_1925",1925,2000,904245.971526633,718370.171369101,10376579.1764039,27479808.1908716,37856387.3672755,86.1101721722933,601.940767411729
"cold_start_1925",1925,2001,814166.792277658,698218.508920697,10496949.0718617,27190912.8769718,37687861.9488335,85.726835203114,599.261105490447
"cold_start_1925",1925,2002,709120.579986128,528129.98015902,10507777.8293364,26741378.8128947,37249156.6422311,84.7289325475351,592.285410573714
"cold_start_1925",1925,2003,714853.742657335,497032.040490094,10520201.4205454,26270803.7112455,36791005.131791,83.6867965121484,585.000508580567
"cold_start_1925",1925,2004,732017.466090264,470664.090527347,10546210.3151525,25784614.2492536,36330824.5644061,82.6400450748439,577.683343284466
