"initialization_window","first_investment_year_used","year","I_ME_REAL_2017","I_NRC_REAL_2017","K_ME_gross_surviving_2017","K_NRC_gross_surviving_2017","K_core_ME_NRC_gross_surviving_2017","core_index_1947_100","core_index_first_valid_100"
"full_available_history",1901,1901,407832.614810652,1315562.44125393,407832.614810652,1315562.44125393,1723395.05606458,2.51901575852798,100
"full_available_history",1901,1902,459264.436571853,1680703.51963804,863331.106278805,2991489.94268354,3854821.04896235,5.63443357602253,223.675995552925
"full_available_history",1901,1903,522286.528025719,1879751.54431674,1373033.68166407,4855491.01993933,6228524.7016034,9.10397869629945,361.410152575603
"full_available_history",1901,1904,449847.342446562,1738704.26855104,1797002.58104558,6562010.44172888,8359013.02277446,12.2180259575495,485.031739725567
"full_available_history",1901,1905,554159.769680548,1720249.484806,2308917.49175047,8229725.3836785,10538642.875429,15.4039013766959,611.504764293234
"full_available_history",1901,1906,723667.463935774,1954888.87813586,2970922.55163528,10108712.1670826,13079634.7187179,19.1179647732524,758.945818759953
"full_available_history",1901,1907,827979.89116976,2152618.70397563,3713437.06520175,12158565.4429482,15872002.5081499,23.1994540640756,920.972962774656
"full_available_history",1901,1908,461437.612139228,1886342.5385114,4060697.84928392,13911375.0832931,17972072.932577,26.2690407351842,1042.82955143301
"full_available_history",1901,1909,564301.25566163,2169755.28888174,4481503.18789564,15914438.1060257,20395941.2939214,29.811909549469,1183.47451573269
"full_available_history",1901,1910,693967.39784832,2549396.5544941,5002963.69612095,18261182.5022142,23264146.1983352,34.0042468359669,1349.90210842658
"full_available_history",1901,1911,630945.306394454,2363530.51820471,5431037.74563042,20382009.3818824,25813047.1275128,37.7298706184715,1497.80208761058
"full_available_history",1901,1912,903316.644172083,2363530.51820471,6100525.67507475,22459871.2029585,28560396.8780332,41.7455588911025,1657.21705986854
"full_available_history",1901,1913,1059060.89316727,2381985.30194976,6892551.3071434,24511101.0900212,31403652.3971646,45.9014286860227,1822.19696445432
"full_available_history",1901,1914,781618.8123991,1894251.73154499,7370007.72323568,26027587.5670138,33397595.2902495,48.8158931041552,1937.89550299127
"full_available_history",1901,1915,827255.499313968,1531747.05083875,7855444.47297289,27134696.565685,34990141.0386579,51.1436518048087,2030.3029717724
"full_available_history",1901,1916,1349542.02733969,2031344.4107939,8826311.06916364,28696308.535572,37522619.6047356,54.8452716937804,2177.2500433197
"full_available_history",1901,1917,2018880.10209109,2297620.57625812,10425525.8231035,30478797.7086593,40904323.5317628,59.7881694077321,2373.47341735846
"full_available_history",1901,1918,2589700.88445485,2322666.35419783,12543567.2332507,32239214.0402851,44782781.2735358,65.4571517666702,2598.5209320374
"full_available_history",1901,1919,2602015.5460033,2682534.63722621,14606215.0192491,34310999.873211,48917214.8924601,71.5002835500701,2838.42144726606
"full_available_history",1901,1920,2870764.92450198,4176053.92173594,16856132.0688934,37825624.4143495,54681756.4832429,79.9260771931312,3172.90897933235
"full_available_history",1901,1921,2134782.79901774,2831491.1060255,18276109.8717559,39937689.0132314,58213798.8849874,85.0887184798599,3377.85574352987
"full_available_history",1901,1922,2180419.48593261,3092494.476134,19644228.9240349,42250853.3921552,61895082.3161901,90.4694992487124,3591.46221862381
"full_available_history",1901,1923,3038823.83504562,4000733.47615801,21773818.4080871,45411653.643146,67185472.0512331,98.202244601806,3898.4370887458
"full_available_history",1901,1924,2163758.47324941,4123325.96817866,22924084.5364408,48629908.7903183,71553993.3267591,104.587532696831,4151.92054050303
"full_available_history",1901,1925,2246139.39977877,4042915.83900382,24052476.282028,51697929.021454,75750405.303482,110.721255699832,4395.41735001028
"full_available_history",1901,1926,1889365.79527979,4723106.43989263,24724371.3816499,55373204.6934241,80097576.075074,117.075336640309,4647.66193875355
"full_available_history",1901,1927,1590939.18186412,4662469.29330177,25005338.0798857,58910148.7181816,83915486.7980673,122.655819909093,4869.19621260203
