"year","I_ME_REAL_2017","I_NRC_REAL_2017","I_ME_index_1947_100","I_NRC_index_1947_100","I_ME_index_first_valid_100","I_NRC_index_first_valid_100","I_ME_growth_percent","I_NRC_growth_percent","I_core_ME_NRC_REAL_2017","I_core_index_1947_100","I_core_growth_percent"
1901,407832.614810652,1315562.44125393,44.8598317708288,109.299399671798,100,100,NA,NA,1723395.05606458,81.5708536538484,NA
1902,459264.436571853,1680703.51963804,50.5171107330469,139.636006594732,112.611012433392,127.755511022044,12.6110124333925,27.7555110220443,2139967.95620989,101.28786917756,24.1716429833892
1903,522286.528025719,1879751.54431674,57.4492694613988,156.17329051301,128.063943161634,142.885771543086,13.7223974763406,11.8431372549019,2402038.07234246,113.692037922776,12.2464504840867
1904,449847.342446562,1738704.26855104,49.4812709230632,144.454817802707,110.301953818828,132.164328657315,-13.869625520111,-7.50350631136034,2188551.6109976,103.587405886053,-8.88772179770931
1905,554159.769680548,1720249.484806,60.9551888182664,142.921559691079,135.879218472469,130.761523046093,23.1884057971016,-1.06141015921122,2274409.25448655,107.651175970258,3.92303489931451
1906,723667.463935774,1954888.87813586,79.6003053979714,162.415841396069,177.442273534636,148.597194388778,30.5882352941176,13.639846743295,2678556.34207163,126.780059286955,17.7693212770682
1907,827979.89116976,2152618.70397563,91.0742232931745,178.843606877802,203.019538188277,163.627254509019,14.4144144144145,10.1146325016858,2980598.59514539,141.076168780862,11.276307626225
1908,461437.612139228,1886342.5385114,50.756150689197,156.720882695734,113.143872113677,143.386773547094,-44.2694663167104,-12.3698714023273,2347780.15065063,111.123929714323,-21.2312535316046
1909,564301.25566163,2169755.28888174,62.0707086136334,180.267346552886,138.365896980462,164.929859719439,22.291993720565,15.024458420685,2734056.54454337,129.406966494127,16.4528349805537
1910,693967.39784832,2549396.5544941,76.3334259972538,211.808656277813,170.159857904085,193.787575150301,22.9781771501925,17.4969623329284,3243363.95234242,153.513244320678,18.6282690025386
1911,630945.306394454,2363530.51820471,69.401267268902,196.366556724984,154.706927175844,179.659318637275,-9.08141962421709,-7.29058945191339,2994475.82459916,141.732998710199,-7.67376499832848
1912,903316.644172083,2363530.51820471,99.3609417730434,196.366556724984,221.492007104796,179.659318637275,43.1687715269805,0,3266847.16237679,154.624739611497,9.09579351217799
1913,1059060.89316727,2381985.30194976,116.492138630465,197.899814836613,259.680284191829,181.062124248498,17.2413793103449,0.780814277746997,3441046.19511703,162.869839164436,5.33232881986125
1914,781618.8123991,1894251.73154499,85.9747042286398,157.377993315004,191.651865008881,143.987975951904,-26.1969904240766,-20.4759269507473,2675870.54394409,126.652936463181,-22.2367154576057
1915,827255.499313968,1531747.05083875,90.9945433077911,127.26042326516,202.841918294849,116.432865731463,5.83873957367924,-19.1370911621432,2359002.55015272,111.655102589752,-11.841678757909
1916,1349542.02733969,2031344.4107939,148.44381276919,168.767910715672,330.905861456483,154.408817635271,63.1348511383541,32.6161790017211,3380886.43813359,160.02238830546,43.3184732214349
1917,2018880.10209109,2297620.57625812,222.068119263409,190.890634897739,495.026642984013,174.649298597195,49.5974235104664,13.1083711875404,4316500.67834921,204.306403161207,27.6736369983525
1918,2589700.88445485,2322666.35419783,284.855947745493,192.971485192093,634.991119005328,176.553106212426,28.2741298887696,1.09007458405074,4912367.23865268,232.509654538014,13.8043893585429
1919,2602015.5460033,2682534.63722621,286.21050749701,222.870018368847,638.010657193604,203.907815631263,0.475524475524224,15.4937570942111,5284550.18322951,250.125627380516,7.57644790170266
1920,2870764.92450198,4176053.92173594,315.771782074235,346.954406974205,703.907637655418,317.43486973948,10.3285077951006,55.6756756756758,7046818.84623792,333.536426722878,33.347562269367
1921,2134782.79901774,2831491.1060255,234.816916924746,235.245601698419,523.445825932503,215.230460921844,-25.6371435780977,-32.1969696969698,4966273.90504324,235.061137310137,-29.5245980717302
1922,2180419.48593261,3092494.476134,239.836756003897,256.930252134307,534.635879218471,235.070140280562,2.13776722090268,9.2178770949722,5272913.96206661,249.574867709816,6.17444915214959
1923,3038823.83504562,4000733.47615801,334.257538683173,332.388454913735,745.115452930728,304.108216432867,39.3687707641199,29.3691389599318,7039557.31120363,333.192727459322,33.5041186305384
1924,2163758.47324941,4123325.96817866,238.004116340081,342.573669512409,530.550621669627,313.426853707416,-28.7961859356376,3.06425041186144,6287084.44142807,297.577066312472,-10.6892072400345
1925,2246139.39977877,4042915.83900382,247.065663580357,335.893044883171,550.750312311732,307.314629258518,3.80730694057757,-1.95012787723787,6289055.23878259,297.670347085224,0.0313467613307997
1926,1889365.79527979,4723106.43989263,207.822103117379,392.404558140333,463.269911887008,359.018036072145,-15.8838585233899,16.8242582328009,6612472.23517242,312.97815500126,5.14253706018386
1927,1590939.18186412,4662469.29330177,174.996460469891,387.366710059269,390.096113966451,354.408817635272,-15.7950680678792,-1.28384035724247,6253408.47516589,295.983132695245,-5.43009856580769
1928,1612305.71958189,4611059.53858343,177.346687628621,383.095491034018,395.335159825422,350.501002004009,1.34301411149699,-1.10262934690415,6223365.25816532,294.561142508711,-0.480429466904018
1929,1768765.68542665,5130429.88112256,194.556610258091,426.245755032704,433.698929706211,389.979959919841,9.7041128084154,11.2635791881075,6899195.56654921,326.549197125686,10.8595636018177
1930,1467294.24202991,4277555.23233369,161.396049421716,355.387326588162,359.778543633923,325.150300601204,-17.0441707389875,-16.6238437821171,5744849.4743636,271.912278086018,-16.731604156613
1931,989748.757718043,1662325.92711273,108.868102143405,138.109161674688,242.685043268931,126.358572955935,-32.5459932052355,-61.1384111525353,2652074.68483077,125.526643026009,-53.8356105470533
1932,623868.773501061,922678.830451554,68.6228791175136,76.6578910250035,152.971770977834,70.1356926526499,-36.9669556403942,-44.4947097676482,1546547.60395262,73.200400469294,-41.6853675803893
1933,543835.045414787,747212.600603993,59.819513600488,62.0798269334715,133.3476101874,56.7979578294882,-12.828615806035,-19.017042990104,1291047.64601878,61.1072070927404,-16.5206655961211
1934,637240.124604497,809696.399517645,70.0936701706699,67.2710983595286,156.250408001418,61.547546062951,17.1752592954853,8.36225176919454,1446936.52412214,68.4856597680482,12.0746030236822
1935,703933.555703038,879553.172721427,77.4296604535681,73.0749303440483,172.603546195014,66.8575770438596,10.4659811150364,8.62752671808808,1583486.72842447,74.9487842225091,9.43719382473728
1936,816556.811384773,982448.283009582,89.8177336970759,81.6236494553504,200.218614630388,74.6789549626516,15.999131561395,11.6985662128632,1799005.09439436,85.1495893300686,13.6103676842512
1937,924639.763365943,1323246.96596268,101.706393081076,109.937844424469,226.720406801019,100.584124665449,13.2364277015675,34.688714800245,2247886.72932862,106.395825369956,24.9516600221405
