"asset","input_variable","first_year","last_year","observation_count","value_1947","value_2024","ratio_2024_to_1947","first_valid_year_value","ratio_2024_to_first_valid","source_sha256"
"ME","I_ME_REAL_2017",1901,2024,124,909126.491811446,699141.486471138,0.769025534695496,407832.614810652,1.71428537365932,"491BBD4EBA2DA6AE965904F11B265C4A5553E3FA1D00903B8BCCCAA561DBBF8E"
"NRC","I_NRC_REAL_2017",1901,2024,124,1203631.90027052,360036.225770161,0.2991248617532,1315562.44125393,0.273674752698923,"491BBD4EBA2DA6AE965904F11B265C4A5553E3FA1D00903B8BCCCAA561DBBF8E"
