term,EV1,EV2,EV3
y,1,1,1
k,-8.923844025744017,-2.771620942667922,0.5653446941585403
omega,-222.1610988956003,-67.12359769360448,36.41464637543897
omega_k,12.850896840557681,3.616578964243204,-2.153855981787534
const,138.25437855802537,33.68772521406125,-25.56094671072758
