year,VAcorp,NOScorp,Pcorpnipa,NMINT,KGCcorp,INVcorp,KTCcorp,Rcorp,Profshcorp,rcorp,VAcorpnipa,KNCcorpbea,Rcorpnipa,Profshcorpnipa,rcorpnipa,uK,uFRB,Rcorpn,Profshcorpn,rcorpn,IGCcorpbea,DEPCcorp,pIGcorpbea,GOSRcorp,ECcorp,WEQ2,VAcorp_check,Pcorp,rcorp_sectoral,exploit_rate
1946,,,,,,20.679205132210768,173.22216753006873,,,,,,,,,,,,,,12,,19.91072825877894,,,,,,,
1947,118.6,24.9,22.5,2.3999999999999995,170.5828337097477,25.192420766142597,195.77525447589028,0.684669876212078,0.20994940978077573,0.14374603640540254,117.1,190.1,0.7346298619824341,0.19214346712211786,0.1411543287327478,0.885106384754181,,0.7735452912840868,0.229449284911671,0.17748941393192397,15.7,8.9,23.2917448596751,145.11579189808916,82.1,22.133173996175906,118.6,22.5,0.14106583072100312,0.3032886723507917
1948,136,32.1,29.6,2.4999999999999996,191.68359280651978,28.798097438081573,220.48169024460137,0.694674106613144,0.2360294117647059,0.16396352075207296,134.1,208.1,0.70541820094687,0.22073079791200598,0.15570752235665442,0.923893213272095,,0.7518987006656971,0.229324174783279,0.1724285490507807,17.8,10.4,25.34578629720218,167.68073202247191,91.1,23.49115492957747,136,29.6,0.15570752235665442,0.3523600439077937
1949,132.4,30.2,27.6,2.699999999999999,200.7047696097666,28.522770172059257,229.22753978182587,0.6005033790022022,0.2280966767371601,0.13697282511983766,130.3,212.2,0.6261412782316195,0.21181887950882577,0.13262854396924556,0.869800388813019,,0.6903921712678062,0.22900357180577,0.1581022731670685,16.2,11.2,26.095421355358813,158.6485208888889,88.8,20.641845360824735,132.4,27.6,0.1326923076923077,0.3400900900900901
1950,150.6,37.2,34.4,2.8000000000000007,230.20600652901382,35.69829666230825,265.9043031913221,0.6569891215660126,0.2470119521912351,0.16228416548642546,148.4,238.1,0.699340245051838,0.23180592991913745,0.16211121583411875,0.879007756710052,,0.7474213015195563,0.228358741382195,0.17068018769724796,17.8,12,26.736763049192643,184.01629213483145,98.7,21.083110443275732,150.6,34.4,0.16211121583411875,0.3768996960486322
1951,172.9,42.5,39.1,3.4999999999999996,255.84979414602253,42.236510818829736,298.0863049648523,0.6502339297442505,0.24580682475419316,0.15983193761787534,170.3,258.5,0.7152456950860984,0.22959483264826774,0.16421671566568669,0.925842940807343,,0.702315588405568,0.227251913197548,0.15960256113362697,21.7,13.6,29.409212027733457,190.75655596313365,114.6,24.431116460637604,172.9,39.1,0.16414777497900926,0.37085514834205935
1952,180.9,40.6,37,3.700000000000001,276.7328418152084,44.2476572792157,320.9804990944241,0.6068712214783908,0.2244333886124931,0.13620216468779806,178.1,273.5,0.6889748549323017,0.20774845592363841,0.14313346228239845,0.910232961177826,,0.6667207707937863,0.225731729522999,0.15050003270018839,22.7,14.5,30.027549681573046,183.49815614096917,123,25.978018749999993,180.9,37,0.143244289585753,0.3300813008130081
1953,193.6,41.099999999999994,37.3,3.7999999999999976,296.53555848647704,46.10110690219687,342.6366653886739,0.6031519065681555,0.21229338842975204,0.12804516198321894,190.79999999999998,287,0.6976234003656306,0.19549266247379454,0.13638025594149908,0.924771666526794,,0.6522171130452558,0.224032313497744,0.14611770873834828,24.8,15.4,30.56986970529857,184.82250838709675,134,25.812714535901932,193.6,37.3,0.13653001464128842,0.30671641791044774
1954,190.4,40.3,36.4,4.000000000000001,311.23510269058767,46.03747911853146,357.2725818091191,0.5556906753806325,0.2116596638655462,0.11761730156428303,187.4,295.3,0.6529616724738676,0.1942369263607257,0.12682926829268293,0.8767209649086,,0.6338284330163868,0.222374470965749,0.1409472624750687,24.1,16.2,30.757013569024455,183.69793892116184,132.2,26.224844602609725,190.4,36.4,0.1269619811649808,0.3048411497730711
1955,215.70000000000002,51.300000000000004,46.6,4.700000000000004,347.98339125729046,52.78384952113242,400.7672407784229,0.6037407038283239,0.23783031988873435,0.1435878447213399,212.4,325,0.7192685404673214,0.2193973634651601,0.1578056214019641,0.903114199638367,,0.6685098120150021,0.220861684636002,0.1476482032773304,26.6,17.1,31.109799769375808,219.86641028571427,144.6,25.34998326359831,215.70000000000002,46.6,0.15796610169491526,0.35477178423236516
1956,230,50.300000000000004,45.2,5.100000000000001,391.8473726280085,58.82817443841661,450.6755470664251,0.573899202822226,0.21869565217391307,0.12550926044329552,226.4,360.7,0.6966153846153846,0.19964664310954064,0.1390769230769231,0.86929577589035,,0.6601886477987622,0.219490692507833,0.14490526349116017,32.2,19.2,33.505946535497614,207.42586670807455,158.2,27.890666666666657,230,45.2,0.13920542038805053,0.3179519595448799
1957,239.69999999999996,50.5,44.5,6.000000000000001,426.5861093605473,61.555841212633254,488.14195057318057,0.5318682177461707,0.21068001668752612,0.112054004990328,235.59999999999997,386.9,0.6531743831438868,0.18887945670628187,0.12337122262267813,0.843951225280762,,0.6302120333663015,0.218427615734215,0.1376557118552128,34.9,21.3,35.39736411550324,202.83996222349575,166.5,30.074447867298563,239.69999999999996,44.5,0.12361111111111112,0.3033033033033033
1958,233.50000000000003,46.4,39.9,6.499999999999999,442.59008309327965,64.38519516355932,506.975278256839,0.4783444646087522,0.19871520342612417,0.09505431759248864,229.10000000000002,394.4,0.5921426725252004,0.17415975556525531,0.10312742310674593,0.798105180263519,,0.5993501563926851,0.217830668543038,0.13055684525839298,30.2,22.7,35.74767783321535,193.29926917880792,164,33.240445316331524,233.50000000000003,39.9,0.10334110334110333,0.28292682926829266
1959,263.5,57.699999999999996,51.1,6.6,469.2512596112735,71.88719080210795,541.1384504133814,0.5197492092829586,0.21897533206831118,0.11381225569497803,258.2,411.6,0.6546653144016227,0.19790859798605734,0.1295638945233266,0.861047804355621,,0.603624103857882,0.217780789004854,0.1314577336005175,32.7,23.7,36.59370650021059,222.44262138226298,180.3,30.727640017286085,263.5,51.1,0.1298602287166455,0.3200221852468108
