"candidate_model_id","window_id","grid_id","n_effective","n_design_columns","rank_precheck","df_precheck","rank_status","df_status","precheck_status","notes"
"RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_LL00","pre_1974_full","LL00",42,10,10,32,"PASS_RANK_PRECHECK","PASS_RANK_PRECHECK","PASS_RANK_PRECHECK","RHS matrix precheck only; no dependent variable regression fit was run."
"RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_LL11","pre_1974_full","LL11",40,16,16,24,"PASS_RANK_PRECHECK","PASS_RANK_PRECHECK","PASS_RANK_PRECHECK","RHS matrix precheck only; no dependent variable regression fit was run."
"RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_LL22","pre_1974_full","LL22",38,22,22,16,"PASS_RANK_PRECHECK","WARN_LOW_DF","WARN_LOW_DF","RHS matrix precheck only; no dependent variable regression fit was run."
"RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_LL33","pre_1974_full","LL33",36,28,28,8,"PASS_RANK_PRECHECK","BLOCK_INSUFFICIENT_DF","BLOCK_INSUFFICIENT_DF","RHS matrix precheck only; no dependent variable regression fit was run."
"RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL00","post_1973_full","LL00",50,10,10,40,"PASS_RANK_PRECHECK","PASS_RANK_PRECHECK","PASS_RANK_PRECHECK","RHS matrix precheck only; no dependent variable regression fit was run."
"RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL11","post_1973_full","LL11",48,16,16,32,"PASS_RANK_PRECHECK","PASS_RANK_PRECHECK","PASS_RANK_PRECHECK","RHS matrix precheck only; no dependent variable regression fit was run."
"RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL22","post_1973_full","LL22",46,22,22,24,"PASS_RANK_PRECHECK","PASS_RANK_PRECHECK","PASS_RANK_PRECHECK","RHS matrix precheck only; no dependent variable regression fit was run."
"RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL33","post_1973_full","LL33",44,28,28,16,"PASS_RANK_PRECHECK","WARN_LOW_DF","WARN_LOW_DF","RHS matrix precheck only; no dependent variable regression fit was run."
"RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_LL00","fordist_core","LL00",28,10,10,18,"PASS_RANK_PRECHECK","WARN_LOW_DF","WARN_LOW_DF","RHS matrix precheck only; no dependent variable regression fit was run."
"RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_LL11","fordist_core","LL11",26,16,16,10,"PASS_RANK_PRECHECK","WARN_LOW_DF","WARN_LOW_DF","RHS matrix precheck only; no dependent variable regression fit was run."
