"window_id","grid_id","n_lead","n_lag","nominal_start_year","nominal_end_year","complete_case_start_year","complete_case_end_year","effective_start_year","effective_end_year","n_complete_case","n_effective","n_lost_to_lead_lag","sample_feasibility_status","reason"
"pre_1974_full","LL00",0,0,1929,1973,1931,1973,1932,1973,43,42,1,"PASS_SAMPLE_FEASIBLE","Effective sample passes D12E conservative threshold."
"pre_1974_full","LL11",1,1,1929,1973,1931,1973,1933,1972,43,40,3,"PASS_SAMPLE_FEASIBLE","Effective sample passes D12E conservative threshold."
"pre_1974_full","LL22",2,2,1929,1973,1931,1973,1934,1971,43,38,5,"PASS_SAMPLE_FEASIBLE","Effective sample passes D12E conservative threshold."
"pre_1974_full","LL33",3,3,1929,1973,1931,1973,1935,1970,43,36,7,"PASS_SAMPLE_FEASIBLE","Effective sample passes D12E conservative threshold."
"post_1973_full","LL00",0,0,1974,2024,1974,2024,1975,2024,51,50,1,"PASS_SAMPLE_FEASIBLE","Effective sample passes D12E conservative threshold."
"post_1973_full","LL11",1,1,1974,2024,1974,2024,1976,2023,51,48,3,"PASS_SAMPLE_FEASIBLE","Effective sample passes D12E conservative threshold."
"post_1973_full","LL22",2,2,1974,2024,1974,2024,1977,2022,51,46,5,"PASS_SAMPLE_FEASIBLE","Effective sample passes D12E conservative threshold."
"post_1973_full","LL33",3,3,1974,2024,1974,2024,1978,2021,51,44,7,"PASS_SAMPLE_FEASIBLE","Effective sample passes D12E conservative threshold."
"fordist_core","LL00",0,0,1945,1973,1945,1973,1946,1973,29,28,1,"WARN_SMALL_SAMPLE","Effective sample passes minimum but remains small."
"fordist_core","LL11",1,1,1945,1973,1945,1973,1947,1972,29,26,3,"WARN_SMALL_SAMPLE","Effective sample passes minimum but remains small."
"fordist_core","LL22",2,2,1945,1973,1945,1973,1948,1971,29,24,5,"BLOCK_INSUFFICIENT_SAMPLE","Effective n 24 is below threshold 25."
"fordist_core","LL33",3,3,1945,1973,1945,1973,1949,1970,29,22,7,"BLOCK_INSUFFICIENT_SAMPLE","Effective n 22 is below threshold 35."
"bridge_1940_1978","LL00",0,0,1940,1978,1940,1978,1941,1978,39,38,1,"PASS_SAMPLE_FEASIBLE","Effective sample passes D12E conservative threshold."
"bridge_1940_1978","LL11",1,1,1940,1978,1940,1978,1942,1977,39,36,3,"PASS_SAMPLE_FEASIBLE","Effective sample passes D12E conservative threshold."
"bridge_1940_1978","LL22",2,2,1940,1978,1940,1978,1943,1976,39,34,5,"WARN_SMALL_SAMPLE","Effective sample passes minimum but remains small."
"bridge_1940_1978","LL33",3,3,1940,1978,1940,1978,1944,1975,39,32,7,"BLOCK_INSUFFICIENT_SAMPLE","Effective n 32 is below threshold 35."
"pre_1974_alt_1940_1973","LL00",0,0,1940,1973,1940,1973,1941,1973,34,33,1,"WARN_SMALL_SAMPLE","Effective sample passes minimum but remains small."
"pre_1974_alt_1940_1973","LL11",1,1,1940,1973,1940,1973,1942,1972,34,31,3,"WARN_SMALL_SAMPLE","Effective sample passes minimum but remains small."
"pre_1974_alt_1940_1973","LL22",2,2,1940,1973,1940,1973,1943,1971,34,29,5,"WARN_SMALL_SAMPLE","Effective sample passes minimum but remains small."
"pre_1974_alt_1940_1973","LL33",3,3,1940,1973,1940,1973,1944,1970,34,27,7,"BLOCK_INSUFFICIENT_SAMPLE","Effective n 27 is below threshold 35."
"pre_1974_alt_1947_1973","LL00",0,0,1947,1973,1947,1973,1948,1973,27,26,1,"WARN_SMALL_SAMPLE","Effective sample passes minimum but remains small."
"pre_1974_alt_1947_1973","LL11",1,1,1947,1973,1947,1973,1949,1972,27,24,3,"BLOCK_INSUFFICIENT_SAMPLE","Effective n 24 is below threshold 25."
"pre_1974_alt_1947_1973","LL22",2,2,1947,1973,1947,1973,1950,1971,27,22,5,"BLOCK_INSUFFICIENT_SAMPLE","Effective n 22 is below threshold 25."
"pre_1974_alt_1947_1973","LL33",3,3,1947,1973,1947,1973,1951,1970,27,20,7,"BLOCK_INSUFFICIENT_SAMPLE","Effective n 20 is below threshold 35."
"post_1974_tight","LL00",0,0,,,,,,,0,0,0,"BLOCK_WINDOW_FORBIDDEN","Historical short window remains blocked."
"post_1974_tight","LL11",1,1,,,,,,,0,0,0,"BLOCK_WINDOW_FORBIDDEN","Historical short window remains blocked."
"post_1974_tight","LL22",2,2,,,,,,,0,0,0,"BLOCK_WINDOW_FORBIDDEN","Historical short window remains blocked."
"post_1974_tight","LL33",3,3,,,,,,,0,0,0,"BLOCK_WINDOW_FORBIDDEN","Historical short window remains blocked."
"post_1974_support","LL00",0,0,,,,,,,0,0,0,"BLOCK_WINDOW_FORBIDDEN","Historical short window remains blocked."
"post_1974_support","LL11",1,1,,,,,,,0,0,0,"BLOCK_WINDOW_FORBIDDEN","Historical short window remains blocked."
"post_1974_support","LL22",2,2,,,,,,,0,0,0,"BLOCK_WINDOW_FORBIDDEN","Historical short window remains blocked."
"post_1974_support","LL33",3,3,,,,,,,0,0,0,"BLOCK_WINDOW_FORBIDDEN","Historical short window remains blocked."
"volcker_event_profile","LL00",0,0,1979,1982,1979,1982,1980,1982,4,3,1,"BLOCK_DESCRIPTIVE_ONLY","Descriptive event profile is never estimable in D12F."
"volcker_event_profile","LL11",1,1,1979,1982,1979,1982,1981,1981,4,1,3,"BLOCK_DESCRIPTIVE_ONLY","Descriptive event profile is never estimable in D12F."
"volcker_event_profile","LL22",2,2,1979,1982,1979,1982,1982,1980,4,0,4,"BLOCK_DESCRIPTIVE_ONLY","Descriptive event profile is never estimable in D12F."
"volcker_event_profile","LL33",3,3,1979,1982,1979,1982,1983,1979,4,0,4,"BLOCK_DESCRIPTIVE_ONLY","Descriptive event profile is never estimable in D12F."
