"source_folder","file_name","file_path","exists","inspected","rows","columns","relevance","notes"
"D12C","D12C_INPUT_DISCOVERY_LEDGER.csv","C:/ReposGitHub/Capacity-Utilization-US_Chile/output/US/D12C_CONTROLLED_PRELIMINARY_RDOLS_ESTIMATION/csv/D12C_INPUT_DISCOVERY_LEDGER.csv",TRUE,TRUE,20,9,"required D12C D12E input","inspected without modification"
"D12C","D12C_AUTHORIZED_MODEL_OBJECT_LEDGER.csv","C:/ReposGitHub/Capacity-Utilization-US_Chile/output/US/D12C_CONTROLLED_PRELIMINARY_RDOLS_ESTIMATION/csv/D12C_AUTHORIZED_MODEL_OBJECT_LEDGER.csv",TRUE,TRUE,2,10,"required D12C D12E input","inspected without modification"
"D12C","D12C_RDOLS_ESTIMATION_RUN_LEDGER.csv","C:/ReposGitHub/Capacity-Utilization-US_Chile/output/US/D12C_CONTROLLED_PRELIMINARY_RDOLS_ESTIMATION/csv/D12C_RDOLS_ESTIMATION_RUN_LEDGER.csv",TRUE,TRUE,2,12,"required D12C D12E input","inspected without modification"
"D12C","D12C_RDOLS_COEFFICIENT_LEDGER.csv","C:/ReposGitHub/Capacity-Utilization-US_Chile/output/US/D12C_CONTROLLED_PRELIMINARY_RDOLS_ESTIMATION/csv/D12C_RDOLS_COEFFICIENT_LEDGER.csv",TRUE,TRUE,14,10,"required D12C D12E input","inspected without modification"
"D12C","D12C_RDOLS_AUXILIARY_COEFFICIENT_LEDGER.csv","C:/ReposGitHub/Capacity-Utilization-US_Chile/output/US/D12C_CONTROLLED_PRELIMINARY_RDOLS_ESTIMATION/csv/D12C_RDOLS_AUXILIARY_COEFFICIENT_LEDGER.csv",TRUE,TRUE,24,10,"required D12C D12E input","inspected without modification"
"D12C","D12C_RDOLS_SAMPLE_LEDGER.csv","C:/ReposGitHub/Capacity-Utilization-US_Chile/output/US/D12C_CONTROLLED_PRELIMINARY_RDOLS_ESTIMATION/csv/D12C_RDOLS_SAMPLE_LEDGER.csv",TRUE,TRUE,2,11,"required D12C D12E input","inspected without modification"
"D12C","D12C_RDOLS_GATE_STATUS_LEDGER.csv","C:/ReposGitHub/Capacity-Utilization-US_Chile/output/US/D12C_CONTROLLED_PRELIMINARY_RDOLS_ESTIMATION/csv/D12C_RDOLS_GATE_STATUS_LEDGER.csv",TRUE,TRUE,2,9,"required D12C D12E input","inspected without modification"
"D12C","D12C_VALIDATION_CHECKS.csv","C:/ReposGitHub/Capacity-Utilization-US_Chile/output/US/D12C_CONTROLLED_PRELIMINARY_RDOLS_ESTIMATION/csv/D12C_VALIDATION_CHECKS.csv",TRUE,TRUE,26,4,"required D12C D12E input","inspected without modification"
"D12C","D12C_TERMINAL_DECISION.md","C:/ReposGitHub/Capacity-Utilization-US_Chile/output/US/D12C_CONTROLLED_PRELIMINARY_RDOLS_ESTIMATION/D12C_TERMINAL_DECISION.md",TRUE,TRUE,,,"required D12C D12E input","inspected without modification"
"D12D","D12D_COEFFICIENT_REVIEW_LEDGER.csv","C:/ReposGitHub/Capacity-Utilization-US_Chile/output/US/D12D_PRELIMINARY_RESULT_REVIEW/csv/D12D_COEFFICIENT_REVIEW_LEDGER.csv",TRUE,TRUE,14,15,"required D12D D12E input","inspected without modification"
