"year","Y_real","K_total_real","K_real","y_t","k_t","omega_t","omega_k_t","K_machinery_real","K_other_real","s_t","I_total","I_machinery","phi_t","external_pressure_t","D_external_high","GVA","EC","GOS","KNC","KNR","KGC","KGR","IGC","pY","pK","GVA_real","GVA_NF","KGC_NF","pK_NF","Wsh_NF","Py_fred","GOS_NF","EC_NF","Psh_NF","e_NF","KNC_NF","KNR_NF","IGC_NF","IGp_NF","KGR_NF"
1956,2085043.84584122,3797340.29746324,3797340.29746324,14.5503004421744,15.1498114579169,0.635535528362412,9.62824342949811,NA,NA,NA,35341,NA,NA,NA,NA,237233,150770,65660,368854,3533739.17165835,396368.857473764,3797340.29746323,35341,14.271,10.4380652357797,2085043.84584122,237233,396368.857473764,10.4380652357797,0.635535528362412,14.271,65660,150770,0.364464471637588,0.573476155733899,368854,3533739.17165835,35341,10.4380652357797,3797340.29746323
1957,2109077.26451438,4008193.85302717,4008193.85302717,14.561761094406,15.203851287101,0.638957571161781,9.71461589071095,NA,NA,NA,38305,NA,NA,NA,NA,247921,158411,67461,396424,3669883.83968388,432968.537807809,4008193.85302715,38305,14.744,10.8020857693999,2109077.26451438,247921,432968.537807809,10.8020857693999,0.638957571161781,14.744,67461,158411,0.361042428838219,0.565049144314473,396424,3669883.83968388,38305,10.8020857693999,4008193.85302715
1958,2014899.3464191,4170698.90484203,4170698.90484203,14.5160797999659,15.2435941828108,0.640702916019947,9.76661524355157,NA,NA,NA,33954,NA,NA,NA,NA,242248,155209,64733,404910,3748387.47922467,450529.114964628,4170698.90484202,33954,15.08,10.8022450252062,2014899.3464191,242248,450529.114964628,10.8022450252062,0.640702916019947,15.08,64733,155209,0.359297083980053,0.560785779175177,404910,3748387.47922467,33954,10.8022450252062,4170698.90484202
1959,2228896.66644862,4346632.51753789,4346632.51753789,14.6170172525893,15.2849119693692,0.628716570650273,9.60987743607308,NA,NA,NA,36860,NA,NA,NA,NA,271655,170794,76464,422056,3841086.29742217,477605.081420107,4346632.51753789,36860,15.287,10.9879332907269,2228896.66644862,271655,477605.081420107,10.9879332907269,0.628716570650273,15.287,76464,170794,0.371283429349727,0.590541822312259,422056,3841086.29742217,36860,10.9879332907269,4346632.51753789
1960,2286634.60161342,4546115.08453393,4546115.08453393,14.6425916883176,15.3297835986338,0.638652100649948,9.79039849777659,NA,NA,NA,40047,NA,NA,NA,NA,282484,180409,75475,431682,3956153.27592716,496056.627498047,4546115.08453393,40047,15.495,10.9116601378098,2286634.60161342,282484,496056.627498047,10.9116601378098,0.638652100649948,15.495,75475,180409,0.361347899350052,0.565797715191593,431682,3956153.27592716,40047,10.9116601378098,4546115.08453393
1961,2326128.73844189,4738615.80747549,4738615.80747549,14.6597159580966,15.3712556272847,0.635335355670866,9.76590216106871,NA,NA,NA,40201,NA,NA,NA,NA,290423,184516,78287,443252,4063047.27278136,516952.128016294,4738615.80747549,40201,15.66,10.9093488271568,2326128.73844189,290423,516952.128016294,10.9093488271568,0.635335355670866,15.66,78287,184516,0.364664644329134,0.573971904875458,443252,4063047.27278136,40201,10.9093488271568,4738615.80747549
1962,2507040.61981073,4951916.01884394,4951916.01884394,14.7346135795663,15.4152851341648,0.628948763920103,9.69542453060888,NA,NA,NA,43511,NA,NA,NA,NA,316808,199256,87683,457910,4187362.62525965,541517.911658828,4951916.01884395,43511,15.85,10.9355229288652,2507040.61981073,316808,541517.911658828,10.9355229288652,0.628948763920103,15.85,87683,199256,0.371051236079897,0.589954631228169,457910,4187362.62525965,43511,10.9355229288652,4951916.01884395
1963,2643039.90843313,5179920.64921896,5179920.64921896,14.7874402931444,15.4603002954347,0.621930029689577,9.6152250217495,NA,NA,NA,46201,NA,NA,NA,NA,337829,210106,96056,473397,4320281.11631778,567592.438907842,5179920.64921895,46201,16.032,10.9575508457533,2643039.90843313,337829,567592.438907842,10.9575508457533,0.621930029689577,16.032,96056,210106,0.378069970310423,0.607897918193674,473397,4320281.11631778,46201,10.9575508457533,5179920.64921895
1964,2809129.44482674,5441413.66253077,5441413.66253077,14.8483851871986,15.509549449509,0.619047357779893,9.60114560707515,NA,NA,NA,51757,NA,NA,NA,NA,364523,225657,104988,499570,4484385.98472772,606184.889670143,5441413.66253079,51757,16.276,11.1402096452305,2809129.44482674,364523,606184.889670143,11.1402096452305,0.619047357779893,16.276,104988,225657,0.380952642220107,0.615385297154531,499570,4484385.98472772,51757,11.1402096452305,5441413.66253079
1965,3032710.39869675,5770496.796255,5770496.796255,14.9249672986621,15.5682687346488,0.61236559273945,9.53347211162025,NA,NA,NA,61567,NA,NA,NA,NA,400741,245400,119319,534604,4709573.13705432,655034.029516025,5770496.79625502,61567,16.574,11.3514321668307,3032710.39869675,400741,655034.029516025,11.3514321668307,0.61236559273945,16.574,119319,245400,0.38763440726055,0.63301140994295,534604,4709573.13705432,61567,11.3514321668307,5770496.79625502
1966,3239530.15083045,6157051.98006903,6157051.98006903,14.990938862077,15.6331086462922,0.620003181239775,9.69257709336818,NA,NA,NA,71377,NA,NA,NA,NA,440080,272851,130256,582406,4987884.67011127,718922.800479285,6157051.98006904,71377,17.039,11.6764127184001,3239530.15083045,440080,718922.800479285,11.6764127184001,0.620003181239775,17.039,130256,272851,0.379996818760225,0.612894949991021,582406,4987884.67011127,71377,11.6764127184001,6157051.98006904
1967,3313586.99298466,6525603.40549313,6525603.40549313,15.0135418442731,15.691243982835,0.628388720851657,9.86020073494497,NA,NA,NA,73210,NA,NA,NA,NA,463191,291064,132816,632741,5237805.84585488,788310.400558808,6525603.40549313,73210,17.533,12.0802683150377,3313586.99298466,463191,788310.400558808,12.0802683150377,0.628388720851657,17.533,132816,291064,0.371611279148343,0.591371657092598,632741,5237805.84585488,73210,12.0802683150377,6525603.40549313
1968,3505836.10678337,6902629.32564396,6902629.32564396,15.0699395968742,15.7474129586695,0.627992500156573,9.88925723491285,NA,NA,NA,79559,NA,NA,NA,NA,510944,320869,144540,696068,5491383.35549486,874952.462503753,6902629.32564397,79559,18.28,12.675640270197,3505836.10678337,510944,874952.462503753,12.675640270197,0.627992500156573,18.28,144540,320869,0.372007499843427,0.592375704726851,696068,5491383.35549486,79559,12.675640270197,6902629.32564397
1969,3627738.03191489,7303356.58992714,7303356.58992714,15.1041198803099,15.8038446072792,0.641990534144692,10.1459186409669,NA,NA,NA,88572,NA,NA,NA,NA,554625,356064,148380,767094,5760876.67150752,972484.109528336,7303356.58992712,88572,19.176,13.315577536904,3627738.03191489,554625,972484.109528336,13.315577536904,0.641990534144692,19.176,148380,356064,0.358009465855308,0.557655365327582,767094,5760876.67150752,88572,13.315577536904,7303356.58992712
1970,3559188.01921839,7669943.38079228,7669943.38079228,15.0850429923238,15.8528197914117,0.653676971146293,10.362623225378,NA,NA,NA,90918,NA,NA,NA,NA,572890,374485,144156,843414,5990150.31465955,1079929.09806224,7669943.38079227,90918,20.189,14.080013951168,3559188.01921839,572890,1079929.09806224,14.080013951168,0.653676971146293,20.189,144156,374485,0.346323028853707,0.529807602440685,843414,5990150.31465955,90918,14.080013951168,7669943.38079227
1971,3654849.63775222,8005788.25238625,8005788.25238625,15.1115655115379,15.8956753695696,0.64098353494678,10.1888661887532,NA,NA,NA,93782,NA,NA,NA,NA,618097,396190,162391,921543,6188667.73738872,1192127.03550017,8005788.25238623,93782,21.212,14.8908139700652,3654849.63775222,618097,1192127.03550017,14.8908139700652,0.64098353494678,21.212,162391,396190,0.35901646505322,0.560102476084707,921543,6188667.73738872,93782,14.8908139700652,8005788.25238623
1972,3887808.90971532,8384340.59212634,8384340.59212634,15.1733562946189,15.9418763087787,0.641336309259143,10.2241041145379,NA,NA,NA,106816,NA,NA,NA,NA,685949,439924,182360,998403,6424608.81294013,1302951.05023988,8384340.59212636,106816,22.13,15.5402924764706,3887808.90971532,685949,1302951.05023988,15.5402924764706,0.641336309259143,22.13,182360,439924,0.358663690740857,0.559244324019603,998403,6424608.81294013,106816,15.5402924764706,8384340.59212636
1973,4131343.18670208,8805416.25956475,8805416.25956475,15.2341131388668,15.9908775741573,0.64395880536602,10.2974664194086,NA,NA,NA,124968,NA,NA,NA,NA,768838,495100,203663,1124922,6711738.56304138,1475833.18040528,8805416.25956477,124968,23.342,16.7605157655344,4131343.18670208,768838,1475833.18040528,16.7605157655344,0.64395880536602,23.342,203663,495100,0.35604119463398,0.552894364774793,1124922,6711738.56304138,124968,16.7605157655344,8805416.25956477
1974,4091901.78516684,9180454.45066614,9180454.45066614,15.2245204040957,16.0325872658012,0.654104621464026,10.4869894245859,NA,NA,NA,140734,NA,NA,NA,NA,830040,542933,212677,1372198,6984242.97755698,1803688.85744316,9180454.45066614,140734,25.443,19.647054153319,4091901.78516684,830040,1803688.85744316,19.647054153319,0.654104621464026,25.443,212677,542933,0.345895378535974,0.528807421910254,1372198,6984242.97755698,140734,19.647054153319,9180454.45066614
1975,4052858.41151079,9497695.66433388,9497695.66433388,15.2149329707567,16.0665597654989,0.6334561606626,10.1774612641091,NA,NA,NA,143302,NA,NA,NA,NA,898280,569021,249065,1518805,7155660.51375974,2015907.21579514,9497695.66433388,143302,27.8,21.225224381166,4052858.41151079,898280,2015907.21579514,21.225224381166,0.6334561606626,27.8,249065,569021,0.3665438393374,0.578641210078363,1518805,7155660.51375974,143302,21.225224381166,9497695.66433388
1976,4339158.7810433,9829911.98999653,9829911.98999653,15.2831910580366,16.1009405388784,0.630753371060034,10.1557225221347,NA,NA,NA,160253,NA,NA,NA,NA,1014666,640004,287994,1666379,7344499.40558666,2230289.3645166,9829911.98999652,160253,29.33,22.6888029799887,4339158.7810433,1014666,2230289.3645166,22.6888029799887,0.630753371060034,29.33,287994,640004,0.369246628939966,0.585405716214274,1666379,7344499.40558666,160253,22.6888029799887,9829911.98999652
1977,4619806.51733436,10223305.8876403,10223305.8876403,15.3458633828161,16.1401805628058,0.630403843120234,10.1748318554473,NA,NA,NA,191207,NA,NA,NA,NA,1147401,723326,329444,1850996,7589688.85511134,2493290.39253757,10223305.8876403,191207,31.152,24.3882988530344,4619806.51733436,1147401,2493290.39253757,24.3882988530344,0.630403843120234,31.152,329444,723326,0.369596156879766,0.586284745743966,1850996,7589688.85511134,191207,24.3882988530344,10223305.8876403
1978,4905061.25627568,10684183.0976702,10684183.0976702,15.405778139441,16.1842749906232,0.636152526475711,10.2956674244626,NA,NA,NA,230684,NA,NA,NA,NA,1303931,829499,371706,2097947,7903488.33481002,2836070.47010929,10684183.0976702,230684,33.343,26.5445700825524,4905061.25627568,1303931,2836070.47010929,26.5445700825524,0.636152526475711,33.343,371706,829499,0.363847473524289,0.57195005660043,2097947,7903488.33481002,230684,26.5445700825524,10684183.0976702
1979,5037703.94705068,11189051.02601,11189051.02601,15.4324609701844,16.2304462711521,0.649784944902043,10.5462996360362,NA,NA,NA,272473,NA,NA,NA,NA,1450326,942400,399169,2414175,8256647.17351138,3271585.51080847,11189051.0260099,272473,36.11,29.2391687481215,5037703.94705068,1450326,3271585.51080847,29.2391687481215,0.649784944902043,36.11,399169,942400,0.350215055097957,0.538970713073005,2414175,8256647.17351138,272473,29.2391687481215,11189051.0260099
1980,5016122.84564781,11661560.0267217,11661560.0267217,15.4281678517541,16.2718085229664,0.654602937898175,10.6515736640504,NA,NA,NA,296668,NA,NA,NA,NA,1574527,1030690,422301,2766412,8574318.06557097,3762477.59296236,11661560.0267217,296668,39.371,32.2639302489624,5016122.84564781,1574527,3762477.59296236,32.2639302489624,0.654602937898175,39.371,422301,1030690,0.345397062101825,0.52764361738253,2766412,8574318.06557097,296668,32.2639302489624,11661560.0267217
1981,5206837.96264241,12159807.3813135,12159807.3813135,15.4654833125217,16.3136465940243,0.637119794842787,10.3937471711225,NA,NA,NA,339138,NA,NA,NA,NA,1789067,1139850,502566,3125661,8897580.99770747,4271659.42170986,12159807.3813135,339138,43.097,35.1293346001048,5206837.96264241,1789067,4271659.42170986,35.1293346001048,0.637119794842787,43.097,502566,1139850,0.362880205157213,0.569563539062157,3125661,8897580.99770747,339138,35.1293346001048,12159807.3813135
1982,5084278.62295942,12618332.7985328,12618332.7985328,15.4416637136764,16.3506612984686,0.637923812080797,10.4304761855611,NA,NA,NA,343827,NA,NA,NA,NA,1854861,1183260,518686,3320755,9143200.60416114,4582901.9340691,12618332.7985328,343827,45.759,36.3193934352561,5084278.62295942,1854861,4582901.9340691,36.3193934352561,0.637923812080797,45.759,518686,1183260,0.362076187919203,0.567585315146291,3320755,9143200.60416114,343827,36.3193934352561,12618332.7985328
1983,5238209.5342362,13046049.1126,13046049.1126,15.4714903059676,16.3839958959026,0.62949324210345,10.3136146951214,NA,NA,NA,342125,NA,NA,NA,NA,1985899,1250110,567771,3415779,9353332.26397308,4764336.31716815,13046049.1126,342125,47.552,36.5193805116579,5238209.5342362,1985899,4764336.31716815,36.5193805116579,0.62949324210345,47.552,567771,1250110,0.37050675789655,0.588579405012359,3415779,9353332.26397308,342125,36.5193805116579,13046049.1126
1984,5667134.75551586,13590399.9594989,13590399.9594989,15.5501942138554,16.424874216121,0.623632973944295,10.2430931540605,NA,NA,NA,401008,NA,NA,NA,NA,2226000,1388207,652790,3613437,9680896.76539947,5072676.14235583,13590399.9594988,401008,49.267,37.3254367603092,5667134.75551586,2226000,5072676.14235583,37.3254367603092,0.623632973944295,49.267,652790,1388207,0.376367026055705,0.60350725792335,3613437,9680896.76539947,401008,37.3254367603092,13590399.9594988
1985,5846606.61118325,14165803.54235,14165803.54235,15.58137198444,16.4663414169481,0.628950706261489,10.3565170637323,NA,NA,NA,428068,NA,NA,NA,NA,2369165,1490088,682498,3801706,10019645.3469796,5374862.92745954,14165803.54235,428068,50.826,37.9425206017497,5846606.61118325,2369165,5374862.92745954,37.9425206017497,0.628950706261489,50.826,682498,1490088,0.371049293738511,0.589949721090298,3801706,10019645.3469796,428068,37.9425206017497,14165803.54235
1986,5962860.52182299,14671721.0507339,14671721.0507339,15.6010608772268,16.5014324609431,0.640257827171573,10.5651712926619,NA,NA,NA,417120,NA,NA,NA,NA,2464907,1578176,682166,3959550,10276018.8766581,5653299.56899869,14671721.0507339,417120,51.849,38.531945566917,5962860.52182299,2464907,5653299.56899869,38.531945566917,0.640257827171573,51.849,682166,1578176,0.359742172828427,0.561870792611217,3959550,10276018.8766581,417120,38.531945566917,14671721.0507339
1987,6236467.87473181,15125346.4957104,15125346.4957104,15.6459245343652,16.5318824704261,0.637971431188591,10.5468687198993,NA,NA,NA,417524,NA,NA,NA,NA,2641902,1685458,739604,4154780,10485290.222612,5993395.1067873,15125346.4957104,417524,53.134,39.6248450142088,6236467.87473181,2641902,5993395.1067873,39.6248450142088,0.637971431188591,53.134,739604,1685458,0.362028568811409,0.567468308317383,4154780,10485290.222612,417524,39.6248450142088,15125346.4957104
1988,6553020.15386853,15580229.8615118,15580229.8615118,15.6954365935348,16.5615133519252,0.635130978444682,10.5187301797329,NA,NA,NA,443910,NA,NA,NA,NA,2873908,1825308,814761,4404530,10696282.1962819,6415648.78082389,15580229.8615118,443910,55.008,41.1781394616817,6553020.15386853,2873908,6415648.78082389,41.1781394616817,0.635130978444682,55.008,814761,1825308,0.364869021555318,0.574478389400583,4404530,10696282.1962819,443910,41.1781394616817,15580229.8615118
