"year","Y_real","K_total_real","K_real","y_t","k_t","omega_t","omega_k_t","K_machinery_real","K_other_real","s_t","I_total","I_machinery","phi_t","external_pressure_t","D_external_high","GVA","EC","GOS","KNC","KNR","KGC","KGR","IGC","pY","pK","GVA_real","GVA_NF","KGC_NF","pK_NF","Wsh_NF","Py_fred","GOS_NF","EC_NF","Psh_NF","e_NF","KNC_NF","KNR_NF","IGC_NF","IGp_NF","KGR_NF"
1929,726233.54978355,881468.510833,881468.510833,13.4956269359913,13.6893445579279,0.632503689129365,8.65856093465239,NA,NA,NA,7769,NA,NA,NA,NA,50825,32147,15725,102600,2408448.64541875,37550.5906607121,881468.510833001,7769,8.778,4.26000364156245,726233.54978355,50825,37550.5906607121,4.26000364156245,0.632503689129365,8.778,15725,32147,0.367496310870635,0.581018446511338,102600,2408448.64541875,7769,4.26000364156245,881468.510833001
1930,671248.179259785,1024632.46384834,1024632.46384834,13.4168942123394,13.8398445343971,0.636138668552111,8.80406027507959,NA,NA,NA,6446,NA,NA,NA,NA,45259,28791,13477,97578,2450604.02445983,40798.7522910525,1024632.46384834,6446,8.457,3.98179383637911,671248.179259785,45259,40798.7522910525,3.98179383637911,0.636138668552111,8.457,13477,28791,0.363861331447889,0.571984300649508,97578,2450604.02445983,6446,3.98179383637911,1024632.46384834
1931,585743.965730855,1118348.18391257,1118348.18391257,13.2806380545344,13.9273633188381,0.663881911320595,9.24612457976659,NA,NA,NA,4175,NA,NA,NA,NA,35431,23522,9113,87862,2442861.199738,40223.4511504233,1118348.18391257,4175,7.587,3.59668408542504,585743.965730855,35431,40223.4511504233,3.59668408542504,0.663881911320595,7.587,9113,23522,0.336118088679405,0.506291981974322,87862,2442861.199738,4175,3.59668408542504,1118348.18391257
1932,481512.475820896,1167166.14693141,1167166.14693141,13.0846874202084,13.970089272113,0.677734147194899,9.4680065390721,NA,NA,NA,2552,NA,NA,NA,NA,25721,17432,5395,82123,2407158.17463178,39819.2302004044,1167166.14693141,2552,6.7,3.41161627289251,481512.475820896,25721,39819.2302004044,3.41161627289251,0.677734147194899,6.7,5395,17432,0.322265852805101,0.475504818724185,82123,2407158.17463178,2552,3.41161627289251,1167166.14693141
1933,480916.445809027,1205967.55549457,1205967.55549457,13.0834488246619,14.0027927533324,0.664517937219731,9.30510695575984,NA,NA,NA,2380,NA,NA,NA,NA,24976,16597,4974,82685,2368228.97255812,42105.4840902302,1205967.55549456,2380,6.514,3.49142760088291,480916.445809027,24976,42105.4840902302,3.49142760088291,0.664517937219731,6.514,4974,16597,0.335482062780269,0.50485027414593,82685,2368228.97255812,2380,3.49142760088291,1205967.55549456
1934,574730.774559744,1255945.21982602,1255945.21982602,13.2616569919742,14.0433990102709,0.622061999745903,8.73586487155877,NA,NA,NA,2956,NA,NA,NA,NA,31484,19585,7882,83912,2344140.18453465,44958.4354985846,1255945.21982602,2956,6.871,3.57964939783062,574730.774559744,31484,44958.4354985846,3.57964939783062,0.622061999745903,6.871,7882,19585,0.377938000254097,0.607556803676283,83912,2344140.18453465,2956,3.57964939783062,1255945.21982602
1935,624832.496862521,1315817.98073989,1315817.98073989,13.3452388877788,14.0899690687937,0.616558357905585,8.6872881919959,NA,NA,NA,3428,NA,NA,NA,NA,34931,21537,9318,83436,2330160.08434244,47115.4706402907,1315817.98073989,3428,7.012,3.58069819153842,624832.496862521,34931,47115.4706402907,3.58069819153842,0.616558357905585,7.012,9318,21537,0.383441642094415,0.621906486511585,83436,2330160.08434244,3428,3.58069819153842,1315817.98073989
1936,710187.227279132,1389267.21833882,1389267.21833882,13.4732839146478,14.1442869850469,0.61320426040215,8.67333703958143,NA,NA,NA,4422,NA,NA,NA,NA,40184,24641,11261,91866,2340268.77217373,54534.9422243367,1389267.21833882,4422,7.097,3.92544655948519,710187.227279132,40184,54534.9422243367,3.92544655948519,0.61320426040215,7.097,11261,24641,0.38679573959785,0.630777971673227,91866,2340268.77217373,4422,3.92544655948519,1389267.21833882
1937,775257.555795731,1489304.57087629,1489304.57087629,13.5609505831851,14.2138198380133,0.629079145811021,8.94161764240918,NA,NA,NA,5723,NA,NA,NA,NA,45751,28781,12441,95067,2371024.99259656,59714.1396997445,1489304.57087629,5723,7.402,4.00953175512039,775257.555795731,45751,59714.1396997445,4.00953175512039,0.629079145811021,7.402,12441,28781,0.370920854188979,0.58962509989229,95067,2371024.99259656,5723,4.00953175512039,1489304.57087629
1938,702013.014742698,1555545.07764739,1555545.07764739,13.4617072223556,14.2573365744225,0.633989364345709,9.03899975208096,NA,NA,NA,4467,NA,NA,NA,NA,40242,25513,10245,93989,2373175.77724151,61606.9520450536,1555545.07764739,4467,7.19,3.96047359413255,702013.014742698,40242,61606.9520450536,3.96047359413255,0.633989364345709,7.19,10245,25513,0.366010635654291,0.577313526437502,93989,2373175.77724151,4467,3.96047359413255,1555545.07764739
1939,782920.871348315,1626436.68248137,1626436.68248137,13.5707869115626,14.3019020954451,0.630537992484756,9.0178926359755,NA,NA,NA,4824,NA,NA,NA,NA,44443,28023,11768,94830,2379843.20964087,64808.8873985036,1626436.68248137,4824,7.12,3.98471628785623,782920.871348315,44443,64808.8873985036,3.98471628785623,0.630537992484756,7.12,11768,28023,0.369462007515244,0.585947257609821,94830,2379843.20964087,4824,3.98471628785623,1626436.68248137
1940,889189.643858432,1715622.72985476,1715622.72985476,13.6980658144214,14.3552866804615,0.607110693449235,8.71524805123757,NA,NA,NA,5979,NA,NA,NA,NA,51078,31010,15041,100547,2405652.62538031,71706.4121389663,1715622.72985476,5979,7.205,4.17961425266479,889189.643858432,51078,71706.4121389663,4.17961425266479,0.607110693449235,7.205,15041,31010,0.392889306550765,0.647146081909062,100547,2405652.62538031,5979,4.17961425266479,1715622.72985476
1941,1087303.56734269,1817219.57023165,1817219.57023165,13.899211397899,14.4128181822523,0.594511097780444,8.56858035964076,NA,NA,NA,7339,NA,NA,NA,NA,66680,39642,21120,112617,2446087.37670543,83664.1480143753,1817219.57023165,7339,7.692,4.60396472638197,1087303.56734269,66680,83664.1480143753,4.60396472638197,0.594511097780444,7.692,21120,39642,0.405488902219556,0.682054386761516,112617,2446087.37670543,7339,4.60396472638197,1817219.57023165
1942,1269278.79624277,1876904.55960109,1876904.55960109,14.0539594201574,14.4451344669669,0.604405412159509,8.73071745120667,NA,NA,NA,5984,NA,NA,NA,NA,84033,50790,26966,120147,2443076.2782025,92303.4839863076,1876904.55960109,5984,8.304,4.91785709156812,1269278.79624277,84033,92303.4839863076,4.91785709156812,0.604405412159509,8.304,26966,50790,0.395594587840491,0.654518606024808,120147,2443076.2782025,5984,4.91785709156812,1876904.55960109
1943,1439901.30600023,1915561.77776852,1915561.77776852,14.1800851317035,14.4655214941134,0.621900080256822,8.99610897814588,NA,NA,NA,5216,NA,NA,NA,NA,99680,61991,31048,121044,2423934.29486241,95657.4030573604,1915561.77776852,5216,8.683,4.99369971605896,1439901.30600023,99680,95657.4030573604,4.99369971605896,0.621900080256822,8.683,31048,61991,0.378099919743178,0.607975351260667,121044,2423934.29486241,5216,4.99369971605896,1915561.77776852
1944,1456657.8663667,1977953.3609917,1977953.3609917,14.1916552369896,14.4975732120151,0.627959009724536,9.10388171762594,NA,NA,NA,6646,NA,NA,NA,NA,103244,64833,31073,122510,2427590.62875883,99818.751722149,1977953.3609917,6646,8.89,5.04656751219362,1456657.8663667,103244,99818.751722149,5.04656751219362,0.627959009724536,8.89,31073,64833,0.372040990275464,0.592460629617633,122510,2427590.62875883,6646,5.04656751219362,1977953.3609917
1945,1328216.50526316,2070943.16265062,2070943.16265062,14.0993476268021,14.5435146956026,0.638440192180252,9.28516431723683,NA,NA,NA,9022,NA,NA,NA,NA,96576,61658,26820,134003,2465659.51697451,112551.061780498,2070943.16265062,9022,9.12,5.43477309326264,1328216.50526316,96576,112551.061780498,5.43477309326264,0.638440192180252,9.12,26820,61658,0.361559807819748,0.566317428395342,134003,2465659.51697451,9022,5.43477309326264,2070943.16265062
1946,1227613.14957265,2197210.46656807,2197210.46656807,14.0205823132805,14.602699144033,0.663415069811751,9.68765067207862,NA,NA,NA,12964,NA,NA,NA,NA,100771,66853,24393,161715,2537065.56718696,140052.308933832,2197210.46656807,12964,10.296,6.37409620356427,1227613.14957265,100771,140052.308933832,6.37409620356427,0.663415069811751,10.296,24393,66853,0.336584930188249,0.507351951296127,161715,2537065.56718696,12964,6.37409620356427,2197210.46656807
1947,1341561.4657798,2346286.19853907,2346286.19853907,14.1093447664935,14.668344295017,0.644483720777999,9.45350910890532,NA,NA,NA,16831,NA,NA,NA,NA,122211,78763,32256,192728,2643099.25018316,171085.155595539,2346286.19853907,16831,11.426,7.29174282754023,1341561.4657798,122211,171085.155595539,7.29174282754023,0.644483720777999,11.426,32256,78763,0.355516279222001,0.551629572261087,192728,2643099.25018316,16831,7.29174282754023,2346286.19853907
1948,1455627.9562443,2505555.73718216,2505555.73718216,14.1909479505293,14.7340211190663,0.624581372598025,9.20259513443471,NA,NA,NA,18915,NA,NA,NA,NA,140041,87467,40196,211040,2746121.83467642,192552.448364779,2505555.73718217,18915,12.067,7.68501955503613,1455627.9562443,140041,192552.448364779,7.68501955503613,0.624581372598025,12.067,40196,87467,0.375418627401975,0.601072404449678,211040,2746121.83467642,18915,7.68501955503613,2505555.73718217
1949,1419119.00614312,2637652.25681124,2637652.25681124,14.1655468188294,14.7853997828012,0.622946489496739,9.21051289050187,NA,NA,NA,17205,NA,NA,NA,NA,136291,84902,38434,215670,2813441.39406346,202194.530665119,2637652.25681124,17205,12.046,7.6657008194689,1419119.00614312,136291,202194.530665119,7.6657008194689,0.622946489496739,12.046,38434,84902,0.377053510503261,0.605274316270524,215670,2813441.39406346,17205,7.6657008194689,2637652.25681124
1950,1592827.60541205,2766015.84713308,2766015.84713308,14.2810213629557,14.8329185204504,0.609475288313768,9.04029729178614,NA,NA,NA,18927,NA,NA,NA,NA,154866,94387,46116,241923,2890009.3274238,231543.492069792,2766015.84713308,18927,12.195,8.3710110449939,1592827.60541205,154866,231543.492069792,8.3710110449939,0.609475288313768,12.195,46116,94387,0.390524711686232,0.640755612531387,241923,2890009.3274238,18927,8.3710110449939,2766015.84713308
1951,1706080.10750383,2922213.37866539,2922213.37866539,14.3497089622642,14.887851893495,0.618138626346099,9.20275631868915,NA,NA,NA,22791,NA,NA,NA,NA,177643,109808,52470,262117,2983783.53794378,256708.234506678,2922213.37866539,22791,13.06,8.78471902089229,1706080.10750383,177643,256708.234506678,8.78471902089229,0.618138626346099,13.06,52470,109808,0.381861373653901,0.617760090339502,262117,2983783.53794378,22791,8.78471902089229,2922213.37866539
1952,1754849.68568418,3084208.72287323,3084208.72287323,14.3778937620312,14.9418056906467,0.63357057934292,9.46668848785237,NA,NA,NA,24435,NA,NA,NA,NA,185883,117770,51316,277787,3083579.94546959,277843.643963093,3084208.72287323,24435,13.286,9.00858758042339,1754849.68568418,185883,277843.643963093,9.00858758042339,0.63357057934292,13.286,51316,117770,0.36642942065708,0.578356117856839,277787,3083579.94546959,24435,9.00858758042339,3084208.72287323
1953,1856589.97575667,3262878.62044169,3262878.62044169,14.4342520166857,14.9981203761222,0.644071883964771,9.65986764657945,NA,NA,NA,26931,NA,NA,NA,NA,199043,128198,52960,292500,3195420.74700718,298674.907638712,3262878.62044169,26931,13.447,9.15372413081921,1856589.97575667,199043,298674.907638712,9.15372413081921,0.644071883964771,13.447,52960,128198,0.355928116035229,0.552621725767953,292500,3195420.74700718,26931,9.15372413081921,3262878.62044169
1954,1812883.74535809,3427964.33459605,3427964.33459605,14.410429364878,15.0474771545022,0.642039314043351,9.66107191035957,NA,NA,NA,26377,NA,NA,NA,NA,196164,125945,52902,301967,3289625.11445612,314665.674722667,3427964.33459605,26377,13.572,9.17937422939223,1812883.74535809,196164,314665.674722667,9.17937422939223,0.642039314043351,13.572,52902,125945,0.357960685956649,0.557537020127834,301967,3289625.11445612,26377,9.17937422939223,3427964.33459605
1955,2011937.46308239,3594842.79352226,3594842.79352226,14.5146087277517,15.0950108189801,0.622858846487424,9.40206102642512,NA,NA,NA,28956,NA,NA,NA,NA,221376,137886,64330,332305,3396304.03284581,351730.652776823,3594842.79352226,28956,13.801,9.7843124993011,2011937.46308239,221376,351730.652776823,9.7843124993011,0.622858846487424,13.801,64330,137886,0.377141153512576,0.605500195813933,332305,3396304.03284581,28956,9.7843124993011,3594842.79352226
