spec,basis,window,det_tag,p,r,m,T_window,T_eff_common,logLik,k_total,k_longrun,k_rank,k_other,xi_val,IC_xi_eta
Q1,ortho,fordism,SR_const__LR_none,1,0,4,49,42,312.391443491386,4,0,0,4,1,-609.8322085096385
Q1,ortho,fordism,SR_const__LR_none,1,1,4,49,42,330.7630171856451,11,7,7,4,1.3333333333333333,-615.4281090791286
Q1,ortho,fordism,SR_const__LR_none,1,2,4,49,42,339.07516065823427,16,12,12,4,2,-603.3969289508011
Q1,ortho,fordism,SR_const__LR_none,1,3,4,49,42,341.9650445028389,19,15,15,4,4,-568.0623308388933
Q1,ortho,fordism,SR_const__LR_none,2,0,4,49,42,317.94939199356054,20,0,0,20,1,-561.1453916214537
Q1,ortho,fordism,SR_const__LR_none,2,1,4,49,42,331.74771349538247,27,7,7,20,1.3333333333333333,-537.6605498418916
Q1,ortho,fordism,SR_const__LR_none,2,2,4,49,42,339.57837993178595,32,12,12,20,2,-484.79793971283675
Q1,ortho,fordism,SR_const__LR_none,2,3,4,49,42,342.61222637480915,35,15,15,20,4,-330.14583901269833
Q1,ortho,fordism,SR_const__LR_none,3,0,4,49,42,324.1142686687534,36,0,0,36,1,-513.6724310793056
Q1,ortho,fordism,SR_const__LR_none,3,1,4,49,42,344.351210898799,43,7,7,36,1.3333333333333333,-483.13059279201275
Q1,ortho,fordism,SR_const__LR_none,3,2,4,49,42,356.03553628332975,48,12,12,36,2,-398.1068246308565
Q1,ortho,fordism,SR_const__LR_none,3,3,4,49,42,360.96524304809225,51,15,15,36,4,-127.64101678912891
Q1,ortho,fordism,SR_const__LR_none,4,0,4,49,42,330.9501612257536,52,0,0,52,1,-467.5415023007721
Q1,ortho,fordism,SR_const__LR_none,4,1,4,49,42,352.01936660462746,59,7,7,52,1.3333333333333333,-418.7299523469578
Q1,ortho,fordism,SR_const__LR_none,4,2,4,49,42,366.1866484912036,64,12,12,52,2,-298.8036212615364
Q1,ortho,fordism,SR_const__LR_none,4,3,4,49,42,370.9006468238514,67,15,15,52,4,91.69903122948836
Q1,ortho,fordism,SR_const__LR_none,5,0,4,49,42,352.232397646098,68,0,0,68,1,-450.3032612489269
Q1,ortho,fordism,SR_const__LR_none,5,1,4,49,42,401.62793414847977,75,7,7,68,1.3333333333333333,-438.2101355779506
Q1,ortho,fordism,SR_const__LR_none,5,2,4,49,42,412.2124113159111,80,12,12,68,2,-271.24971912588364
Q1,ortho,fordism,SR_const__LR_none,5,3,4,49,42,415.60505791737,83,15,15,68,4,241.5010646125868
Q1,ortho,fordism,SR_const__LR_none,6,0,4,49,42,400.3508545650113,84,0,0,84,1,-486.7374611942196
Q1,ortho,fordism,SR_const__LR_none,6,1,4,49,42,418.8873050774321,91,7,7,84,1.3333333333333333,-392.9919255791433
Q1,ortho,fordism,SR_const__LR_none,6,2,4,49,42,428.6210529689381,96,12,12,84,2,-184.46157464686985
Q1,ortho,fordism,SR_const__LR_none,6,3,4,49,42,432.03808750391937,99,15,15,84,4,447.8458610096235
Q1,ortho,fordism,SR_const__LR_none,7,0,4,49,42,425.1809408099229,100,0,0,100,1,-476.59491979150897
Q1,ortho,fordism,SR_const__LR_none,7,1,4,49,42,465.7423150991742,107,7,7,100,1.3333333333333333,-406.9649937659158
Q1,ortho,fordism,SR_const__LR_none,7,2,4,49,42,487.8130334284874,112,12,12,100,2,-183.24010778090076
Q1,ortho,fordism,SR_const__LR_none,7,3,4,49,42,492.6381775912088,115,15,15,100,4,565.8565364051803
Q1,ortho,fordism,SR_none__LR_const,1,0,4,49,42,308.82500261762186,0,0,0,0,1,-617.6500052352437
Q1,ortho,fordism,SR_none__LR_const,1,1,4,49,42,327.65597045108126,8,7,7,1,1.3333333333333333,-624.1646940831345
Q1,ortho,fordism,SR_none__LR_const,1,2,4,49,42,337.23175691823917,14,12,12,2,2,-614.6607999439444
Q1,ortho,fordism,SR_none__LR_const,1,3,4,49,42,340.14309810960964,18,15,15,3,4,-579.3691165255683
Q1,ortho,fordism,SR_none__LR_const,2,0,4,49,42,314.60871545013674,16,0,0,16,1,-569.4147170077396
Q1,ortho,fordism,SR_none__LR_const,2,1,4,49,42,329.61433274346035,24,7,7,17,1.3333333333333333,-548.3444668111808
Q1,ortho,fordism,SR_none__LR_const,2,2,4,49,42,337.6289277884047,30,12,12,18,2,-495.84971389920776
Q1,ortho,fordism,SR_none__LR_const,2,3,4,49,42,340.89514204519304,34,15,15,19,4,-341.66234882659955
Q1,ortho,fordism,SR_none__LR_const,3,0,4,49,42,319.6586241751903,32,0,0,32,1,-519.7118205653128
Q1,ortho,fordism,SR_none__LR_const,3,1,4,49,42,342.4271167510443,40,7,7,33,1.3333333333333333,-494.2330829696368
Q1,ortho,fordism,SR_none__LR_const,3,2,4,49,42,354.2820585015737,46,12,12,34,2,-409.55054754047796
Q1,ortho,fordism,SR_none__LR_const,3,3,4,49,42,359.2332295666509,50,15,15,35,4,-139.1276682993797
Q1,ortho,fordism,SR_none__LR_const,4,0,4,49,42,329.0525339300058,48,0,0,48,1,-478.69692618240987
Q1,ortho,fordism,SR_none__LR_const,4,1,4,49,42,350.50937877552434,56,7,7,49,1.3333333333333333,-430.6606551618851
Q1,ortho,fordism,SR_none__LR_const,4,2,4,49,42,365.1547209906191,62,12,12,50,2,-311.690444733501
Q1,ortho,fordism,SR_none__LR_const,4,3,4,49,42,369.8720203282085,66,15,15,51,4,78.80560574764058
Q1,ortho,fordism,SR_none__LR_const,5,0,4,49,42,346.07927103150257,64,0,0,64,1,-452.9476864928696
Q1,ortho,fordism,SR_none__LR_const,5,1,4,49,42,395.5848485598664,72,7,7,65,1.3333333333333333,-441.0746428738573
Q1,ortho,fordism,SR_none__LR_const,5,2,4,49,42,406.17062743217696,78,12,12,66,2,-274.1168298315489
Q1,ortho,fordism,SR_none__LR_const,5,3,4,49,42,412.85289012788394,82,15,15,67,4,232.0547217184253
Q1,ortho,fordism,SR_none__LR_const,6,0,4,49,42,386.1388081877097,80,0,0,80,1,-473.2640469127499
Q1,ortho,fordism,SR_none__LR_const,6,1,4,49,42,407.25052341079305,88,7,7,81,1.3333333333333333,-384.66904071899876
Q1,ortho,fordism,SR_none__LR_const,6,2,4,49,42,419.79009488248744,94,12,12,82,2,-181.75033694710203
Q1,ortho,fordism,SR_none__LR_const,6,3,4,49,42,429.1831684169968,98,15,15,83,4,438.6050207103352
Q1,ortho,fordism,SR_none__LR_const,7,0,4,49,42,397.8685763748804,96,0,0,96,1,-436.92086939455737
Q1,ortho,fordism,SR_none__LR_const,7,1,4,49,42,441.9088152710055,104,7,7,97,1.3333333333333333,-374.24867258271183
Q1,ortho,fordism,SR_none__LR_const,7,2,4,49,42,470.4801887507278,110,12,12,98,2,-163.5250968985149
Q1,ortho,fordism,SR_none__LR_const,7,3,4,49,42,489.8451108721647,114,15,15,99,4,556.4919913701351
Q1,ortho,fordism,SR_none__LR_none,1,0,4,49,42,308.82500261762186,0,0,0,0,1,-617.6500052352437
Q1,ortho,fordism,SR_none__LR_none,1,1,4,49,42,320.08505190788395,7,7,7,0,1.3333333333333333,-614.0064164877843
Q1,ortho,fordism,SR_none__LR_none,1,2,4,49,42,325.86469987970304,12,12,12,0,2,-606.8773643400057
Q1,ortho,fordism,SR_none__LR_none,1,3,4,49,42,327.68709958499966,15,15,15,0,4,-599.3091548957487
Q1,ortho,fordism,SR_none__LR_none,2,0,4,49,42,314.60871545013674,16,0,0,16,1,-569.4147170077396
Q1,ortho,fordism,SR_none__LR_none,2,1,4,49,42,327.4103060997876,23,7,7,16,1.3333333333333333,-548.9199730148797
Q1,ortho,fordism,SR_none__LR_none,2,2,4,49,42,331.3912190317561,28,12,12,16,2,-498.324974859044
Q1,ortho,fordism,SR_none__LR_none,2,3,4,49,42,333.5723202950088,31,15,15,16,4,-371.8687407456315
Q1,ortho,fordism,SR_none__LR_none,3,0,4,49,42,319.6586241751903,32,0,0,32,1,-519.7118205653128
Q1,ortho,fordism,SR_none__LR_none,3,1,4,49,42,336.36495342548073,39,7,7,32,1.3333333333333333,-487.0923158095542
Q1,ortho,fordism,SR_none__LR_none,3,2,4,49,42,343.25478309979303,44,12,12,32,2,-402.44667521005005
Q1,ortho,fordism,SR_none__LR_none,3,3,4,49,42,345.44470757714555,47,15,15,32,4,-156.40265973976943
Q1,ortho,fordism,SR_none__LR_none,4,0,4,49,42,329.0525339300058,48,0,0,48,1,-478.69692618240987
Q1,ortho,fordism,SR_none__LR_none,4,1,4,49,42,344.15170766240135,55,7,7,48,1.3333333333333333,-422.92887242668354
Q1,ortho,fordism,SR_none__LR_none,4,2,4,49,42,348.87150755664953,60,12,12,48,2,-294.0746963386953
Q1,ortho,fordism,SR_none__LR_none,4,3,4,49,42,350.86168061788595,63,15,15,48,4,71.97424974888531
Q1,ortho,fordism,SR_none__LR_none,5,0,4,49,42,346.07927103150257,64,0,0,64,1,-452.9476864928696
Q1,ortho,fordism,SR_none__LR_none,5,1,4,49,42,363.0491816017786,71,7,7,64,1.3333333333333333,-380.9868684487263
Q1,ortho,fordism,SR_none__LR_none,5,2,4,49,42,369.75506685540114,76,12,12,64,2,-216.23638715113066
Q1,ortho,fordism,SR_none__LR_none,5,3,4,49,42,372.6808798990066,79,15,15,64,4,267.5467067567797
Q1,ortho,fordism,SR_none__LR_none,6,0,4,49,42,386.1388081877097,80,0,0,80,1,-473.2640469127499
Q1,ortho,fordism,SR_none__LR_none,6,1,4,49,42,402.4725747925551,87,7,7,80,1.3333333333333333,-380.0967029735674
Q1,ortho,fordism,SR_none__LR_none,6,2,4,49,42,412.44885475750897,92,12,12,80,2,-182.0185351702786
Q1,ortho,fordism,SR_none__LR_none,6,3,4,49,42,415.36830563608,95,15,15,80,4,421.38271085276847
Q1,ortho,fordism,SR_none__LR_none,7,0,4,49,42,397.8685763748804,96,0,0,96,1,-436.92086939455737
Q1,ortho,fordism,SR_none__LR_none,7,1,4,49,42,434.3172559251475,103,7,7,96,1.3333333333333333,-364.0491133820403
Q1,ortho,fordism,SR_none__LR_none,7,2,4,49,42,454.9365329488673,108,12,12,96,2,-147.38846376792742
Q1,ortho,fordism,SR_none__LR_none,7,3,4,49,42,458.70014486323726,111,15,15,96,4,573.9298879685896
Q1,ortho,full,SR_const__LR_none,1,0,4,99,92,562.1136926248953,4,0,0,4,1,-1106.1402309415944
Q1,ortho,full,SR_const__LR_none,1,1,4,99,92,582.470339878797,11,7,7,4,1.3333333333333333,-1109.171953973989
Q1,ortho,full,SR_const__LR_none,1,2,4,99,92,590.3535042432645,16,12,12,4,2,-1090.2712369455483
Q1,ortho,full,SR_const__LR_none,1,3,4,99,92,593.2857481680583,19,15,15,4,4,-1046.3960504475963
Q1,ortho,full,SR_const__LR_none,2,0,4,99,92,569.9699030399561,20,0,0,20,1,-1049.5040345389314
Q1,ortho,full,SR_const__LR_none,2,1,4,99,92,583.1737985991595,27,7,7,20,1.3333333333333333,-1014.1140484376679
Q1,ortho,full,SR_const__LR_none,2,2,4,99,92,592.0762498567303,32,12,12,20,2,-949.0194937069106
Q1,ortho,full,SR_const__LR_none,2,3,4,99,92,593.775526412465,35,15,15,20,4,-757.9811380052711
Q1,ortho,full,SR_const__LR_none,3,0,4,99,92,579.0770651244369,36,0,0,36,1,-995.3697414751084
Q1,ortho,full,SR_const__LR_none,3,1,4,99,92,594.9008226317278,43,7,7,36,1.3333333333333333,-941.1032735257584
Q1,ortho,full,SR_const__LR_none,3,2,4,99,92,601.3608072817283,48,12,12,36,2,-822.8913740913372
Q1,ortho,full,SR_const__LR_none,3,3,4,99,92,603.8257179200398,51,15,15,36,4,-488.68705208928213
Q1,ortho,full,SR_const__LR_none,4,0,4,99,92,586.7456494594232,52,0,0,52,1,-938.3582929122964
Q1,ortho,full,SR_const__LR_none,4,1,4,99,92,603.036008771719,59,7,7,52,1.3333333333333333,-860.9088228286946
Q1,ortho,full,SR_const__LR_none,4,2,4,99,92,606.798119092769,64,12,12,52,2,-689.0687632478492
Q1,ortho,full,SR_const__LR_none,4,3,4,99,92,608.6694892138688,67,15,15,52,4,-208.98012574580162
Q1,ortho,full,SR_const__LR_none,5,0,4,99,92,599.1920329093716,68,0,0,68,1,-890.9024425794084
Q1,ortho,full,SR_const__LR_none,5,1,4,99,92,617.1206956291567,75,7,7,68,1.3333333333333333,-792.6133735665237
Q1,ortho,full,SR_const__LR_none,5,2,4,99,92,622.8967568378952,80,12,12,68,2,-576.5688042725324
Q1,ortho,full,SR_const__LR_none,5,3,4,99,92,626.0750028571155,83,15,15,68,4,45.603315898843675
Q1,ortho,full,SR_const__LR_none,6,0,4,99,92,626.4675061762648,84,0,0,84,1,-873.1047718804102
Q1,ortho,full,SR_const__LR_none,6,1,4,99,92,636.1552461528331,91,7,7,84,1.3333333333333333,-734.2176516368304
Q1,ortho,full,SR_const__LR_none,6,2,4,99,92,642.4118978381256,96,12,12,84,2,-470.9018518074239
Q1,ortho,full,SR_const__LR_none,6,3,4,99,92,645.3845711854642,99,15,15,84,4,296.3786481732848
Q1,ortho,full,SR_const__LR_none,7,0,4,99,92,641.6042144292701,100,0,0,100,1,-831.0295711536362
Q1,ortho,full,SR_const__LR_none,7,1,4,99,92,659.7880085574154,107,7,7,100,1.3333333333333333,-685.0183534689489
Q1,ortho,full,SR_const__LR_none,7,2,4,99,92,668.2498770821583,112,12,12,100,2,-377.88057582991996
Q1,ortho,full,SR_const__LR_none,7,3,4,99,92,672.0462015096685,115,15,15,100,4,532.4498564560147
Q1,ortho,full,SR_none__LR_const,1,0,4,99,92,554.0047751488084,0,0,0,0,1,-1108.009550297617
Q1,ortho,full,SR_none__LR_const,1,1,4,99,92,574.4024474133687,8,7,7,1,1.3333333333333333,-1111.1233233513287
Q1,ortho,full,SR_none__LR_const,1,2,4,99,92,587.1166220803567,14,12,12,2,2,-1101.8846269279288
Q1,ortho,full,SR_none__LR_const,1,3,4,99,92,590.8412499032543,18,15,15,3,4,-1059.5942082261845
Q1,ortho,full,SR_none__LR_const,2,0,4,99,92,562.4556934967286,16,0,0,16,1,-1052.5627697606726
Q1,ortho,full,SR_none__LR_const,2,1,4,99,92,577.0713035061201,24,7,7,17,1.3333333333333333,-1019.9962125597854
Q1,ortho,full,SR_none__LR_const,2,2,4,99,92,588.7291611015198,30,12,12,18,2,-960.4124705046856
Q1,ortho,full,SR_none__LR_const,2,3,4,99,92,592.3693536823679,34,15,15,19,4,-773.2559468532731
Q1,ortho,full,SR_none__LR_const,3,0,4,99,92,571.064825209353,32,0,0,32,1,-997.4324159531367
Q1,ortho,full,SR_none__LR_const,3,1,4,99,92,587.18014813469,40,7,7,33,1.3333333333333333,-943.7490788398788
Q1,ortho,full,SR_none__LR_const,3,2,4,99,92,599.1806577363061,46,12,12,34,2,-836.618229308689
Q1,ortho,full,SR_none__LR_const,3,3,4,99,92,602.1945043745367,50,15,15,35,4,-503.51177930647214
Q1,ortho,full,SR_none__LR_const,4,0,4,99,92,581.6559723188923,48,0,0,48,1,-946.2660929394306
Q1,ortho,full,SR_none__LR_const,4,1,4,99,92,598.2526658951598,56,7,7,49,1.3333333333333333,-869.4292913837724
Q1,ortho,full,SR_none__LR_const,4,2,4,99,92,604.8959278259823,62,12,12,50,2,-703.351535022472
Q1,ortho,full,SR_none__LR_const,4,3,4,99,92,607.67837879848,66,15,15,51,4,-225.08505922322024
Q1,ortho,full,SR_none__LR_const,5,0,4,99,92,591.7925710869977,64,0,0,64,1,-894.1906732428567
Q1,ortho,full,SR_none__LR_const,5,1,4,99,92,609.7737800503902,72,7,7,65,1.3333333333333333,-796.006696717187
Q1,ortho,full,SR_none__LR_const,5,2,4,99,92,617.8342387275169,78,12,12,66,2,-584.530922359972
Q1,ortho,full,SR_none__LR_const,5,3,4,99,92,623.5995986532849,82,15,15,67,4,32.466969998308514
Q1,ortho,full,SR_none__LR_const,6,0,4,99,92,613.4894165013336,80,0,0,80,1,-865.235746838744
Q1,ortho,full,SR_none__LR_const,6,1,4,99,92,627.776642599159,88,7,7,81,1.3333333333333333,-735.5475988376784
Q1,ortho,full,SR_none__LR_const,6,2,4,99,92,636.8110370896438,94,12,12,82,2,-477.7872846186565
Q1,ortho,full,SR_none__LR_const,6,3,4,99,92,643.0488579710977,98,15,15,83,4,282.9629202938215
Q1,ortho,full,SR_none__LR_const,7,0,4,99,92,617.0140176151174,96,0,0,96,1,-799.9363318335269
Q1,ortho,full,SR_none__LR_const,7,1,4,99,92,653.0920137907206,104,7,7,97,1.3333333333333333,-689.7135182437554
