spec,basis,det_tag,p,T_window,T_eff,m,r_from,r_to,LR_step,df_step,pval_step,reject_step,ll_source
Q1,ortho,SR_const__LR_none,1,50,49,4,0,1,30.002772009665136,7,9.484861622643947e-5,TRUE,stats_logLik
Q1,ortho,SR_const__LR_none,1,50,49,4,1,2,15.665019126156835,5,0.007868472493395062,TRUE,stats_logLik
Q1,ortho,SR_const__LR_none,1,50,49,4,2,3,10.148696190809574,3,0.017343545935313842,TRUE,stats_logLik
Q1,ortho,SR_const__LR_none,2,50,48,4,0,1,17.872387776595474,7,0.012559222818874005,TRUE,stats_logLik
Q1,ortho,SR_const__LR_none,2,50,48,4,1,2,13.91342381866491,5,0.016168813286707606,TRUE,stats_logLik
Q1,ortho,SR_const__LR_none,2,50,48,4,2,3,7.974226824060111,3,0.046547373432300976,TRUE,stats_logLik
Q1,ortho,SR_const__LR_none,3,50,47,4,0,1,33.48564981275263,7,2.149265745243767e-5,TRUE,stats_logLik
Q1,ortho,SR_const__LR_none,3,50,47,4,1,2,20.493254749120297,5,0.0010094757667844512,TRUE,stats_logLik
Q1,ortho,SR_const__LR_none,3,50,47,4,2,3,7.133294326873056,3,0.06776842417292894,FALSE,stats_logLik
Q1,ortho,SR_const__LR_none,4,50,46,4,0,1,23.9555986203992,7,0.0011600064567767188,TRUE,stats_logLik
Q1,ortho,SR_const__LR_none,4,50,46,4,1,2,14.1473249789301,5,0.014700179875127506,TRUE,stats_logLik
Q1,ortho,SR_const__LR_none,4,50,46,4,2,3,7.367111893401329,3,0.06107304682713277,FALSE,stats_logLik
Q1,ortho,SR_const__LR_none,5,50,45,4,0,1,23.483089935610792,7,0.0014037909365407497,TRUE,stats_logLik
Q1,ortho,SR_const__LR_none,5,50,45,4,1,2,20.147277577867612,5,0.0011726404207070829,TRUE,stats_logLik
Q1,ortho,SR_const__LR_none,5,50,45,4,2,3,9.026253300792973,3,0.028943863326750474,TRUE,stats_logLik
Q1,ortho,SR_const__LR_none,6,50,44,4,0,1,40.40241987996717,7,1.0541123494078875e-06,TRUE,stats_logLik
Q1,ortho,SR_const__LR_none,6,50,44,4,1,2,26.640213201624874,5,6.702105565603578e-5,TRUE,stats_logLik
Q1,ortho,SR_const__LR_none,6,50,44,4,2,3,10.458614115960017,3,0.015044285609589925,TRUE,stats_logLik
Q1,ortho,SR_const__LR_none,7,50,43,4,0,1,92.58115537130845,7,0,TRUE,stats_logLik
Q1,ortho,SR_const__LR_none,7,50,43,4,1,2,36.24994609527084,5,8.465003810131932e-7,TRUE,stats_logLik
Q1,ortho,SR_const__LR_none,7,50,43,4,2,3,29.455615357006764,3,1.7962878094968104e-6,TRUE,stats_logLik
Q1,ortho,SR_none__LR_const,1,50,49,4,0,1,33.41169328742353,7,2.2186839579219075e-5,TRUE,stats_logLik
Q1,ortho,SR_none__LR_const,1,50,49,4,1,2,25.144503036235392,5,1.306610207295611e-4,TRUE,stats_logLik
Q1,ortho,SR_none__LR_const,1,50,49,4,2,3,11.635444874689256,3,0.00874225417208363,TRUE,stats_logLik
Q1,ortho,SR_none__LR_const,2,50,48,4,0,1,24.11745423356456,7,0.0010864310408363886,TRUE,stats_logLik
Q1,ortho,SR_none__LR_const,2,50,48,4,1,2,15.595077151439,5,0.0081004571446881,TRUE,stats_logLik
Q1,ortho,SR_none__LR_const,2,50,48,4,2,3,8.658816506715993,3,0.0341884796982187,TRUE,stats_logLik
Q1,ortho,SR_none__LR_const,3,50,47,4,0,1,44.673985854591706,7,1.582037145730908e-7,TRUE,stats_logLik
Q1,ortho,SR_none__LR_const,3,50,47,4,1,2,20.892084598299448,5,8.489809654774749e-4,TRUE,stats_logLik
Q1,ortho,SR_none__LR_const,3,50,47,4,2,3,9.090895789407114,3,0.028106472700820784,TRUE,stats_logLik
Q1,ortho,SR_none__LR_const,4,50,46,4,0,1,24.86750009030243,7,8.009463997818989e-4,TRUE,stats_logLik
Q1,ortho,SR_none__LR_const,4,50,46,4,1,2,14.76054991105184,5,0.011436000678067937,TRUE,stats_logLik
Q1,ortho,SR_none__LR_const,4,50,46,4,2,3,9.074765108918086,3,0.028313183273389164,TRUE,stats_logLik
Q1,ortho,SR_none__LR_const,5,50,45,4,0,1,29.261363321316026,7,1.2963811492794353e-4,TRUE,stats_logLik
Q1,ortho,SR_none__LR_const,5,50,45,4,1,2,20.44828662918178,5,0.0010293472364760747,TRUE,stats_logLik
Q1,ortho,SR_none__LR_const,5,50,45,4,2,3,15.884001447469586,3,0.0011977997007143193,TRUE,stats_logLik
