spec,basis,window,det_tag,p,r,k_longrun,k_total,T_window,T_eff,m,logLik,ll_source,status
Q1,ortho,fordism,SR_const__LR_none,1,0,0,4,49,48,4,312.391443491386,stats_logLik,computed
Q1,ortho,fordism,SR_const__LR_none,1,1,7,11,49,48,4,330.7630171856451,stats_logLik,computed
Q1,ortho,fordism,SR_const__LR_none,1,2,12,16,49,48,4,339.07516065823427,stats_logLik,computed
Q1,ortho,fordism,SR_const__LR_none,1,3,15,19,49,48,4,341.9650445028389,stats_logLik,computed
Q1,ortho,fordism,SR_const__LR_none,2,0,0,20,49,47,4,317.94939199356054,stats_logLik,computed
Q1,ortho,fordism,SR_const__LR_none,2,1,7,27,49,47,4,331.74771349538247,stats_logLik,computed
Q1,ortho,fordism,SR_const__LR_none,2,2,12,32,49,47,4,339.57837993178595,stats_logLik,computed
Q1,ortho,fordism,SR_const__LR_none,2,3,15,35,49,47,4,342.61222637480915,stats_logLik,computed
Q1,ortho,fordism,SR_const__LR_none,3,0,0,36,49,46,4,324.1142686687534,stats_logLik,computed
Q1,ortho,fordism,SR_const__LR_none,3,1,7,43,49,46,4,344.351210898799,stats_logLik,computed
Q1,ortho,fordism,SR_const__LR_none,3,2,12,48,49,46,4,356.03553628332975,stats_logLik,computed
Q1,ortho,fordism,SR_const__LR_none,3,3,15,51,49,46,4,360.96524304809225,stats_logLik,computed
Q1,ortho,fordism,SR_const__LR_none,4,0,0,52,49,45,4,330.9501612257536,stats_logLik,computed
Q1,ortho,fordism,SR_const__LR_none,4,1,7,59,49,45,4,352.01936660462746,stats_logLik,computed
Q1,ortho,fordism,SR_const__LR_none,4,2,12,64,49,45,4,366.1866484912036,stats_logLik,computed
Q1,ortho,fordism,SR_const__LR_none,4,3,15,67,49,45,4,370.9006468238514,stats_logLik,computed
Q1,ortho,fordism,SR_const__LR_none,5,0,0,68,49,44,4,352.232397646098,stats_logLik,computed
Q1,ortho,fordism,SR_const__LR_none,5,1,7,75,49,44,4,401.62793414847977,stats_logLik,computed
Q1,ortho,fordism,SR_const__LR_none,5,2,12,80,49,44,4,412.2124113159111,stats_logLik,computed
Q1,ortho,fordism,SR_const__LR_none,5,3,15,83,49,44,4,415.60505791737,stats_logLik,computed
Q1,ortho,fordism,SR_const__LR_none,6,0,0,84,49,43,4,400.3508545650113,stats_logLik,computed
Q1,ortho,fordism,SR_const__LR_none,6,1,7,91,49,43,4,418.8873050774321,stats_logLik,computed
Q1,ortho,fordism,SR_const__LR_none,6,2,12,96,49,43,4,428.62105296893805,stats_logLik,computed
Q1,ortho,fordism,SR_const__LR_none,6,3,15,99,49,43,4,432.03808750391937,stats_logLik,computed
Q1,ortho,fordism,SR_const__LR_none,7,0,0,100,49,42,4,425.18094080992284,stats_logLik,computed
Q1,ortho,fordism,SR_const__LR_none,7,1,7,107,49,42,4,465.7423150991742,stats_logLik,computed
Q1,ortho,fordism,SR_const__LR_none,7,2,12,112,49,42,4,487.8130334284874,stats_logLik,computed
Q1,ortho,fordism,SR_const__LR_none,7,3,15,115,49,42,4,492.6381775912088,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_const,1,0,0,0,49,48,4,308.82500261762186,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_const,1,1,7,8,49,48,4,327.65597045108126,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_const,1,2,12,14,49,48,4,337.23175691823917,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_const,1,3,15,18,49,48,4,340.14309810960964,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_const,2,0,0,16,49,47,4,314.60871545013674,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_const,2,1,7,24,49,47,4,329.61433274346035,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_const,2,2,12,30,49,47,4,337.6289277884047,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_const,2,3,15,34,49,47,4,340.89514204519304,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_const,3,0,0,32,49,46,4,319.6586241751903,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_const,3,1,7,40,49,46,4,342.4271167510443,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_const,3,2,12,46,49,46,4,354.2820585015737,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_const,3,3,15,50,49,46,4,359.2332295666509,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_const,4,0,0,48,49,45,4,329.0525339300058,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_const,4,1,7,56,49,45,4,350.50937877552434,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_const,4,2,12,62,49,45,4,365.1547209906191,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_const,4,3,15,66,49,45,4,369.8720203282085,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_const,5,0,0,64,49,44,4,346.07927103150257,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_const,5,1,7,72,49,44,4,395.58484855986643,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_const,5,2,12,78,49,44,4,406.17062743217696,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_const,5,3,15,82,49,44,4,412.85289012788394,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_const,6,0,0,80,49,43,4,386.1388081877097,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_const,6,1,7,88,49,43,4,407.25052341079305,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_const,6,2,12,94,49,43,4,419.79009488248744,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_const,6,3,15,98,49,43,4,429.1831684169968,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_const,7,0,0,96,49,42,4,397.8685763748804,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_const,7,1,7,104,49,42,4,441.9088152710055,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_const,7,2,12,110,49,42,4,470.4801887507278,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_const,7,3,15,114,49,42,4,489.8451108721647,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_none,1,0,0,0,49,48,4,308.82500261762186,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_none,1,1,7,7,49,48,4,320.08505190788395,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_none,1,2,12,12,49,48,4,325.86469987970304,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_none,1,3,15,15,49,48,4,327.68709958499966,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_none,2,0,0,16,49,47,4,314.60871545013674,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_none,2,1,7,23,49,47,4,327.4103060997876,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_none,2,2,12,28,49,47,4,331.3912190317561,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_none,2,3,15,31,49,47,4,333.5723202950088,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_none,3,0,0,32,49,46,4,319.6586241751903,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_none,3,1,7,39,49,46,4,336.36495342548073,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_none,3,2,12,44,49,46,4,343.25478309979303,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_none,3,3,15,47,49,46,4,345.44470757714555,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_none,4,0,0,48,49,45,4,329.0525339300058,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_none,4,1,7,55,49,45,4,344.15170766240135,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_none,4,2,12,60,49,45,4,348.87150755664953,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_none,4,3,15,63,49,45,4,350.86168061788595,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_none,5,0,0,64,49,44,4,346.07927103150257,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_none,5,1,7,71,49,44,4,363.0491816017786,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_none,5,2,12,76,49,44,4,369.75506685540114,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_none,5,3,15,79,49,44,4,372.6808798990066,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_none,6,0,0,80,49,43,4,386.1388081877097,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_none,6,1,7,87,49,43,4,402.4725747925551,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_none,6,2,12,92,49,43,4,412.44885475750897,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_none,6,3,15,95,49,43,4,415.36830563608004,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_none,7,0,0,96,49,42,4,397.8685763748804,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_none,7,1,7,103,49,42,4,434.3172559251475,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_none,7,2,12,108,49,42,4,454.9365329488673,stats_logLik,computed
Q1,ortho,fordism,SR_none__LR_none,7,3,15,111,49,42,4,458.70014486323726,stats_logLik,computed
Q1,ortho,full,SR_const__LR_none,1,0,0,4,99,98,4,562.1136926248953,stats_logLik,computed
Q1,ortho,full,SR_const__LR_none,1,1,7,11,99,98,4,582.470339878797,stats_logLik,computed
Q1,ortho,full,SR_const__LR_none,1,2,12,16,99,98,4,590.3535042432645,stats_logLik,computed
Q1,ortho,full,SR_const__LR_none,1,3,15,19,99,98,4,593.2857481680583,stats_logLik,computed
Q1,ortho,full,SR_const__LR_none,2,0,0,20,99,97,4,569.9699030399561,stats_logLik,computed
Q1,ortho,full,SR_const__LR_none,2,1,7,27,99,97,4,583.1737985991595,stats_logLik,computed
Q1,ortho,full,SR_const__LR_none,2,2,12,32,99,97,4,592.0762498567303,stats_logLik,computed
Q1,ortho,full,SR_const__LR_none,2,3,15,35,99,97,4,593.775526412465,stats_logLik,computed
Q1,ortho,full,SR_const__LR_none,3,0,0,36,99,96,4,579.0770651244369,stats_logLik,computed
Q1,ortho,full,SR_const__LR_none,3,1,7,43,99,96,4,594.9008226317278,stats_logLik,computed
Q1,ortho,full,SR_const__LR_none,3,2,12,48,99,96,4,601.3608072817283,stats_logLik,computed
Q1,ortho,full,SR_const__LR_none,3,3,15,51,99,96,4,603.8257179200398,stats_logLik,computed
Q1,ortho,full,SR_const__LR_none,4,0,0,52,99,95,4,586.7456494594232,stats_logLik,computed
Q1,ortho,full,SR_const__LR_none,4,1,7,59,99,95,4,603.036008771719,stats_logLik,computed
Q1,ortho,full,SR_const__LR_none,4,2,12,64,99,95,4,606.798119092769,stats_logLik,computed
Q1,ortho,full,SR_const__LR_none,4,3,15,67,99,95,4,608.6694892138688,stats_logLik,computed
Q1,ortho,full,SR_const__LR_none,5,0,0,68,99,94,4,599.1920329093716,stats_logLik,computed
Q1,ortho,full,SR_const__LR_none,5,1,7,75,99,94,4,617.1206956291567,stats_logLik,computed
Q1,ortho,full,SR_const__LR_none,5,2,12,80,99,94,4,622.8967568378952,stats_logLik,computed
Q1,ortho,full,SR_const__LR_none,5,3,15,83,99,94,4,626.0750028571155,stats_logLik,computed
Q1,ortho,full,SR_const__LR_none,6,0,0,84,99,93,4,626.4675061762648,stats_logLik,computed
Q1,ortho,full,SR_const__LR_none,6,1,7,91,99,93,4,636.1552461528331,stats_logLik,computed
Q1,ortho,full,SR_const__LR_none,6,2,12,96,99,93,4,642.4118978381256,stats_logLik,computed
Q1,ortho,full,SR_const__LR_none,6,3,15,99,99,93,4,645.3845711854642,stats_logLik,computed
Q1,ortho,full,SR_const__LR_none,7,0,0,100,99,92,4,641.6042144292701,stats_logLik,computed
Q1,ortho,full,SR_const__LR_none,7,1,7,107,99,92,4,659.7880085574154,stats_logLik,computed
Q1,ortho,full,SR_const__LR_none,7,2,12,112,99,92,4,668.2498770821583,stats_logLik,computed
Q1,ortho,full,SR_const__LR_none,7,3,15,115,99,92,4,672.0462015096685,stats_logLik,computed
Q1,ortho,full,SR_none__LR_const,1,0,0,0,99,98,4,554.0047751488084,stats_logLik,computed
Q1,ortho,full,SR_none__LR_const,1,1,7,8,99,98,4,574.4024474133687,stats_logLik,computed
Q1,ortho,full,SR_none__LR_const,1,2,12,14,99,98,4,587.1166220803567,stats_logLik,computed
Q1,ortho,full,SR_none__LR_const,1,3,15,18,99,98,4,590.8412499032543,stats_logLik,computed
Q1,ortho,full,SR_none__LR_const,2,0,0,16,99,97,4,562.4556934967286,stats_logLik,computed
Q1,ortho,full,SR_none__LR_const,2,1,7,24,99,97,4,577.0713035061201,stats_logLik,computed
Q1,ortho,full,SR_none__LR_const,2,2,12,30,99,97,4,588.7291611015198,stats_logLik,computed
Q1,ortho,full,SR_none__LR_const,2,3,15,34,99,97,4,592.3693536823679,stats_logLik,computed
Q1,ortho,full,SR_none__LR_const,3,0,0,32,99,96,4,571.064825209353,stats_logLik,computed
Q1,ortho,full,SR_none__LR_const,3,1,7,40,99,96,4,587.18014813469,stats_logLik,computed
Q1,ortho,full,SR_none__LR_const,3,2,12,46,99,96,4,599.1806577363061,stats_logLik,computed
Q1,ortho,full,SR_none__LR_const,3,3,15,50,99,96,4,602.1945043745367,stats_logLik,computed
Q1,ortho,full,SR_none__LR_const,4,0,0,48,99,95,4,581.6559723188923,stats_logLik,computed
Q1,ortho,full,SR_none__LR_const,4,1,7,56,99,95,4,598.2526658951598,stats_logLik,computed
Q1,ortho,full,SR_none__LR_const,4,2,12,62,99,95,4,604.8959278259823,stats_logLik,computed
Q1,ortho,full,SR_none__LR_const,4,3,15,66,99,95,4,607.67837879848,stats_logLik,computed
Q1,ortho,full,SR_none__LR_const,5,0,0,64,99,94,4,591.7925710869977,stats_logLik,computed
Q1,ortho,full,SR_none__LR_const,5,1,7,72,99,94,4,609.7737800503902,stats_logLik,computed
Q1,ortho,full,SR_none__LR_const,5,2,12,78,99,94,4,617.8342387275169,stats_logLik,computed
Q1,ortho,full,SR_none__LR_const,5,3,15,82,99,94,4,623.5995986532849,stats_logLik,computed
Q1,ortho,full,SR_none__LR_const,6,0,0,80,99,93,4,613.4894165013336,stats_logLik,computed
Q1,ortho,full,SR_none__LR_const,6,1,7,88,99,93,4,627.776642599159,stats_logLik,computed
Q1,ortho,full,SR_none__LR_const,6,2,12,94,99,93,4,636.8110370896438,stats_logLik,computed
Q1,ortho,full,SR_none__LR_const,6,3,15,98,99,93,4,643.0488579710977,stats_logLik,computed
Q1,ortho,full,SR_none__LR_const,7,0,0,96,99,92,4,617.0140176151174,stats_logLik,computed
Q1,ortho,full,SR_none__LR_const,7,1,7,104,99,92,4,653.0920137907206,stats_logLik,computed
Q1,ortho,full,SR_none__LR_const,7,2,12,110,99,92,4,663.3173494333707,stats_logLik,computed
Q1,ortho,full,SR_none__LR_const,7,3,15,114,99,92,4,670.3435228121614,stats_logLik,computed
Q1,ortho,full,SR_none__LR_none,1,0,0,0,99,98,4,554.0047751488084,stats_logLik,computed
Q1,ortho,full,SR_none__LR_none,1,1,7,7,99,98,4,566.8275948353138,stats_logLik,computed
Q1,ortho,full,SR_none__LR_none,1,2,12,12,99,98,4,570.5786869978166,stats_logLik,computed
Q1,ortho,full,SR_none__LR_none,1,3,15,15,99,98,4,573.5126275651014,stats_logLik,computed
Q1,ortho,full,SR_none__LR_none,2,0,0,16,99,97,4,562.4556934967286,stats_logLik,computed
Q1,ortho,full,SR_none__LR_none,2,1,7,23,99,97,4,575.8546187445874,stats_logLik,computed
Q1,ortho,full,SR_none__LR_none,2,2,12,28,99,97,4,579.5259281751341,stats_logLik,computed
Q1,ortho,full,SR_none__LR_none,2,3,15,31,99,97,4,581.2915450671345,stats_logLik,computed
Q1,ortho,full,SR_none__LR_none,3,0,0,32,99,96,4,571.064825209353,stats_logLik,computed
Q1,ortho,full,SR_none__LR_none,3,1,7,39,99,96,4,583.1879092060689,stats_logLik,computed
Q1,ortho,full,SR_none__LR_none,3,2,12,44,99,96,4,587.1827354971327,stats_logLik,computed
Q1,ortho,full,SR_none__LR_none,3,3,15,47,99,96,4,589.506796047449,stats_logLik,computed
Q1,ortho,full,SR_none__LR_none,4,0,0,48,99,95,4,581.6559723188923,stats_logLik,computed
Q1,ortho,full,SR_none__LR_none,4,1,7,55,99,95,4,588.3218303610612,stats_logLik,computed
Q1,ortho,full,SR_none__LR_none,4,2,12,60,99,95,4,592.6635085078295,stats_logLik,computed
Q1,ortho,full,SR_none__LR_none,4,3,15,63,99,95,4,594.6322005237907,stats_logLik,computed
Q1,ortho,full,SR_none__LR_none,5,0,0,64,99,94,4,591.7925710869977,stats_logLik,computed
Q1,ortho,full,SR_none__LR_none,5,1,7,71,99,94,4,599.9985250657207,stats_logLik,computed
Q1,ortho,full,SR_none__LR_none,5,2,12,76,99,94,4,606.6663483175253,stats_logLik,computed
Q1,ortho,full,SR_none__LR_none,5,3,15,79,99,94,4,609.8573801294921,stats_logLik,computed
