window,det_tag,run_tag,p_max
full,SR_none__LR_none,Q1_raw,7
full,SR_none__LR_const,Q1_raw,7
full,SR_const__LR_none,Q1_raw,7
fordism,SR_none__LR_none,Q1_raw,7
fordism,SR_none__LR_const,Q1_raw,7
fordism,SR_const__LR_none,Q1_raw,7
post_fordism,SR_none__LR_none,Q1_raw,7
post_fordism,SR_none__LR_const,Q1_raw,7
post_fordism,SR_const__LR_none,Q1_raw,7
full,SR_none__LR_none,Q2_raw,7
full,SR_none__LR_const,Q2_raw,7
full,SR_const__LR_none,Q2_raw,7
fordism,SR_none__LR_none,Q2_raw,7
fordism,SR_none__LR_const,Q2_raw,7
fordism,SR_const__LR_none,Q2_raw,7
post_fordism,SR_none__LR_none,Q2_raw,7
post_fordism,SR_none__LR_const,Q2_raw,7
post_fordism,SR_const__LR_none,Q2_raw,7
full,SR_none__LR_none,Q2_ortho,7
full,SR_none__LR_const,Q2_ortho,7
full,SR_const__LR_none,Q2_ortho,7
fordism,SR_none__LR_none,Q2_ortho,7
fordism,SR_none__LR_const,Q2_ortho,7
fordism,SR_const__LR_none,Q2_ortho,7
post_fordism,SR_none__LR_none,Q2_ortho,7
post_fordism,SR_none__LR_const,Q2_ortho,7
post_fordism,SR_const__LR_none,Q2_ortho,7
full,SR_none__LR_none,Q3_raw,7
full,SR_none__LR_const,Q3_raw,7
full,SR_const__LR_none,Q3_raw,7
fordism,SR_none__LR_none,Q3_raw,7
fordism,SR_none__LR_const,Q3_raw,7
fordism,SR_const__LR_none,Q3_raw,7
post_fordism,SR_none__LR_none,Q3_raw,7
post_fordism,SR_none__LR_const,Q3_raw,7
post_fordism,SR_const__LR_none,Q3_raw,7
full,SR_none__LR_none,Q3_ortho,7
full,SR_none__LR_const,Q3_ortho,7
full,SR_const__LR_none,Q3_ortho,7
fordism,SR_none__LR_none,Q3_ortho,7
fordism,SR_none__LR_const,Q3_ortho,7
fordism,SR_const__LR_none,Q3_ortho,7
post_fordism,SR_none__LR_none,Q3_ortho,7
post_fordism,SR_none__LR_const,Q3_ortho,7
post_fordism,SR_const__LR_none,Q3_ortho,7
