spec,basis,det_tag,r_fordism,r_full,r_post,post_higher_than_fordism,post_higher_than_full
Q1,ortho,SR_const__LR_none,1,1,0,FALSE,FALSE
Q1,ortho,SR_none__LR_const,1,1,1,FALSE,FALSE
Q1,ortho,SR_none__LR_none,0,0,1,TRUE,TRUE
Q1,raw,SR_const__LR_none,1,1,0,FALSE,FALSE
Q1,raw,SR_none__LR_const,1,1,1,FALSE,FALSE
Q1,raw,SR_none__LR_none,0,0,1,TRUE,TRUE
Q2,ortho,SR_const__LR_none,2,0,3,TRUE,TRUE
Q2,ortho,SR_none__LR_const,1,0,3,TRUE,TRUE
Q2,ortho,SR_none__LR_none,3,0,3,FALSE,TRUE
Q2,raw,SR_const__LR_none,2,0,1,FALSE,TRUE
Q2,raw,SR_none__LR_const,3,0,1,FALSE,TRUE
Q2,raw,SR_none__LR_none,1,0,2,TRUE,TRUE
Q3,ortho,SR_const__LR_none,0,1,4,TRUE,TRUE
Q3,ortho,SR_none__LR_const,0,1,0,FALSE,FALSE
Q3,ortho,SR_none__LR_none,3,1,5,TRUE,TRUE
Q3,raw,SR_const__LR_none,2,1,0,FALSE,FALSE
Q3,raw,SR_none__LR_const,0,1,4,TRUE,TRUE
Q3,raw,SR_none__LR_none,2,1,4,TRUE,TRUE
