spec,basis,window,det_tag,r_star,IC_star,p_star
Q1,ortho,fordism,SR_const__LR_none,1,-620.4116685701731,1
Q1,ortho,fordism,SR_none__LR_const,1,-625.4105839558956,1
Q1,ortho,fordism,SR_none__LR_none,0,-617.6500052352437,1
Q1,ortho,full,SR_const__LR_none,1,-1115.2010054100544,1
Q1,ortho,full,SR_none__LR_const,1,-1112.630586210345,1
Q1,ortho,full,SR_none__LR_none,0,-1108.009550297617,1
Q1,ortho,post_fordism,SR_const__LR_none,1,-783.8722835586134,1
Q1,ortho,post_fordism,SR_none__LR_const,2,-785.5348080075729,1
Q1,ortho,post_fordism,SR_none__LR_none,1,-782.6420307874453,1
Q1,raw,fordism,SR_const__LR_none,1,-620.4116685701731,1
Q1,raw,fordism,SR_none__LR_const,1,-625.4105839558956,1
Q1,raw,fordism,SR_none__LR_none,0,-617.6500052352437,1
Q1,raw,full,SR_const__LR_none,1,-1115.2010054100544,1
Q1,raw,full,SR_none__LR_const,1,-1112.630586210345,1
Q1,raw,full,SR_none__LR_none,0,-1108.009550297617,1
Q1,raw,post_fordism,SR_const__LR_none,1,-783.8722835586134,1
Q1,raw,post_fordism,SR_none__LR_const,2,-785.5348080075729,1
Q1,raw,post_fordism,SR_none__LR_none,1,-782.6420307874453,1
Q2,ortho,fordism,SR_const__LR_none,2,-3447.870606867283,7
Q2,ortho,fordism,SR_none__LR_const,1,-2183.036595151523,7
Q2,ortho,fordism,SR_none__LR_none,3,-5170.414078146662,7
Q2,ortho,full,SR_const__LR_none,2,-1617.183259669373,1
Q2,ortho,full,SR_none__LR_const,0,-1622.1767256702708,1
Q2,ortho,full,SR_none__LR_none,0,-1622.1767256702708,1
Q2,ortho,post_fordism,SR_const__LR_none,3,-5641.806711605106,7
Q2,ortho,post_fordism,SR_none__LR_const,3,-5216.507864197174,7
Q2,ortho,post_fordism,SR_none__LR_none,4,-5278.245507491309,7
Q2,raw,fordism,SR_const__LR_none,2,-926.1730957399012,1
Q2,raw,fordism,SR_none__LR_const,3,-5602.527696595929,7
Q2,raw,fordism,SR_none__LR_none,1,-2052.7638376760415,7
Q2,raw,full,SR_const__LR_none,2,-1621.709171420121,1
Q2,raw,full,SR_none__LR_const,0,-1626.702637420926,1
Q2,raw,full,SR_none__LR_none,0,-1626.702637420926,1
Q2,raw,post_fordism,SR_const__LR_none,1,-2419.5931566127547,7
Q2,raw,post_fordism,SR_none__LR_const,1,-2336.528446384894,7
Q2,raw,post_fordism,SR_none__LR_none,2,-3825.614093120011,7
Q3,ortho,fordism,SR_const__LR_none,0,-2276.2404069260047,6
Q3,ortho,fordism,SR_none__LR_const,5,-1187.6605927976445,5
Q3,ortho,fordism,SR_none__LR_none,3,-5246.235956524767,6
Q3,ortho,full,SR_const__LR_none,1,-1814.719779349058,1
Q3,ortho,full,SR_none__LR_const,1,-1822.1463989298857,1
Q3,ortho,full,SR_none__LR_none,1,-1826.3245768470174,1
Q3,ortho,post_fordism,SR_const__LR_none,4,-7165.625766911137,6
Q3,ortho,post_fordism,SR_none__LR_const,5,-1254.5879499595833,5
Q3,ortho,post_fordism,SR_none__LR_none,5,-8772.972720882442,6
Q3,raw,fordism,SR_const__LR_none,5,-1626.1516075219224,5
Q3,raw,fordism,SR_none__LR_const,5,-1618.9601064890417,5
Q3,raw,fordism,SR_none__LR_none,2,-3823.2110859243253,6
Q3,raw,full,SR_const__LR_none,1,-2611.0513893057637,1
Q3,raw,full,SR_none__LR_const,1,-2618.4780087926047,1
Q3,raw,full,SR_none__LR_none,1,-2622.656186799414,1
Q3,raw,post_fordism,SR_const__LR_none,5,-1742.315860166747,5
Q3,raw,post_fordism,SR_none__LR_const,5,-9597.798440794912,6
Q3,raw,post_fordism,SR_none__LR_none,4,-7047.627236283674,6
