spec,basis,window,det_tag,IC_r1,IC_r2plus,pressure_highrank
Q1,ortho,fordism,SR_const__LR_none,-615.4281090791286,-603.3969289508011,12.031180128327492
Q1,ortho,fordism,SR_none__LR_const,-624.1646940831345,-614.6607999439444,9.503894139190038
Q1,ortho,fordism,SR_none__LR_none,-614.0064164877843,-606.8773643400057,7.12905214777868
Q1,ortho,full,SR_const__LR_none,-1109.171953973989,-1090.2712369455483,18.900717028440795
Q1,ortho,full,SR_none__LR_const,-1111.1233233513287,-1101.8846269279288,9.238696423399915
Q1,ortho,full,SR_none__LR_none,-1102.0026696312843,-1086.8959110710448,15.106758560239541
Q1,ortho,post_fordism,SR_const__LR_none,-778.857350071022,-765.6865016435282,13.170848427493752
Q1,ortho,post_fordism,SR_none__LR_const,-781.703772293601,-778.0124077761858,3.6913645174151952
Q1,ortho,post_fordism,SR_none__LR_none,-782.6420307874453,-782.1286123539536,0.5134184334916654
Q1,raw,fordism,SR_const__LR_none,-615.4281090791286,-603.3969289508011,12.031180128327492
Q1,raw,fordism,SR_none__LR_const,-624.1646940831345,-614.6607999439444,9.503894139190038
Q1,raw,fordism,SR_none__LR_none,-614.0064164877843,-606.8773643400057,7.12905214777868
Q1,raw,full,SR_const__LR_none,-1109.171953973989,-1090.2712369455483,18.900717028440795
Q1,raw,full,SR_none__LR_const,-1111.1233233513287,-1101.8846269279288,9.238696423399915
Q1,raw,full,SR_none__LR_none,-1102.0026696312843,-1086.8959110710448,15.106758560239541
Q1,raw,post_fordism,SR_const__LR_none,-778.857350071022,-765.6865016435282,13.170848427493752
Q1,raw,post_fordism,SR_none__LR_const,-781.703772293601,-778.0124077761858,3.6913645174151952
Q1,raw,post_fordism,SR_none__LR_none,-782.6420307874453,-782.1286123539536,0.5134184334916654
Q2,ortho,fordism,SR_const__LR_none,-1942.1272149155175,-3061.644746311335,-1119.5175313958175
Q2,ortho,fordism,SR_none__LR_const,-2041.939567061326,-851.2958784220999,1190.6436886392262
Q2,ortho,fordism,SR_none__LR_none,-1908.6424342429723,-4329.438414032905,-2420.7959797899325
Q2,ortho,full,SR_const__LR_none,-1610.8954350721451,-1602.1106310792097,8.784803992935394
Q2,ortho,full,SR_none__LR_const,-1617.769055321836,-1608.9955243295638,8.773530992272299
Q2,ortho,full,SR_none__LR_none,-1615.5905977651134,-1609.1189558985523,6.4716418665611855
Q2,ortho,post_fordism,SR_const__LR_none,-984.0091432613106,-4767.3276847063535,-3783.3185414450427
Q2,ortho,post_fordism,SR_none__LR_const,-987.9519445897743,-4353.312437645502,-3365.3604930557276
Q2,ortho,post_fordism,SR_none__LR_none,-2025.152245474579,-4273.326750956538,-2248.1745054819585
Q2,raw,fordism,SR_const__LR_none,-909.036707281671,-913.71419701229,-4.677489730618959
Q2,raw,fordism,SR_none__LR_const,-921.0062842083701,-4744.732519199897,-3823.7262349915272
Q2,raw,fordism,SR_none__LR_none,-1912.6012269904154,-916.1156853297147,996.4855416607007
Q2,raw,full,SR_const__LR_none,-1615.4213468227965,-1606.6365428299578,8.78480399283876
Q2,raw,full,SR_none__LR_const,-1622.29496707247,-1613.521436080387,8.773530992082897
Q2,raw,full,SR_none__LR_none,-1620.116509515954,-1613.6448676493676,6.471641866586424
Q2,raw,post_fordism,SR_const__LR_none,-2273.8466521296295,-1034.58198041755,1239.2646717120795
Q2,raw,post_fordism,SR_none__LR_const,-2194.543142017462,-1050.2672482769533,1144.2758937405085
Q2,raw,post_fordism,SR_none__LR_none,-1054.2404928779804,-3449.494081550655,-2395.2535886726746
Q3,ortho,fordism,SR_const__LR_none,-978.6144625028911,-992.4251633188769,-13.810700815985797
Q3,ortho,fordism,SR_none__LR_const,-993.1740345899192,-1008.1892911326561,-15.015256542736893
Q3,ortho,fordism,SR_none__LR_none,-2213.0482478378212,-4569.219935699925,-2356.171687862104
Q3,ortho,full,SR_const__LR_none,-1809.2936330565992,-1798.3375601881899,10.956072868409365
Q3,ortho,full,SR_none__LR_const,-1821.2420412144756,-1810.3422569575566,10.89978425691902
Q3,ortho,full,SR_none__LR_none,-1826.3245768470174,-1813.2362918086496,13.088285038367758
Q3,ortho,post_fordism,SR_const__LR_none,-1015.4644661941571,-5757.9072230935435,-4742.442756899386
Q3,ortho,post_fordism,SR_none__LR_const,-1026.210706394032,-1023.4680793809748,2.7426270130572448
Q3,ortho,post_fordism,SR_none__LR_none,-2229.9227184804477,-5367.202050356007,-3137.2793318755594
Q3,raw,fordism,SR_const__LR_none,-1449.6179013205442,-1463.1803153385981,-13.562414018053914
Q3,raw,fordism,SR_none__LR_const,-1464.595882607293,-1479.6111391274796,-15.01525652018654
Q3,raw,fordism,SR_none__LR_none,-1446.3471010282612,-3484.7030755119044,-2038.3559744836432
Q3,raw,full,SR_const__LR_none,-2605.625243013305,-2594.669170143857,10.95607286944778
Q3,raw,full,SR_none__LR_const,-2617.573651077195,-2606.67386681063,10.899784266564893
Q3,raw,full,SR_none__LR_none,-2622.656186799414,-2609.5679017523676,13.088285047046611
Q3,raw,post_fordism,SR_const__LR_none,-1542.7549300053256,-1537.2276378617767,5.527292143548948
Q3,raw,post_fordism,SR_none__LR_const,-1553.5011700067232,-6115.710507490404,-4562.20933748368
Q3,raw,post_fordism,SR_none__LR_none,-2356.3932886737107,-5685.318968073101,-3328.9256793993904
