spec,basis,window,det_tag,p_r1_min_ok,p_r1_max_ok,share_p_r1_ok,p_r0_min_ok,p_r0_max_ok,share_p_r0_ok,T_window,m
Q1,ortho,fordism,SR_const__LR_none,1,7,1,1,7,1,49,4
Q1,ortho,fordism,SR_none__LR_const,1,7,1,1,7,1,49,4
Q1,ortho,fordism,SR_none__LR_none,1,7,1,1,7,1,49,4
Q1,raw,fordism,SR_const__LR_none,1,7,1,1,7,1,49,4
Q1,raw,fordism,SR_none__LR_const,1,7,1,1,7,1,49,4
Q1,raw,fordism,SR_none__LR_none,1,7,1,1,7,1,49,4
Q1,ortho,full,SR_const__LR_none,1,7,1,1,7,1,99,4
Q1,ortho,full,SR_none__LR_const,1,7,1,1,7,1,99,4
Q1,ortho,full,SR_none__LR_none,1,7,1,1,7,1,99,4
Q1,raw,full,SR_const__LR_none,1,7,1,1,7,1,99,4
Q1,raw,full,SR_none__LR_const,1,7,1,1,7,1,99,4
Q1,raw,full,SR_none__LR_none,1,7,1,1,7,1,99,4
Q1,ortho,post_fordism,SR_const__LR_none,1,7,1,1,7,1,50,4
Q1,ortho,post_fordism,SR_none__LR_const,1,7,1,1,7,1,50,4
Q1,ortho,post_fordism,SR_none__LR_none,1,7,1,1,7,1,50,4
Q1,raw,post_fordism,SR_const__LR_none,1,7,1,1,7,1,50,4
Q1,raw,post_fordism,SR_none__LR_const,1,7,1,1,7,1,50,4
Q1,raw,post_fordism,SR_none__LR_none,1,7,1,1,7,1,50,4
Q2,ortho,fordism,SR_const__LR_none,1,7,1,1,7,1,49,5
Q2,ortho,fordism,SR_none__LR_const,1,7,1,1,7,1,49,5
Q2,ortho,fordism,SR_none__LR_none,1,7,1,1,7,1,49,5
Q2,raw,fordism,SR_const__LR_none,1,6,0.8571428571428571,1,7,1,49,5
Q2,raw,fordism,SR_none__LR_const,1,6,0.8571428571428571,1,7,1,49,5
Q2,raw,fordism,SR_none__LR_none,1,7,1,1,7,1,49,5
Q2,ortho,full,SR_const__LR_none,1,7,1,1,7,1,99,5
Q2,ortho,full,SR_none__LR_const,1,7,1,1,7,1,99,5
Q2,ortho,full,SR_none__LR_none,1,7,1,1,7,1,99,5
Q2,raw,full,SR_const__LR_none,1,7,1,1,7,1,99,5
Q2,raw,full,SR_none__LR_const,1,7,1,1,7,1,99,5
Q2,raw,full,SR_none__LR_none,1,7,1,1,7,1,99,5
Q2,ortho,post_fordism,SR_const__LR_none,1,6,0.8571428571428571,1,7,1,50,5
Q2,ortho,post_fordism,SR_none__LR_const,1,6,0.8571428571428571,1,7,1,50,5
Q2,ortho,post_fordism,SR_none__LR_none,1,7,1,1,7,1,50,5
Q2,raw,post_fordism,SR_const__LR_none,1,7,1,1,7,1,50,5
Q2,raw,post_fordism,SR_none__LR_const,1,7,1,1,7,1,50,5
Q2,raw,post_fordism,SR_none__LR_none,1,6,0.8571428571428571,1,7,1,50,5
Q3,ortho,fordism,SR_const__LR_none,1,5,0.7142857142857143,1,6,0.8571428571428571,49,6
Q3,ortho,fordism,SR_none__LR_const,1,5,0.7142857142857143,1,6,0.8571428571428571,49,6
Q3,ortho,fordism,SR_none__LR_none,1,6,0.8571428571428571,1,6,0.8571428571428571,49,6
Q3,raw,fordism,SR_const__LR_none,1,5,0.7142857142857143,1,5,0.7142857142857143,49,6
Q3,raw,fordism,SR_none__LR_const,1,5,0.7142857142857143,1,6,0.8571428571428571,49,6
Q3,raw,fordism,SR_none__LR_none,1,5,0.7142857142857143,1,6,0.8571428571428571,49,6
Q3,ortho,full,SR_const__LR_none,1,7,1,1,7,1,99,6
Q3,ortho,full,SR_none__LR_const,1,7,1,1,7,1,99,6
Q3,ortho,full,SR_none__LR_none,1,7,1,1,7,1,99,6
Q3,raw,full,SR_const__LR_none,1,7,1,1,7,1,99,6
Q3,raw,full,SR_none__LR_const,1,7,1,1,7,1,99,6
Q3,raw,full,SR_none__LR_none,1,7,1,1,7,1,99,6
Q3,ortho,post_fordism,SR_const__LR_none,1,5,0.7142857142857143,1,6,0.8571428571428571,50,6
Q3,ortho,post_fordism,SR_none__LR_const,1,5,0.7142857142857143,1,6,0.8571428571428571,50,6
Q3,ortho,post_fordism,SR_none__LR_none,1,6,0.8571428571428571,1,6,0.8571428571428571,50,6
Q3,raw,post_fordism,SR_const__LR_none,1,5,0.7142857142857143,1,6,0.8571428571428571,50,6
Q3,raw,post_fordism,SR_none__LR_const,1,5,0.7142857142857143,1,6,0.8571428571428571,50,6
Q3,raw,post_fordism,SR_none__LR_none,1,6,0.8571428571428571,1,6,0.8571428571428571,50,6
