term,estimate,se,t_stat,p_value
(Intercept),0.015263527663827077,0.04394582632496969,0.3473259906630645,0.7306205047058354
"L(g_K, 1)",0.7565637803744422,0.14155860226077055,5.344527060112863,7.291191123327009e-6
"L(g_K, 2)",-0.42324120578300645,0.08662898956660241,-4.885676352690327,2.769676350043733e-5
r,0.01069310882402664,0.04038717783745719,0.2647649426524002,0.7928885495326184
mu,0.012128900549976484,0.03377498746276182,0.3591089578744936,0.7218723596041812
"L(mu, 1)",-0.08849631130719647,0.03934857835957519,-2.2490345266987655,0.031524244446806814
"L(mu, 2)",0.08704194777116951,0.027709476708350732,3.141233906627255,0.0036098421732976746
pi,0.01839789501319957,0.12181855064677281,0.15102703911283943,0.8809024438366326
"L(pi, 1)",0.16013366045612457,0.14417060129736156,1.1107234000213269,0.2749639378187821
"L(pi, 2)",-0.15645467669842467,0.1109429858301884,-1.4102259419797607,0.1681197711823238
