rank,order,AIC,BIC,n_eff,df_resid
1,"1,0,0,1,0",-248.44818483881625,-235.78003333116737,36,29
2,"1,0,0,1,1",-247.04544003557618,-232.7937695894712,36,28
3,"2,2,2,2,2",-246.05625592855404,-221.17068694472343,35,20
4,"1,0,0,2,1",-245.7335497783738,-230.18006916347966,35,26
5,"1,0,1,1,1",-245.49371827806095,-229.65852889349986,36,27
