term,estimate,se,t_stat,p_value
(Intercept),-0.12538215873768102,0.08708496298285974,-1.4397681809012082,0.16285036098822214
"L(g_K, 1)",0.44658549408487663,0.13788046501935147,3.2389323173677904,0.0034946972588342897
mu,-0.013960329931626944,0.03210758675296607,-0.43479848046621883,0.6675933377216496
B_real,-0.18882322195233997,0.2090888528680852,-0.9030764642028484,0.37546053428831194
"L(B_real, 1)",0.3379152051613592,0.19175602389847657,1.76221428819501,0.09076675959415649
"L(B_real, 2)",-0.04528856517007643,0.13041508797967158,-0.3472647672264406,0.7314192515630069
PyPK,-0.1283938455390914,0.09594282011640719,-1.3382329744248862,0.19336205590230354
"L(PyPK, 1)",0.06637894628453703,0.09193122053008347,0.7220500924690242,0.47724054928938275
"L(PyPK, 2)",0.14287200665290398,0.06825229331874445,2.0932923965745536,0.04706853653179196
pi,0.4127460433246676,0.30582745710460796,1.34960427435882,0.1897368156886854
"L(pi, 1)",-0.39706278758774566,0.1930111295924593,-2.0572015117788234,0.05069025164286102
