rank,order,AIC,BIC,n_eff,df_resid
1,"2,0,3,2,1",-302.826053704153,-278.49867904818586,42,29
2,"2,0,3,2,0",-302.60134251126493,-280.0116374735811,42,30
3,"2,0,3,1,1",-301.32356957946814,-278.7338645417843,42,30
4,"2,1,3,2,1",-301.32241931312325,-275.25737503887274,42,28
5,"2,1,3,2,2",-299.52702721790274,-271.7243133253688,42,27
