rank,order,AIC,BIC,n_eff,df_resid
1,"2,2,2,2,2",-246.13577584926327,-224.25904256947967,29,14
2,"1,0,0,2,0",-244.93629150025595,-232.6306290303777,29,21
3,"1,1,0,2,0",-243.0268059487476,-229.35384764888286,29,20
4,"1,1,0,2,1",-241.0293836722435,-225.9891295423923,29,19
5,"1,1,0,1,1",-239.5528484412684,-225.54087462464685,30,21
