"year","CORP_COMPENSATION_SHARE_GVA","CORP_COMPENSATION_SHARE_NVA","CORP_NET_OPERATING_SURPLUS_SHARE_GVA","CORP_NET_OPERATING_SURPLUS_SHARE_NVA","DELTA_G_TOT","DLOG_G_TOT","DLOG_N_TOT","G_TOT_GPIM_2017","GROWTH_ARITH_G_TOT","GROWTH_ARITH_N_TOT","I_TOT_REAL_2017","L1_DLOG_G_TOT","L1_DLOG_N_TOT","L1_LOG_G_TOT","L1_LOG_N_TOT","LOG_G_TOT_GPIM_2017","LOG_I_TOT_REAL_2017","LOG_N_TOT_GPIM_2017","N_TOT_GPIM_2017","NFC_COMPENSATION_SHARE_GVA","NFC_COMPENSATION_SHARE_NVA","NFC_NET_OPERATING_SURPLUS_SHARE_GVA","NFC_NET_OPERATING_SURPLUS_SHARE_NVA","y_real_nfc_gva_baseline","Y_REAL_NFC_GVA_BASELINE","y_real_nfc_gva_proxy_business_output","Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT","y_real_nfc_gva_proxy_gdp_implicit","Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT","y_real_nfc_gva_proxy_gdpbyind_va_finance_insurance","Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","y_real_nfc_gva_proxy_gdpbyind_va_manufacturing","Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_MANUFACTURING","y_real_nfc_gva_proxy_nonfarm_business_output","Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT","y_real_nfc_gva_proxy_nonfarm_business_output_bls","Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT_BLS"
1901,,,,,,,,1723395.05606458,,,1723395.05606458,,,,,14.3598067730733,14.3598067730733,14.3598067730733,1723395.05606458,,,,,,,,,,,,,,,,,,
1902,,,,,2131425.99289776,0.805028370326129,0.785140674244252,3854821.04896234,1.23675995552925,1.19271537761675,2139967.95620989,,,14.3598067730733,14.3598067730733,15.1648351433995,14.5763014131522,15.1449474473176,3778914.84114149,,,,,,,,,,,,,,,,,,
1903,,,,,2373703.65264106,0.47981491380019,0.461373059471198,6228524.7016034,0.615775316802326,0.586250506687568,2402038.07234246,0.805028370326129,0.785140674244252,15.1648351433995,15.1449474473176,15.6446500571997,14.6918281317639,15.6063205067888,5994305.58148986,,,,,,,,,,,,,,,,,,
1904,,,,,2130488.32117106,0.29420086141492,0.273748627421766,8359013.02277446,0.342053443349532,0.314884234852484,2188551.6109976,0.47981491380019,0.461373059471198,15.6446500571997,15.6063205067888,15.9388509186146,14.5987505181532,15.8800691342106,7881817.90798927,,,,,,,,,,,,,,,,,,
1905,,,,,2179629.85265454,0.231708414725741,0.213288815075162,10538642.875429,0.260752058492558,0.237742078197313,2274409.25448655,0.29420086141492,0.273748627421766,15.9388509186146,15.8800691342106,16.1705593333403,14.63723090829,16.0933579492857,9755657.67740744,,,,,,,,,,,,,,,,,,
1906,,,,,2540991.8432889,0.216007643559525,0.200884686811094,13079634.7187179,0.24111186547684,0.22248379519044,2678556.34207163,0.231708414725741,0.213288815075162,16.1705593333403,16.0933579492857,16.3865669768998,14.8007885290163,16.2942426360968,11926133.4220558,,,,,,,,,,,,,,,,,,
1907,,,,,2792367.789432,0.193500289630492,0.179377763267883,15872002.5081499,0.213489738015078,0.196472642222528,2980598.59514539,0.216007643559525,0.200884686811094,16.3865669768998,16.2942426360968,16.5800672665303,14.9076347091639,16.4736203993647,14269292.3669855,,,,,,,,,,,,,,,,,,
1908,,,,,2100070.4244271,0.124262340756086,0.10429138334079,17972072.932577,0.13231288385626,0.109923821112551,2347780.15065063,0.193500289630492,0.179377763267883,16.5800672665303,16.4736203993647,16.7043296072864,14.6689808229444,16.5779117827055,15837827.5085367,,,,,,,,,,,,,,,,,,
1909,,,,,2423868.3613443,0.126516875553289,0.111605301515986,20395941.2939213,0.134868602550053,0.118071472427961,2734056.54454337,0.124262340756086,0.10429138334079,16.7043296072864,16.5779117827055,16.8308464828397,14.8212969780358,16.6895170842215,17707823.1225297,,,,,,,,,,,,,,,,,,
1910,,,,,2868204.9044139,0.13157746077226,0.121149386695866,23264146.1983352,0.140626258091296,0.128793526507915,3243363.95234242,0.126516875553289,0.111605301515986,16.8308464828397,16.6895170842215,16.962423943612,14.9921216060484,16.8106664709173,19988476.1092587,,,,,,,,,,,,,,,,,,
