"year","CORP_CFC","CORP_COMP","CORP_COMPENSATION_SHARE_GVA","CORP_COMPENSATION_SHARE_NVA","CORP_DIVIDENDS_NET","CORP_GVA","CORP_NET_INT","CORP_NOS","CORP_NVA","CORP_PAT","CORP_PBT","CORP_TAX","CORP_TRANSFERS_NET","CORP_UNDISTRIBUTED","I_current_ME","I_current_NRC","I_real_ME_guardian","I_real_NRC_guardian","K_current_capacity_refrozen","K_current_ME_refrozen","K_current_NRC_refrozen","K_real_capacity_refrozen","K_real_ME_refrozen","K_real_NRC_refrozen","NFC_CFC","NFC_COMP","NFC_COMPENSATION_SHARE_GVA","NFC_COMPENSATION_SHARE_NVA","NFC_DIVIDENDS_NET","NFC_GVA","NFC_NET_INT","NFC_NOS","NFC_NVA","NFC_PAT","NFC_PBT","NFC_RETAINED","NFC_TAX","NFC_TRANSFERS_NET","NFC_UNDISTRIBUTED","P_Y_NFC_GVA_IMPLICIT_SOURCE","pKN_capacity","pKN_ME","pKN_NRC","Y_REAL_NFC_GVA_BASELINE","Y_NFC_real","NFC_GVA_nominal","NFC_NVA_nominal","NFC_GOS","NFC_TAX_PROD_IMPORTS_NET_SUBSIDIES","NFC_NET_INTEREST","NFC_CURRENT_TRANSFERS_NET","NFC_RETAINED_EARNINGS_OR_NET_SAVING_IF_AVAILABLE","Y_CORP_GVA_raw_nominal","Y_CORP_NVA_raw_nominal","CORP_GVA_nominal_raw","CORP_NVA_nominal_raw","CORP_GOS_raw","CORP_NOS_raw","CORP_TAX_PROD_IMPORTS_NET_SUBSIDIES","CORP_NET_INTEREST","CORP_CURRENT_TRANSFERS_NET","CORP_PROFITS_BEFORE_TAX","CORP_TAXES_ON_CORPORATE_INCOME_OR_PROFITS","CORP_PROFITS_AFTER_TAX","CORP_UNDISTRIBUTED_PROFITS_OR_RETAINED_EARNINGS","omega_NFC_GVA","omega_NFC_NVA","omega_CORP_raw_GVA","omega_CORP_raw_NVA","NFC_GOS_share_GVA","NFC_NOS_share_GVA","NFC_NOS_share_NVA","CORP_GOS_raw_share_GVA","CORP_NOS_raw_share_GVA","CORP_NOS_raw_share_NVA","CORP_PBT_share_GVA","CORP_profit_share_GVA","ln_Y_NFC","ln_K_ME","ln_K_NRC","ln_K_capacity","c_ME_NRC","ME_share_capacity","NRC_share_capacity","d_ln_Y_NFC","d_ln_K_ME","d_ln_K_NRC","d_ln_K_capacity","d_c_ME_NRC","omega_NFC","d_omega_NFC","omega_c_NFC","d_omega_c_NFC","omega_c_CORP_raw","s_ME_lag","s_NRC_lag","growth_contribution_ME","growth_contribution_NRC","growth_contribution_capacity_sum","growth_weight_guard_status","w_growth_ME_capacity","w_growth_NRC_capacity"
"1925",,,,,,,,,,,,,,,"226",,"2.45009950816448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MISSING_INPUT",,
"1926",,,,,,,,,,,,,,,"134",,"1.60370483443434",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MISSING_INPUT",,
"1927",,,,,,,,,,,,,,,"133",,"1.77465776107911",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MISSING_INPUT",,
"1928",,,,,,,,,,,,,,,"138",,"2.07167713156206",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MISSING_INPUT",,
"1929","5228","34242","0.624785607415246","0.690669248456977","5573","54806","1381","12337","49578","7878","9027","1365","355","3663","152",,"2.70170047838587",,,,,,,,"5016","32147","0.632503689129365","0.701761662555393","5077","50825","1358","10709","45809","9314","10679","3741","1149","310","2815","13.3919866778387",,,,"379518","379518","50825","45809","17529","1149","1358","310","3741","54806","49578","54806","49578","19199","12337","1365","1381","355","9027","1365","7878","3663","0.632503689129365","0.701761662555393","0.624785607415246","0.690669248456977","0.344889326119036","0.210703393999016","0.233775022375516","0.350308360398496","0.225103090902456","0.248840211384082","0.164708243622961","0.143743385760683","12.8466573055231",,,,,,,,,,,,"0.632503689129365",,,,,,,,,,"MISSING_INPUT",,
"1930","5080","30808","0.639461995101499","0.714835955264745","5331","48178","1538","9253","43098","2931","3671","842","354","1188","137",,"2.93863029946153",,,,,,,,"4872","28791","0.636138668552111","0.712877906256964","4957","45259","1606","8605","40387","3580","4422","-1751","740","306","996","12.8112297467136",,,,"353276","353276","45259","40387","15728","740","1606","306","-1751","48178","43098","48178","43098","16528","9253","842","1538","354","3671","842","2931","1188","0.636138668552111","0.712877906256964","0.639461995101499","0.714835955264745","0.347510992288827","0.190127930356393","0.213063609577339","0.343061148241936","0.192058615965794","0.214696737667641","0.0761966042592054","0.0608368965087799","12.7750049001029",,,,,,,"-0.0716524054201084",,,,,"0.636138668552111","0.00363497942274571",,,,,,,,,"MISSING_INPUT",,
"1931","4752","25369","0.670321830576547","0.766574001329546","4070","37846","1522","4883","33094","-467","-17","498","406","-1613","113","92","2.90666810118085","78075.2476109589","690.901602187521","598.901602187521","92","78090.6529931078","15.40538214889","78075.2476109589","4560","23522","0.663881911320595","0.761944867351236","3757","35431","1778","4553","30871","68","566","-4002","450","337","-1769","11.0935078353711","0.884743020715296","3887.61276026296","0.117835040957445","319385","319385","35431","30871","11459","450","1778","337","-4002","37846","33094","37846","33094","11979","4883","498","1522","406","-17","498","-467","-1613","0.663881911320595","0.761944867351236","0.670321830576547","0.766574001329546","0.323417346391578","0.128503288081059","0.14748469437336","0.316519579347884","0.129022882206838","0.147549404725932","-0.000449188817840723","-0.012339481054801","12.6741525506045","2.73471693854978","11.2654283535963","11.2656256486797","-8.53071141504648","0.000197275622093334","0.999802724377907","-0.100852349498425",,,,,"0.663881911320595","0.0277432427684837","-5.66338499914547",,"-5.7183220918542",,,,,,"MISSING_INPUT",,
"1932","4240","19013","0.68242345931589","0.80491935142458","2580","27861","1397","1666","23621","-2345","-2000","383","425","-3119","92","43","2.91520795619598","38841.6879039912","691.744998913426","562.624963491055","129.120035422372","116651.319038343","17.827921412213","116633.491116931","4076","17432","0.677734147194899","0.805359205359205","2396","25721","1765","1319","21645","-1695","-1312","-4275","345","352","-3539","9.48400466069822","0.59300229488708","3155.86405437949","0.11070579658198","271204","271204","25721","21645","7944","345","1765","352","-4275","27861","23621","27861","23621","8465","1666","383","1397","425","-2000","383","-2345","-3119","0.677734147194899","0.805359205359205","0.68242345931589","0.80491935142458","0.308852688464679","0.0512810543913534","0.0609378609378609","0.303829726140483","0.0597968486414702","0.0705304601837348","-0.0717849323427013","-0.0841678331718172","12.5106265842021","2.88076584696449","11.6667917425041","11.666944585044","-8.78602589553963","0.000152830860029564","0.999847169139972","-0.163525966402377","0.14604890841471","0.401363388907859","0.401318936364223","-0.255314480493148","0.677734147194899","0.0138522358743042","-5.95458976754585","-0.291204768400375","-5.99579018527314","0.000197275622093334","0.999802724377907","2.88118892635643E-05","0.401284209695626","0.40131302158489","OK","7.17940552982273E-05","0.999928205944702"
"1933","4008","18002","0.669816937044203","0.787213573552562","2040","26876","1168","1399","22868","533","1021","521","404","-2734","94","13","3.17730716729258","10257.2942984181","763.015872738351","603.100130735467","159.915742002884","126197.526139191","20.3854719997967","126177.140667191","3860","16597","0.664517937219731","0.785991665088085","1981","24976","1738","1114","21116","1313","1834","-727","488","331","-3424","9.4485091057661","0.604620309194315","2958.4800918099","0.12673907583996","264338","264338","24976","21116","7891","488","1738","331","-727","26876","22868","26876","22868","8353","1399","521","1168","404","1021","521","533","-2734","0.664517937219731","0.785991665088085","0.669816937044203","0.787213573552562","0.31594330557335","0.0446028187059577","0.0527562038264823","0.310797737758595","0.0520538770650394","0.0611771908343537","0.0379892841196607","0.019831820211341","12.4849838662697","3.0148224902733","11.745442076923","11.7456036261966","-8.73061958664971","0.000161536225181723","0.999838463774817","-0.0256427179324366","0.13405664330881","0.0786503344188922","0.0786590411526031","0.0554063088899177","0.664517937219731","-0.0132162099751681","-5.80165331837064","0.152936449175204","-5.84791687002783","0.000152830860029564","0.999847169139972","2.04879920895619E-05","0.0786383142206415","0.0786588022127311","OK","0.000260466616744971","0.999739533383255"
"1934","4104","21045","0.628208955223881","0.715913729759151","2507","33500","1414","4261","29396","1908","2589","744","390","-794","103","25","3.75514053776842","19059.3126514564","830.479138400969","641.410383448494","189.068754952475","144164.204861813","23.3843313809032","144140.820530433","3944","19585","0.622061999745903","0.711147421931736","2677","31484","1684","3938","27540","2411","3155","-96","681","319","-1423","10.4523000106236","0.576064730629224","2742.90666258819","0.131169473197606","301216","301216","31484","27540","11218","681","1684","319","-96","33500","29396","33500","29396","11711","4261","744","1414","390","2589","744","1908","-794","0.622061999745903","0.711147421931736","0.628208955223881","0.715913729759151","0.356307965950959","0.125079405412273","0.142992011619463","0.349582089552239","0.127194029850746","0.144951694108042","0.0772835820895522","0.056955223880597","12.6155828943469","3.15206619897535","11.8785460210558","11.8787082404371","-8.72647982208042","0.000162206224515427","0.999837793775491","0.130599028077238","0.137243708702052","0.133103944132767","0.133104614240564","0.00413976456928467","0.622061999745903","-0.0424559374738283","-5.42841148886562","0.373241829505027","-5.48205277181142","0.000161536225181723","0.999838463774817","2.21698306336695E-05","0.133082443024075","0.133104612854708","OK","0.000166559446424815","0.999833440553575"
