"variable_id","status","source_stage","baseline_regressor_status","notes"
"year","AUTHORIZED_BASELINE_ACCOUNTING","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"CORP_CFC","AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"CORP_COMP","AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"CORP_COMPENSATION_SHARE_GVA","AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"CORP_COMPENSATION_SHARE_NVA","AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"CORP_DIVIDENDS_NET","AUTHORIZED_ACCOUNTING_INGREDIENT;AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"CORP_GVA","AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"CORP_NET_INT","AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"CORP_NOS","AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"CORP_NVA","AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"CORP_PAT","AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"CORP_PBT","AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"CORP_TAX","AUTHORIZED_ACCOUNTING_INGREDIENT;AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"CORP_TRANSFERS_NET","AUTHORIZED_ACCOUNTING_INGREDIENT;AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"CORP_UNDISTRIBUTED","AUTHORIZED_ACCOUNTING_INGREDIENT;AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"I_current_ME","AUTHORIZED_BASELINE_ACCOUNTING","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"I_current_NRC","AUTHORIZED_BASELINE_ACCOUNTING","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"I_real_ME_guardian","AUTHORIZED_BASELINE_ACCOUNTING","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"I_real_NRC_guardian","AUTHORIZED_BASELINE_ACCOUNTING","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"K_current_capacity_refrozen","AUTHORIZED_PROVENANCE_SUPPORT;NOT_BASELINE_REGRESSOR","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"K_current_ME_refrozen","AUTHORIZED_PROVENANCE_SUPPORT;NOT_BASELINE_REGRESSOR","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"K_current_NRC_refrozen","AUTHORIZED_PROVENANCE_SUPPORT;NOT_BASELINE_REGRESSOR","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"K_real_capacity_refrozen","AUTHORIZED_BASELINE_ECONOMETRIC","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","AUTHORIZED_BASELINE_ECONOMETRIC",""
"K_real_ME_refrozen","AUTHORIZED_BASELINE_ECONOMETRIC","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","AUTHORIZED_BASELINE_ECONOMETRIC",""
"K_real_NRC_refrozen","AUTHORIZED_BASELINE_ECONOMETRIC","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","AUTHORIZED_BASELINE_ECONOMETRIC",""
"NFC_CFC","AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"NFC_COMP","AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"NFC_COMPENSATION_SHARE_GVA","AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"NFC_COMPENSATION_SHARE_NVA","AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"NFC_DIVIDENDS_NET","AUTHORIZED_ACCOUNTING_INGREDIENT;AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"NFC_GVA","AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"NFC_NET_INT","AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"NFC_NOS","AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"NFC_NVA","AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"NFC_PAT","AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"NFC_PBT","AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"NFC_RETAINED","AUTHORIZED_ACCOUNTING_INGREDIENT;AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"NFC_TAX","AUTHORIZED_ACCOUNTING_INGREDIENT;AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"NFC_TRANSFERS_NET","AUTHORIZED_ACCOUNTING_INGREDIENT;AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"NFC_UNDISTRIBUTED","AUTHORIZED_ACCOUNTING_INGREDIENT;AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"P_Y_NFC_GVA_IMPLICIT_SOURCE","AUTHORIZED_BASELINE_ACCOUNTING","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"pKN_capacity","AUTHORIZED_PROVENANCE_SUPPORT;NOT_BASELINE_REGRESSOR","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"pKN_ME","AUTHORIZED_PROVENANCE_SUPPORT;NOT_BASELINE_REGRESSOR","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"pKN_NRC","AUTHORIZED_PROVENANCE_SUPPORT;NOT_BASELINE_REGRESSOR","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","NOT_BASELINE_REGRESSOR",""
"Y_REAL_NFC_GVA_BASELINE","AUTHORIZED_BASELINE_ECONOMETRIC","D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION","AUTHORIZED_BASELINE_ECONOMETRIC",""
"Y_NFC_real","AUTHORIZED_BASELINE_ECONOMETRIC","D10_DETERMINISTIC_CONSTRUCTION","AUTHORIZED_BASELINE_ECONOMETRIC",""
