rank,order,AIC,BIC,n_eff,df_resid
1,"1,0,2,2,1",-244.45917982780526,-225.7950030899323,35,24
2,"1,0,2,2,2",-242.46560763747203,-222.24608283810966,35,23
3,"2,2,2,2,2",-241.5101892689512,-216.62462028512059,35,20
4,"1,0,2,1,1",-240.58979048327018,-223.48096180688663,35,25
5,"1,0,1,1,1",-239.0955646339513,-223.26037524939022,36,27
