test,statistic,p_value,decision
BG(1),5.941707886560768,0.014786683460453663,WARNING
BG(2),6.8482770360764995,0.03257733368925611,WARNING
Breusch-Pagan,2.288128192283321,0.8913852206406179,PASS
Jarque-Bera,8.177210265551928,0.016762598858784283,WARNING
RESET,0.003983922931200018,0.9503315834224433,PASS
