est,spec,sample,eff_N,order,AIC,R2,adjR2,F_case3,F_p,t_case3,t_p,ECT,half_life,LR_mu,LR_mu_p,wald_t,wald_p
3ch_1930,3ch,1930-1973,42,"2,0,2,2",-287.7934333320143,0.6195993861684732,0.5126117135283563,10.907945173580204,5.528745358779501e-5,-5.88323360110655,4.4815808081983264e-4,-0.6666774254085649,0.6309112176769479,0.016011547124769942,0.6653766015508582,NA,NA
4ch_1930,4ch,1930-1973,42,"2,0,0,3,1",-298.9729781438505,0.722054164515359,0.6323942175848296,8.144349440946176,6.060426708174699e-4,-5.595826542244606,8.010843570781797e-4,-0.6117866111448627,0.7325587541681259,-0.019960748488854135,0.5675876525417474,-0.8585437182679715,0.39718227203530077
3ch_1940,3ch,1940-1973,35,"2,2,2,2",-244.80216155061396,0.7185765592853612,0.5839827398131427,6.727394736226758,0.001907926666121457,-4.480207112335855,0.007032714044055972,-0.6367737647656202,0.6844347361474729,0.019478993534598064,0.6444864125329892,NA,NA
4ch_1940,4ch,1940-1973,35,"1,0,2,2,1",-244.45917982780526,0.6990925397393424,0.5737144312974016,4.413351533253634,0.027679622743484088,-4.013726714929865,0.04801913150307569,-0.5534145059151231,0.8598513611615268,-0.0252258113627546,0.6680838570464441,-1.213512288602347,0.2367421153936909
3ch_1947,3ch,1947-1974,29,"2,2,2,2",-249.38815638282966,0.9189827151144225,0.8665597660708135,5.712639508027773,0.007977974114747665,-4.4844517940189235,0.00693638920960675,-0.4541088736534653,1.1450624033189647,0.14301991407371126,0.021738793460245685,NA,NA
4ch_1947,4ch,1947-1974,29,"2,2,2,2,2",-251.01245551998556,0.9377128179675106,0.8754256359350212,4.803151233160842,0.014598672171815362,-4.6528352525405445,0.00808803276171755,-0.4982922604627165,1.0049434161102229,0.2519933101968201,0.1436675307857176,0.6676715308135488,0.5151994179185019
