model,order,AIC,BIC,delta_AIC,delta_BIC,D_wwii_coef,D_wwii_t,D_wwii_p
Base,"2,0,0,3,1",-298.9729781438505,-278.1209427244501,0,0,NA,NA,NA
D_wwii,"2,0,0,3,1,0",-318.0303552253377,-295.4406501876539,-19.057377081487175,-17.31970746320377,-0.017909230243797057,-4.4191916544489604,1.1935435559869555e-4
