model,order,AIC,BIC,delta_AIC,delta_BIC,D_wwii_coef,D_wwii_t,D_wwii_p
Base,"2,0,2,2",-287.7934333320143,-268.6790675308972,0,0,NA,NA,NA
D_wwii,"2,0,2,2,0",-298.1015295896294,-277.249494170229,-10.308096257615148,-8.5704266393318,-0.016293702216231387,-3.248969150183706,0.002785662095924552
