test,statistic,p_value
BG(1),0.06015061565753126,0.8062580445362892
BG(2),7.554014626547883,0.022891094894798906
Breusch-Pagan,13.975311569592497,0.17412070532672835
Jarque-Bera,0.9913605673845121,0.6091563671672336
RESET,5.2008385343894385,0.038753064842771426
