term,estimate,se,t_stat,p_value
(Intercept),-0.15317319593951637,0.058231283841695985,-2.630427938973897,0.01976993990181274
"L(g_Kn, 1)",0.7289764582532738,0.182933737127315,3.984920822701685,0.0013555572506999103
"L(g_Kn, 2)",-0.32442203113367263,0.11869455295793463,-2.7332512154003212,0.01616781719043068
mu,0.20341276835480257,0.04945628559265971,4.112981108815682,0.0010550516868948
"L(mu, 1)",-0.08531218398688789,0.06879596041044482,-1.2400754852160698,0.23533032360709913
"L(mu, 2)",0.018502973476180094,0.04342482031406814,0.42609211373491324,0.6765190226468225
B_real,0.09031787814333295,0.1259617076543169,0.7170264664178487,0.48514938878836045
"L(B_real, 1)",-0.11740458897360151,0.17517626700304653,-0.6702083049387032,0.513629082361605
"L(B_real, 2)",0.1420365387482096,0.1107100488860152,1.2829597690309713,0.22033936563655265
PyPK,-0.0711670319741282,0.05873388091986491,-1.2116861828222587,0.24568753417525566
"L(PyPK, 1)",0.006500396080506621,0.09094793461715761,0.07147381749645913,0.9440316702498133
"L(PyPK, 2)",0.07604638628481825,0.0591559603995437,1.2855236525820115,0.21946771394900516
pi,-0.1625621907933402,0.18557118944535667,-0.8760098551893385,0.39580674931923776
"L(pi, 1)",0.2838887008663689,0.21815706723098272,1.30130416800016,0.21416312127683945
"L(pi, 2)",-0.14333365172462717,0.10783645946024747,-1.3291761658538621,0.20504520426633052
