term,estimate,se,t_stat,p_value
(Intercept),-0.05803587248683436,0.011131580720458887,-5.213623648272111,4.214402457876593e-5
"d(L(g_K, 1))",0.3847092173158843,0.07824522613162505,4.916711681153837,8.325445095362413e-5
d(r),0.12280773689205775,0.2236947205342137,0.5489970286235456,0.5890849229018049
"d(L(r, 1))",-0.3393655090525814,0.20778677908161208,-1.6332391817830207,0.11806335634171661
d(mu),0.14501799632893458,0.0671284304315475,2.1603066747823485,0.04306303588839398
"d(L(mu, 1))",0.020380560704909317,0.06562347371462723,0.3105681481223778,0.7593423247957958
d(pi),-0.24462427447956656,0.1975282835578734,-1.238426568962184,0.22989764990424974
"d(L(pi, 1))",0.34884073801475274,0.15121305457407008,2.3069485567721064,0.031884637829156334
ect,-0.4541088736534653,0.08758324784974922,-5.184882780694522,4.500001096803612e-5
