rank,order,AIC,BIC,n_params,n_eff,df_resid
1,"1,2,1,1,1",-236.23389516631062,-221.13673671005284,11,26,15
2,"1,2,0,1,1",-236.0362809274634,-222.1972190092271,10,26,16
3,"1,2,1,2,1",-235.86318091754129,-219.507925923262,12,26,14
4,"2,2,2,2,2",-235.5620449404849,-215.4325003321412,15,26,11
5,"1,2,1,1,2",-235.05427983671228,-218.699024842433,12,26,14
