rank,order,AIC,BIC,n_eff,df_resid
1,"1,1,1,0",-229.03566743164075,-217.8260883783435,30,23
2,"1,0,1,0",-228.84091955472593,-219.03253788309084,30,24
3,"1,0,1,1",-228.73565866106156,-217.52607960776433,30,23
4,"1,1,1,1",-227.03815948198593,-214.42738304702652,30,22
5,"1,1,0,0",-224.71810095116703,-214.90971927953194,30,24
