term,estimate,se,t_stat,p_value
(Intercept),-0.024040600083664744,0.07438754435901063,-0.3231804503135569,0.7487285812134821
"L(g_K, 1)",0.88443579533723,0.13616102740175157,6.495513526992179,3.0207300888915273e-7
"L(g_K, 2)",-0.4962224064820934,0.08175835615014744,-6.06937846904348,1.0074072538091446e-6
mu,-0.012211718673911022,0.022164599581212516,-0.5509559795640115,0.5856130948913723
B_real,0.048989523344195006,0.0556068270394634,0.8809983585186009,0.3850983674797913
PyPK,0.0131041225500951,0.04421888032923023,0.2963467743309823,0.7689416155771531
"L(PyPK, 1)",-0.06465625300145952,0.03732465682155997,-1.7322665097917769,0.09316658446780585
"L(PyPK, 2)",0.18146402767230974,0.038681551336605835,4.691229317387366,5.194347539102684e-5
"L(PyPK, 3)",-0.08666377065632842,0.035331173670059376,-2.452898153501471,0.019996573174503582
pi,0.1278001872928935,0.08993761409506407,1.4209870761949355,0.16530218336231614
"L(pi, 1)",-0.1720829267726549,0.10138420098966287,-1.697334743410371,0.09965272324815841
