dep_var,window_start,window_end,n_eff,ardl_order,aic,F_asy,F_asy_p,t_asy,t_asy_p,F_exact,F_exact_p,t_exact,t_exact_p,ECT,LR_mu,LR_mu_p,LR_PyPK,LR_PyPK_p,LR_Br,LR_Br_p,LR_pi,LR_pi_p,wald_diff,wald_se,wald_t,wald_p,wald_decision
g_Kn,1945,1973,30,"2,2,2,2,2",-251.2077752790305,18.284941754862373,1e-6,-6.545882900189478,1.618019202671892e-4,18.284941754862373,1e-6,-6.545882900189478,9.434786463925959e-4,-0.480544007313756,0.10519989232173743,0.5110179985378154,0.05705823783107777,0.7452053787251582,0.21388830020773889,0.04139542917540674,0.1081580935685126,0.7390723777174528,-0.0796485573316991,0.20001056158154498,-0.3982217574006766,0.6960772587226048,Fail to reject
g_Kn,1946,1973,29,"2,2,2,2,2",-247.62761969445017,16.280557036317578,1e-6,-7.352185789960875,1e-6,16.280557036317578,1e-6,-7.352185789960875,4.650881324262273e-4,-0.5055709542396004,0.19177856864491286,0.21828628268264652,0.013200072348024505,0.9329436093242602,0.18582206203819474,0.04773221905863322,0.04221993607295451,0.8825101269049171,-0.0036621364439295076,0.18815375917759145,-0.019463530571679682,0.9847460049485165,Fail to reject
g_Kn,1947,1973,28,"2,2,2,2,2",-239.15162119265358,6.231036516179497,0.0014636984726095613,-5.496899676562458,8.676511530692732e-4,6.231036516179497,0.015943415608607254,-5.496899676562458,0.0036620409955142423,-0.5894340946823313,0.26781683040279686,0.09049206423889108,-0.037335954028716256,0.794556236319081,0.16749089567382042,0.04458163894198947,-0.0021437725358038487,0.9930994291177284,0.08114261077215046,0.20553327334609192,0.3947906314687871,0.6993984203832386,Fail to reject
g_Kn,1948,1973,27,"2,2,2,2,2",-233.64094789494618,5.570681961934646,0.004332004864799308,-4.959099649960563,0.003288682468918172,5.570681961934646,0.029839043555218575,-4.959099649960563,0.0121246480550328,-0.7807161650958802,0.3036710978709527,0.01415159096757558,-0.04604539904292654,0.6546686742915645,0.16500518128200972,0.009793480383998372,-0.11156680318715856,0.5476297295757732,0.14420710998992917,0.19845699392734456,0.726641612049831,0.4813803324032042,Fail to reject
g_Kn,1945,1974,31,"2,2,2,2,2",-256.99266646420796,20.30214102524466,1e-6,-6.4719343634521,2.115610744149914e-4,20.30214102524466,1e-6,-6.4719343634521,4.820297756637804e-4,-0.49306577635675725,0.04265158413402142,0.7784795176712269,0.14527576255671776,0.3828475679867598,0.2557613151579096,0.014063396387379832,0.056821201682127474,0.8623586741111684,-0.17670762162732234,0.19848299395853686,-0.8902909922057938,0.38650106856160804,Fail to reject
g_Kn,1946,1974,30,"2,2,2,2,2",-255.02270654469083,18.495694038760945,1e-6,-7.462826144267658,1e-6,18.495694038760945,1e-6,-7.462826144267658,4.7675731306889e-4,-0.518084200784593,0.15747427878096434,0.28992515782429557,0.0699286815638213,0.6356085148629423,0.211975529698933,0.020983963968335555,-5.474887740681582e-4,0.9984501277261407,-0.06446518212350916,0.18560515760433155,-0.3473243036755176,0.7331729659513304,Fail to reject
g_Kn,1947,1974,29,"2,2,2,2,2",-246.13577584926327,6.146646910470037,0.0016595367183137848,-5.409601486405627,9.263931416533715e-4,6.146646910470037,0.01624951037841687,-5.409601486405627,0.004758137190013953,-0.5954455728803996,0.22941401207047513,0.13975990176416905,0.019111319169186944,0.890968438725628,0.19304842147349352,0.021240456513992843,-0.03695911541527038,0.8823460575338005,0.010273979534957074,0.2039845530605958,0.05036645854210872,0.9605419076228948,Fail to reject
g_Kn,1948,1974,29,"1,0,0,1,0",-241.56946375761333,21.957077629207998,1e-6,-8.270400359487498,1e-6,21.957077629207998,1e-6,-8.270400359487498,1e-6,-0.6700665960027054,0.36727052878921274,7.706977604276748e-6,-0.02943551679097436,0.5936339723941857,0.16905388674001892,6.026035221082461e-4,-0.3782792851825339,3.3566009661058465e-4,0.15254210714669866,0.08831704654975062,1.7272102397668936,0.09814548724005887,Fail to reject
g_Kn,1945,1975,32,"2,2,2,2,2",-267.0807748011277,21.558810818278992,1e-6,-6.6524580978687835,9.008864609530822e-5,21.558810818278992,1e-6,-6.6524580978687835,4.757754039742525e-4,-0.4935372909364413,0.014928889257570221,0.9036370980950912,0.17809664959258092,0.18233662713628024,0.2694339253276262,0.004362805684096539,0.0218294768836988,0.9426222292783408,-0.21350506399647526,0.1647481995432869,-1.2959477832738178,0.21231296860424587,Fail to reject
g_Kn,1946,1975,31,"2,2,2,2,2",-264.9356383541121,19.237822049688447,1e-6,-7.626810737100008,1e-6,19.237822049688447,1e-6,-7.626810737100008,1.6288738277454482e-4,-0.5182302091587816,0.11674582484212276,0.3433809951074648,0.11683030213161033,0.32525055305922423,0.2317833520274298,0.0057490778622811736,-0.04755877873532498,0.8567826002122907,-0.12016091368409834,0.1547521650686163,-0.7764732314460325,0.4487968554171856,Fail to reject
