variable,adf_level,p_level,adf_diff,p_diff,kpss_level,kpss_p,order
g_K,-1.7327279230673185,0.6744882904877578,-2.7101940064498797,0.3018308546857601,0.17057572038396812,0.1,ambiguous
r,-1.9497388911022806,0.5916438667294214,-2.4526545057449893,0.39994114066857556,0.19993128980035363,0.1,ambiguous
mu,-1.8047294586942446,0.647001542777536,-2.6186069930974036,0.3367211454867034,0.19955978461851878,0.1,ambiguous
pi,-2.44962326336082,0.40081188648183996,-4.040268788794768,0.021851088762973203,0.1428830745316113,0.1,I(1)
B_real,-3.42656145991129,0.073638189186483,-4.301603381394594,0.012734765765304853,0.6940316046821234,0.014088035937988776,I(1)
PyPK,-3.1725228224238706,0.12484335849441856,-2.623834525742858,0.33472970447891126,0.3719236759598856,0.08925703622418724,ambiguous
