rank,order,AIC,BIC,n_eff,df_resid
1,"2,2,2,2",-244.80216155061396,-224.58263675125158,35,23
2,"1,1,1,1",-242.66528749405575,-228.41361704795077,36,28
3,"1,1,0,1",-237.74190617343862,-225.07375466578975,36,29
4,"1,2,1,1",-236.21567328091243,-220.66219266601829,35,26
5,"1,1,1,2",-235.48382341505402,-219.93034280015988,35,26
