run_id,stage_tag,representative_group,representative_label,exercise_id,model_class,window_tag,det_tag,m,p,q,q_tag,r,cell_id,slope_hat,alpha_hat,alpha_y,alpha_k,alpha_e,sK_ardl,share_K,logLik,k_total,ICOMP_pen,RICOMP_pen,stability_margin,SI_Y,boundary_p,boundary_q,boundary_r,boundary_tags,source_file
stage4_20260304_130240,CROSSWALK_CORE,faithful_ardl_2_4,faithful_01,ARDL,ARDL,shaikh_window,,NA,2,4,,NA,,NA,NA,NA,NA,NA,0.8,NA,137.103737003333,8,20.7144418064677,20.7144418064677,NA,NA,,NA,NA,NA,C:/ReposGitHub/capacity_utilization/output/CriticalReplication/Exercise_b_ARDL_grid/csv/GEOMETRY_CARDS_ARDL.csv
stage4_20260304_130240,CROSSWALK_CORE,ardl_frontier_representatives,ardl_frontier_01,ARDL,ARDL,shaikh_window,,NA,1,1,,NA,,NA,NA,NA,NA,NA,0.5,NA,133.693699802538,4,14.8287172606545,14.8287172606545,NA,NA,,NA,NA,NA,C:/ReposGitHub/capacity_utilization/output/CriticalReplication/Exercise_b_ARDL_grid/csv/ENVELOPE_ARDL_logLik_vs_ICOMP_pen.csv
stage4_20260304_130240,CROSSWALK_CORE,ardl_frontier_representatives,ardl_frontier_02,ARDL,ARDL,shaikh_window,,NA,1,2,,NA,,NA,NA,NA,NA,NA,0.666666666666667,NA,136.653945835356,5,16.738728221628,16.738728221628,NA,NA,,NA,NA,NA,C:/ReposGitHub/capacity_utilization/output/CriticalReplication/Exercise_b_ARDL_grid/csv/ENVELOPE_ARDL_logLik_vs_ICOMP_pen.csv
stage4_20260304_130240,CROSSWALK_CORE,ardl_frontier_representatives,ardl_frontier_03,ARDL,ARDL,shaikh_window,,NA,1,3,,NA,,NA,NA,NA,NA,NA,0.75,NA,139.709208034401,6,18.054773544088,18.054773544088,NA,NA,,NA,NA,NA,C:/ReposGitHub/capacity_utilization/output/CriticalReplication/Exercise_b_ARDL_grid/csv/ENVELOPE_ARDL_logLik_vs_ICOMP_pen.csv
stage4_20260304_130240,CROSSWALK_CORE,ardl_frontier_representatives,ardl_frontier_04,ARDL,ARDL,shaikh_window,,NA,2,3,,NA,,NA,NA,NA,NA,NA,0.6,NA,139.709911840396,7,19.4298304610218,19.4298304610218,NA,NA,,NA,NA,NA,C:/ReposGitHub/capacity_utilization/output/CriticalReplication/Exercise_b_ARDL_grid/csv/ENVELOPE_ARDL_logLik_vs_ICOMP_pen.csv
stage4_20260304_130240,CROSSWALK_CORE,ardl_frontier_representatives,ardl_frontier_05,ARDL,ARDL,shaikh_window,,NA,3,3,,NA,,NA,NA,NA,NA,NA,0.5,NA,140.59490356305,8,20.326305973078,20.326305973078,NA,NA,,NA,NA,NA,C:/ReposGitHub/capacity_utilization/output/CriticalReplication/Exercise_b_ARDL_grid/csv/ENVELOPE_ARDL_logLik_vs_ICOMP_pen.csv
stage4_20260304_130240,CROSSWALK_CORE,ardl_frontier_representatives,ardl_frontier_06,ARDL,ARDL,shaikh_window,,NA,2,2,,NA,,NA,NA,NA,NA,NA,0.5,NA,136.990025089183,6,17.4352824191512,17.4352824191512,NA,NA,,NA,NA,NA,C:/ReposGitHub/capacity_utilization/output/CriticalReplication/Exercise_b_ARDL_grid/csv/ENVELOPE_ARDL_logLik_vs_ICOMP_pen.csv
stage4_20260304_130240,CROSSWALK_CORE,ardl_frontier_representatives,ardl_frontier_07,ARDL,ARDL,shaikh_window,,NA,3,2,,NA,,NA,NA,NA,NA,NA,0.4,NA,138.744624130488,7,17.9003393859877,17.9003393859877,NA,NA,,NA,NA,NA,C:/ReposGitHub/capacity_utilization/output/CriticalReplication/Exercise_b_ARDL_grid/csv/ENVELOPE_ARDL_logLik_vs_ICOMP_pen.csv
stage4_20260304_130240,CROSSWALK_CORE,vecm_r1_frontier_representatives,vecm_r1_frontier_01,VECM,VECM,shaikh_window,SR_none__LR_none,NA,1,NA,K_only,1,p01_K_only_none_none,0.883360668044536,NA,0.128939270511635,0.0973458685643726,NA,NA,1,287.449959768344,8,0.392196964276849,0.392196964276849,0.0197105670148034,NA,,NA,NA,NA,C:/ReposGitHub/capacity_utilization/output/CriticalReplication/Exercise_c_VECM_S1_r1/SR_none__LR_none/csv/APPX_ic_eta_long.csv
stage4_20260304_130240,CROSSWALK_CORE,vecm_r1_frontier_representatives,vecm_r1_frontier_02,VECM,VECM,shaikh_window,SR_none__LR_const,NA,1,NA,K_only,1,p01_K_only_none_const,0.906588235988912,NA,0.111839997556477,0.0827518271154751,NA,NA,1,287.543494315027,9,0.38014677670121,0.38014677670121,0.0186687947628522,NA,,NA,NA,NA,C:/ReposGitHub/capacity_utilization/output/CriticalReplication/Exercise_c_VECM_S1_r1/SR_none__LR_const/csv/APPX_ic_eta_long.csv
