year,ECT_m,regime
1920,-0.3395647693856496,pre_1973
1921,0.4767439828785385,pre_1973
1922,0.5640163686681712,pre_1973
1923,0.3437022642381198,pre_1973
1924,-0.10008268876392101,pre_1973
1925,-0.1413571009348047,pre_1973
1926,0.7523710325158657,pre_1973
1927,0.37389225892873945,pre_1973
1928,-0.41675941994685495,pre_1973
1929,0.5563007057268461,pre_1973
1930,1.1975064749526103,pre_1973
1931,-0.029723143430748777,pre_1973
1932,-1.6294308855203212,pre_1973
1933,-1.292535860071296,pre_1973
1934,-0.8422470313701567,pre_1973
1935,-0.3627846155578638,pre_1973
1936,-0.48787423110789874,pre_1973
1937,-0.39011656493991254,pre_1973
1938,-0.11516523248430133,pre_1973
1939,-0.15147941115817076,pre_1973
1940,0.1209394269664461,pre_1973
1941,0.17469041087843973,pre_1973
1942,-0.2036082066002134,pre_1973
1943,-0.12362847597380533,pre_1973
1944,0.06679736601977737,pre_1973
1945,-0.011284715348386598,pre_1973
1946,-0.14324879569574378,pre_1973
1947,0.698925468909203,pre_1973
1948,-0.06555591629071955,pre_1973
1949,-0.018769636411182233,pre_1973
1950,-0.31191698621127895,pre_1973
1951,-0.38272539666152916,pre_1973
1952,0.17693867905545346,pre_1973
1953,-1.025456689746596,pre_1973
1954,-1.1010571074257367,pre_1973
1955,-1.0241115732836352,pre_1973
1956,-0.6533337933390158,pre_1973
1957,-0.4923938585127008,pre_1973
1958,-1.1404722903622204,pre_1973
1959,-0.48210639185876936,pre_1973
1960,-0.02959364715220758,pre_1973
1961,0.35009043394536654,pre_1973
1962,-0.2154047288534766,pre_1973
1963,-0.5236324803719548,pre_1973
1964,0.17621998074814105,pre_1973
1965,-0.11300359885400635,pre_1973
1966,-0.44917868199286826,pre_1973
1967,-0.44713358694374516,pre_1973
1968,-0.6221184555879287,pre_1973
1969,-0.7246589064600659,pre_1973
1970,-0.7444124907667797,pre_1973
1971,-0.5792989637718895,pre_1973
1972,0.17989200640244007,pre_1973
1973,0.09076950361146885,post_1973
1974,-1.0573399311389053,post_1973
1975,-0.6573661095647214,post_1973
1976,-0.7046113617426144,post_1973
1977,-0.3753101214095409,post_1973
1978,-0.5884718118212344,post_1973
1979,-0.5898949072034174,post_1973
1980,-0.24028247879501663,post_1973
1981,0.4893057191032746,post_1973
1982,0.5422772391711472,post_1973
1983,0.09983550248867168,post_1973
1984,0.19758038866128658,post_1973
1985,-0.5672229077918765,post_1973
1986,-0.4696011645362077,post_1973
1987,-0.5673429634280875,post_1973
1988,-0.700569695034531,post_1973
1989,-0.4701372068461698,post_1973
1990,-0.09521789419012805,post_1973
1991,-0.3008361907376731,post_1973
1992,-0.2634672228969652,post_1973
1993,-0.25042410263186987,post_1973
1994,-0.2384049977046896,post_1973
1995,-0.236431047898904,post_1973
1996,-9.084498447009537e-5,post_1973
1997,0.010035274986840648,post_1973
1998,0.08722246248831134,post_1973
1999,0.02961514906908569,post_1973
2000,0.13111272143753716,post_1973
2001,0.05226591194096386,post_1973
2002,0.0955885972835766,post_1973
2003,0.14776036263762293,post_1973
2004,0.10130220986736838,post_1973
2005,0.16282877448151112,post_1973
2006,0.03716855545586206,post_1973
2007,0.08253962034521223,post_1973
2008,0.3719009005270202,post_1973
2009,0.22304127988306277,post_1973
2010,0.3466069155974978,post_1973
2011,0.44664010042589375,post_1973
2012,0.27828838322402305,post_1973
2013,0.12808750021389592,post_1973
2014,0.036820146624632955,post_1973
2015,-0.04592503646265911,post_1973
2016,-0.10800958603212507,post_1973
2017,-0.08957494539958333,post_1973
2018,-0.12192503815609257,post_1973
2019,-0.25175856884629155,post_1973
2020,-0.12628086982159026,post_1973
2021,0.34294319821647434,post_1973
2022,0.16230809228150456,post_1973
2023,-0.11112944444028017,post_1973
2024,0.13102344588305925,post_1973
