year,s_ME,phi,omega,theta_CL
1920,0.5026796646330731,1.010776412877209,0.516925820551757,0.5697134994161666
1921,0.5082358429938131,1.0334950926230655,0.6558033235305708,0.5593990067843374
1922,0.5124323406248883,1.0509973965083028,0.6898369608309547,0.552525731992441
1923,0.506045122377164,1.0244764153610786,0.6010173223079679,0.5634710275927557
1924,0.5032005872195683,1.0128848269029,0.5216991909156851,0.5688560193851774
1925,0.48866352412719416,0.9556594281545984,0.4717264513305704,0.5916795553770636
1926,0.47503901747812527,0.9049034752946246,0.5617975851274443,0.6113458028551008
1927,0.46140979872512283,0.8566992077333336,0.5875910751460215,0.6318538600174974
1928,0.4481406112745106,0.8120557889021027,0.436008684898591,0.6538957028435196
1929,0.43404854049231234,0.766935985764371,0.5614619056398236,0.6739587518475815
1930,0.4189731940573361,0.7210909888702796,0.6686490552422352,0.6958176548450623
1931,0.40420712592285885,0.6784356502231751,0.5811436847010782,0.7193317300957793
1932,0.3855079152575442,0.6273602619619035,0.4609216486983835,0.7491069830023279
1933,0.36546630170465166,0.575960429976316,0.5189968270302697,0.7791145295781061
1934,0.35260584011716545,0.5446540329943358,0.5367886606293845,0.7985803424492973
1935,0.34095282655198594,0.5173420663777132,0.5718574788836842,0.8160609138225654
1936,0.3292832842138097,0.4909424149774394,0.5285386217121376,0.8342588341173134
1937,0.3181345998342851,0.46656510178837,0.5328311331485793,0.8512422899453302
1938,0.30656918328628213,0.4421049308699078,0.5531664074120999,0.868736662571295
1939,0.29786062381717504,0.4242186578916733,0.5785353553129456,0.8818398387603269
1940,0.29002730643762237,0.4085048750007193,0.6074707800874707,0.8935898062916159
1941,0.2824146105531333,0.3935623755812888,0.6162600974278495,0.9051620190404819
1942,0.2751845925524464,0.3796616210484708,0.5675648436860874,0.9165637043892958
1943,0.2692991082386546,0.36854903459815425,0.6030991976573497,0.9253054137412652
1944,0.26127050660579837,0.35367547788751724,0.6254367210587357,0.9374252983539896
1945,0.25322805725685765,0.3390969086581734,0.6044555633395453,0.9498607819280456
1946,0.2516333308243092,0.3362433699799561,0.5719435501825137,0.9525109721658724
1947,0.25517287300874425,0.3425934203544924,0.6818860563830722,0.9463745894730615
1948,0.2587945860868041,0.34915366405717035,0.5947289826246759,0.9414176736591966
1949,0.2639927480307167,0.35868226477982357,0.5904415851407467,0.9335029293964265
1950,0.2692566230118866,0.36846946751905457,0.5640614965956121,0.9256435342436855
1951,0.27639199212803484,0.3819637001266297,0.5267448831360416,0.9150125569107945
1952,0.2831947635047797,0.3950790941336379,0.6375593229564251,0.9038125374181025
1953,0.2872834776108021,0.4030823877181324,0.4335714681918065,0.8990824154793456
1954,0.2896492461441621,0.40775524566127863,0.4252265162640857,0.8955396270593571
1955,0.29511683501418495,0.41867482396195865,0.4184994409605206,0.8872593945121183
1956,0.3021115715727396,0.43289379686889007,0.5117340439004434,0.8758695713084937
1957,0.31305823052137516,0.4557274640017607,0.5364323677274111,0.8589628521214165
1958,0.3226797032823319,0.47640636910787254,0.4467800326865331,0.8450251430580896
1959,0.32535012612182895,0.482250332682313,0.5750776192763191,0.8398694461934965
1960,0.32872458576724484,0.48970151266893247,0.6093126657451776,0.8344216201850965
1961,0.33624257834035903,0.5065744914755551,0.6588962612543945,0.8224959933797064
1962,0.3396568457995672,0.5143641508797592,0.5941905193772513,0.8178435961526282
