parameter,estimate,meaning,source
theta_0,1.3369239641305117,infrastructure elasticity (ISI-identified),ISI subsample 1940-1972
psi,-0.17588255125427554,machinery elasticity (ISI-identified),ISI subsample 1940-1972
theta_2,-0.02598977231305357,distribution-composition interaction,ISI subsample 1940-1972
kappa_1,-4.4411860715774125,intercept,ISI subsample 1940-1972
beta_kNR_raw,1.3369239641305117,= theta_0 from ISI Johansen,ISI subsample 1940-1972
beta_kME_raw,-0.17588255125427554,= psi from ISI Johansen,ISI subsample 1940-1972
beta_omgkME_raw,-0.02598977231305357,= theta_2 from ISI Johansen,ISI subsample 1940-1972
