regime,H0,eigen_stat,cv_10,cv_05,cv_01,decision_5pct
pre_1973,r <= 0,26.526760599287417,25.56,28.14,33.24,fail to reject
pre_1973,r <= 1,16.836272797707114,19.77,22,26.81,fail to reject
pre_1973,r <= 2,7.019694787478349,13.75,15.67,20.2,fail to reject
pre_1973,r <= 3,4.0559304536091005,7.52,9.24,12.97,fail to reject
post_1973,r <= 0,37.99441899873905,25.56,28.14,33.24,REJECT at 1%
post_1973,r <= 1,19.7056167068606,19.77,22,26.81,fail to reject
post_1973,r <= 2,8.880105237178054,13.75,15.67,20.2,fail to reject
post_1973,r <= 3,4.168905180545169,7.52,9.24,12.97,fail to reject
