regime,variable,alpha
pre_1973,m,-0.1779370833786298
pre_1973,k_ME,-0.00622065274345969
pre_1973,nrs,0.21314183820168123
pre_1973,omega,-0.06557988805050693
post_1973,m,-0.17964749628819837
post_1973,k_ME,-0.016227080079241646
post_1973,nrs,-0.018638995075531514
post_1973,omega,-0.0193406932851325
